Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,97300,,,97300.0,97300.0,,,0.0,0.0,
2022-01-04,98500,,,97954.54545454546,97914.63414634146,,,95.7264957264997,19.14529914529994,
2022-01-05,97800,,,97893.4065934066,97874.54401268835,,,113.79453088855371,38.07514549395069,
2022-01-06,94900,,,96929.80625931446,97075.63295728083,,,-104.68543621683784,9.523029151792983,
2022-01-07,95800,96860.0,,96614.98602451086,96795.02432414397,96420.0,,-202.87133139951038,-32.95584295846769,
2022-01-10,95300,96460.0,,96285.46614675646,96514.50441261446,95900.0,,-317.37171843549004,-89.83901805387217,
2022-01-11,94600,95680.0,,95895.80894995813,96199.39555070738,95280.0,,-459.3036829971825,-163.73195104253426,
2022-01-12,96100,95340.0,,95940.1540429685,96184.74920797219,95420.0,,-445.61159046861576,-220.10787892775056,
2022-01-13,95500,95460.0,,95849.15972794134,96092.99928336935,95473.33333333333,,-477.66922064746905,-271.62014727169424,
2022-01-14,93900,95080.0,,95461.72726801333,95822.51981661479,94953.33333333333,,-624.9774013215356,-342.2915980816625,
2022-01-17,91100,94240.0,,94621.71750076763,95281.05417302912,93626.66666666667,,-956.629367361631,-465.15915193765625,
2022-01-18,90100,93340.0,,93772.8970556716,94724.33554311287,92246.66666666667,,-1285.3409718960465,-629.1955159293343,
2022-01-19,91000,92320.0,,93263.09992948288,94346.7384097953,91466.66666666667,,-1456.4359216378798,-794.6435970710434,
2022-01-20,91800,91580.0,,92998.65308464899,94101.70829234122,91293.33333333333,,-1510.0694472574105,-937.7287671083168,
2022-01-21,90500,90900.0,,92553.30540257962,93771.23513406947,90933.33333333333,,-1638.5849508367246,-1077.9000038539984,29.491938597813544
2022-01-24,88900,90460.0,,91909.60475723018,93343.16997449036,90266.66666666667,,-1848.2357305545738,-1231.9671491941135,25.55505336197522
2022-01-25,87400,89920.0,,91122.52785501115,92841.11847363279,89246.66666666667,,-2111.087643660532,-1407.7912480873974,22.519954127779954
2022-01-26,87600,89240.0,,90512.52763862554,92414.11096301425,88473.33333333333,,-2277.0133574197826,-1581.6356699538744,23.819122660338927
2022-01-27,84100,87700.0,,89409.23914926786,91758.9193459193,86760.0,,-2660.2655450383318,-1797.361644970766,18.099524465366326
2022-01-28,86300,86860.0,92425.0,88877.15367861066,91341.74047774609,86293.33333333333,90311.90476190476,-2754.7193610353424,-1988.8331881836816,29.550829044544308
2022-02-03,88400,86760.0,91980.0,88795.8610307079,91123.22209161967,86806.66666666667,89928.57142857143,-2629.807457773335,-2117.0280421016123,38.40406237730025
2022-02-04,90700,87420.0,91590.0,89119.07214781723,91092.6007606362,88120.0,89806.66666666667,-2318.4969072657987,-2157.32181513445,46.35548076731442
2022-02-07,89000,87700.0,91150.0,89098.92263418353,90944.84955116828,88646.66666666667,89560.0,-2183.7835482383525,-2162.6141617552303,42.03610694066255
2022-02-08,89900,88860.0,90900.0,89234.13639799964,90872.73413390714,89380.0,89440.95238095238,-1981.5575997326378,-2126.402849350712,44.96009535156509
2022-02-09,91100,89820.0,90665.0,89548.40804774147,90888.09134501145,90126.66666666667,89460.0,-1704.810117573099,-2042.0843029951898,48.67757571466752
2022-02-10,90100,90160.0,90405.0,89641.15018844637,90835.87892687495,90220.0,89406.19047619047,-1548.3292114073847,-1943.3332846776289,45.89564732062837
