Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,63400,,,63400.0,63400.0,,,0.0,0.0,
2022-01-04,62200,,,62745.454545454544,62785.36585365853,,,-95.7264957264997,-19.14529914529994,
2022-01-05,61100,,,62094.5054945055,62195.955590800935,,,-257.384274478296,-66.79309421189916,
2022-01-06,60100,,,61452.459016393455,61633.01818392737,,,-460.8781549877822,-145.6101063670758,
2022-01-07,60800,61520.0,,61270.65147280155,61449.774177384716,61033.333333333336,,-559.2180539056062,-228.33169587478187,
2022-01-10,60500,60940.0,,61077.53536785795,61271.562650046835,60693.333333333336,,-653.8237518736423,-313.430107074554,
2022-01-11,61400,60780.0,,61152.084871488674,61292.70219242837,60846.666666666664,,-648.6991704882093,-380.4839197572851,
2022-01-12,62300,61020.0,,61401.382787001625,61441.13166257186,61353.333333333336,,-565.4967301379438,-417.48648183341686,
2022-01-13,61700,61340.0,,61463.11678487394,61475.81757409183,61580.0,,-541.7284736796137,-442.3348802026562,
2022-01-14,61000,61380.0,,61371.06354130156,61417.131333431025,61466.666666666664,,-572.7735323099259,-468.4226106241102,
2022-01-17,60400,61360.0,,61184.04981733687,61300.51103463847,61140.0,,-638.4324981050668,-502.4245881203015,
2022-01-18,60100,61100.0,,60980.551113956586,61171.51279681219,60720.0,,-706.5307476812595,-543.2458200324932,
2022-01-19,59500,60540.0,,60708.351790318964,61002.0440598862,60186.666666666664,,-799.695692532332,-594.535794532461,
2022-01-20,59700,60140.0,,60526.09803986824,60876.77009861195,59906.666666666664,,-847.6204135121588,-645.1527183284006,
2022-01-21,58900,59720.0,,60236.2702933427,60695.392428728315,59493.333333333336,,-939.3264437554681,-703.9874634138142,26.178721464590197
2022-01-24,59000,59440.0,,60018.44344944152,60546.40794931426,59253.333333333336,,-992.494114814981,-761.6887936940476,27.495332125743218
2022-01-25,57700,58960.0,,59613.79750231483,60305.95657586542,58673.333333333336,,-1126.5429270147142,-834.659620358181,22.001694887547647
2022-01-26,57300,58520.0,,59213.11451691937,60061.05350012975,58120.0,,-1250.637661051369,-917.8552284968187,20.63548621816128
2022-01-27,55000,57580.0,,58488.23955141213,59662.21833402417,56946.666666666664,,-1517.08638246412,-1037.701459290279,14.904485946306067
2022-01-28,56600,57120.0,59935.0,58165.10428191598,59428.19898005763,56620.0,58970.0,-1580.918441890477,-1146.3448558103187,29.560302911137736
2022-02-03,57600,56840.0,59645.0,58068.82749421125,59292.39669101743,56780.0,58747.619047619046,-1533.141070308382,-1223.7040987099313,36.877613315280435
2022-02-04,58200,56940.0,59445.0,58091.09289228026,59213.358660387035,57233.333333333336,58610.0,-1430.3737157035139,-1265.0380221086477,40.84805620046426
2022-02-07,57200,56920.0,59250.0,57940.30121923964,59071.20245803794,57320.0,58396.19047619047,-1413.3295066460996,-1294.6963190161382,36.704199475259394
2022-02-08,58500,57620.0,59170.0,58034.7727172238,59031.778118374925,57846.666666666664,58324.76190476191,-1280.1657587333611,-1291.790206959583,44.57576443367993
2022-02-09,58300,57960.0,59045.0,58079.44555162887,58982.32911294968,58073.333333333336,58241.90476190476,-1177.200819385951,-1268.8723294448569,43.67585474717861
2022-02-10,57600,57960.0,58900.0,57998.833775790896,58890.747412294746,57953.333333333336,58104.28571428572,-1138.955344747541,-1242.8889325053938,40.5873812060849
2022-02-11,57700,57860.0,58715.0,57948.662923732954,58813.30135951659,57866.666666666664,57990.0,-1088.0341854753133,-1211.9179830993778,41.226775321577854
2022-02-14,56500,57720.0,58425.0,57705.745488913395,58665.42074916237,57413.333333333336,57779.04761904762,-1131.4659360685764,-1195.8275736932176,36.19313610217036
2022-02-15,55800,57180.0,58130.0,57386.50740789346,58485.18437900274,56773.333333333336,57529.04761904762,-1208.4399180311812,-1198.3500425608104,33.61482647999048
2022-02-16,57200,56960.0,57940.0,57355.29133533074,58405.56239024381,56780.0,57440.47619047619,-1143.2948620983952,-1187.3390064683274,42.44565846703915
2022-02-17,56600,56760.0,57750.0,57228.96596825074,58295.28187162879,56660.0,57312.857142857145,-1127.0895349476486,-1175.2891121641917,39.99041621285778
2022-02-18,56500,56520.0,57570.0,57107.11516566626,58187.08550119265,56573.333333333336,57193.80952380953,-1109.5259363543519,-1162.1364770022237,39.57948919885431
2022-02-21,56600,56540.0,57425.0,57022.389417062506,58092.63117510424,56600.0,57101.42857142857,-1075.143903993754,-1144.7379624005298,40.240788870888295
2022-02-22,56200,56620.0,57250.0,56885.045486655814,57981.316621506805,56486.666666666664,56984.76190476191,-1067.862893979116,-1129.362948716247,38.42895982021306
2022-02-23,56300,56440.0,57120.0,56787.372545474034,57883.525310582016,56380.0,56894.28571428572,-1042.0118132670323,-1111.8927216264042,39.16638682373991
2022-02-24,56100,56340.0,56975.0,56672.648598405394,57780.87161162425,56266.666666666664,56797.142857142855,-1025.8377550080768,-1094.6817283027387,38.181447196773725
2022-02-25,56600,56360.0,56920.0,56660.52624650808,57713.57340729083,56353.333333333336,56761.42857142857,-961.5892734090958,-1068.0632373240103,42.10146778492493
2022-02-28,58100,56660.0,56960.0,56900.67382192328,57735.39150471532,56933.333333333336,56873.80952380953,-780.6357419750202,-1010.5777382542124,51.94618647781159
2022-03-02,57800,56980.0,57100.0,57050.68399458553,57739.00740371082,57313.333333333336,56953.80952380953,-653.8985222819465,-939.2418950597591,50.11098652823477
2022-03-03,58300,57380.0,57185.0,57259.04509309475,57770.14418174843,57753.333333333336,57068.09523809524,-507.2651048895714,-852.8465370257217,53.08584977099856
2022-03-04,58300,57820.0,57220.0,57432.6360004173,57799.32273225051,58060.0,57174.28571428572,-386.6005743982241,-759.5973445002222,53.08584977099856
