Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,129000,,,129000.0,129000.0,,,0.0,0.0,
2022-01-04,129000,,,129000.0,129000.0,,,0.0,0.0,
2022-01-05,126500,,,128010.98901098903,128125.69389373511,,,-199.43019943017862,-39.886039886035725,
2022-01-06,125500,,,127202.68256333831,127420.47794437515,,,-433.17830212414265,-118.5444923336571,
2022-01-07,127500,127500.0,,127285.52999354979,127437.97088794151,127066.66666666667,,-451.8336156066216,-185.20231698825,
2022-01-10,126000,126900.0,,126963.39144726243,127168.15623693352,126566.66666666667,,-580.9586205788364,-264.3535777063673,
2022-01-11,126000,126300.0,,126740.66824900528,126975.8890476158,126266.66666666667,,-675.5043239550287,-346.58372695609955,
2022-01-12,127500,126500.0,,126905.57575654138,127053.11894961106,126666.66666666667,,-622.2224183500075,-401.71146523488113,
2022-01-13,128000,127000.0,,127131.82923750684,127179.99206456989,127166.66666666667,,-533.5004419546167,-428.0692605788283,
2022-01-14,124500,126400.0,,126608.70326636097,126849.44803291949,126333.33333333333,,-737.1114240727038,-489.87769327760344,
2022-01-17,123500,125900.0,,126010.00899990325,126465.41342740637,125366.66666666667,,-968.0076473951776,-585.5036841011183,
2022-01-18,121500,125000.0,,125163.38648400412,125931.86599324449,123900.0,,-1297.4219802273583,-727.8873433263664,
2022-01-19,120000,123500.0,,124214.09787425824,125330.45519973662,122233.33333333333,,-1660.3828167172323,-914.3864380045395,
2022-01-20,124000,122700.0,,124175.4009225379,125202.44770882001,122400.0,,-1606.7437818677718,-1052.8579067771861,
2022-01-21,124000,122600.0,,124144.13832159303,125092.11764882172,122833.33333333333,,-1546.4084265655692,-1151.5680107348628,41.48747691938848
2022-01-24,121000,122100.0,,123590.15127598542,124732.51829749745,122300.0,,-1720.830488063104,-1265.4205062005112,33.786838473585505
2022-01-25,117500,121300.0,,122527.21612791895,124121.54861602711,120766.66666666667,,-2117.0776247000613,-1435.7519299004214,27.397545063203843
2022-01-26,117000,120700.0,,121570.06172834645,123541.33758634381,119333.33333333333,,-2443.2874596754555,-1637.2590358554285,26.6229961489655
2022-01-27,113000,118500.0,,120095.5650882047,122710.62988346799,116766.66666666667,,-2990.1095530644234,-1907.8291392972274,21.408637505697495
2022-01-28,116000,116900.0,123350.0,119394.68922342031,122197.79340391692,115933.33333333333,121142.85714285714,-3145.13985924593,-2155.291283286968,32.14317743376459
2022-02-03,119000,116500.0,122850.0,119327.44604054485,121960.25489259147,116633.33333333333,120728.57142857143,-2991.4440608497243,-2322.521838799519,40.844555228512164
2022-02-04,121000,117200.0,122450.0,119611.34760570324,121890.77769970203,118133.33333333333,120552.38095238095,-2677.392434632202,-2393.495957966056,45.83150190042835
2022-02-07,121000,118000.0,122175.0,119846.33681908595,121827.88300666082,119400.0,120414.28571428571,-2400.8289960328984,-2394.9625655794243,45.83150190042834
2022-02-08,122000,119800.0,122000.0,120209.85339951853,121839.76250527237,120733.33333333333,120397.61904761905,-2077.01628492483,-2331.3733094485056,48.35613409401828
2022-02-09,125000,121600.0,121875.0,121016.66868495771,122053.31166327246,122466.66666666667,120683.33333333333,-1560.3309268210578,-2177.164832923016,55.1147924991342
2022-02-10,127500,123300.0,121950.0,122106.74627328006,122414.16420999377,124433.33333333333,121219.04761904762,-938.3087126164319,-1929.3936088616995,59.83239288195238
2022-02-11,124500,124000.0,121875.0,122508.54683395164,122549.82669139953,124833.33333333333,121461.90476190476,-679.5926335374097,-1679.4334137968417,52.677414976444304
2022-02-14,117500,123300.0,121375.0,121668.69421596514,122227.01036215859,122666.66666666667,121045.23809523809,-1027.5547637913114,-1549.0576837957356,40.50574823967086
2022-02-15,122000,123300.0,121075.0,121724.19240464845,122212.731299066,122233.33333333333,121104.76190476191,-929.4902816393442,-1425.1442033644576,48.710300891031764
2022-02-16,123500,123000.0,121025.0,122021.41244207238,122292.48241937999,122300.0,121335.71428571429,-722.4085331540118,-1284.5970693223685,51.12959817582349
2022-02-17,123000,122100.0,121000.0,122185.08495715688,122335.69632665988,122300.0,121523.80952380953,-591.8184620255779,-1146.0413478630105,50.27825875409131
2022-02-18,124500,122100.0,121150.0,122572.03615676115,122466.13255824984,123100.0,121857.14285714286,-363.1018141383247,-989.4534411180734,52.81646427497501
2022-02-21,125000,123600.0,121400.0,122977.68573722873,122616.93397470031,124066.66666666667,122223.80952380953,-139.88390694303962,-819.5395342830667,53.665543005085794
2022-02-22,125000,124200.0,121450.0,123315.42426304614,122757.09331175912,124533.33333333333,122566.66666666667,36.596036380244186,-648.3124201504046,53.665543005085794
2022-02-23,124000,124300.0,121450.0,123429.71371098663,122829.38515307296,124466.66666666667,122809.52380952382,94.6746696235059,-499.7150021956225,51.51527370779583
2022-02-24,123500,124400.0,121575.0,123441.44464285686,122867.98348089294,124200.0,123004.76190476191,99.21291880699573,-379.92941799509885,50.42730164571411
2022-02-25,123500,124200.0,121875.0,123451.21535640596,122904.00227957207,123900.0,123188.09523809524,101.63789558828284,-283.6159552784225,50.42730164571411
2022-02-28,124000,124000.0,122225.0,123542.76916297206,122965.8835928473,123833.33333333333,123390.47619047618,142.2655794415623,-198.43964833442558,51.61248200094016
2022-03-02,131000,125200.0,123125.0,124786.65654523102,123415.5234322884,126166.66666666667,124226.19047619047,730.8796841192961,-12.575781843681227,64.43291898447922
2022-03-03,131500,126700.0,123900.0,125906.30890767818,123864.23622119901,128266.66666666667,125023.80952380953,1223.6015076232725,234.65967604970953,65.14333374816115
2022-03-04,132000,128400.0,124550.0,126922.50025145535,124312.26337521998,130033.33333333333,125795.23809523809,1635.5789874896582,514.8435383376993,65.87732603151642
2022-03-07,130000,129700.0,125000.0,127435.65933598214,124623.1643387516,130566.66666666667,126314.28571428571,1780.170129977676,767.9088566656947,60.398627654021574
2022-03-08,128000,130500.0,125350.0,127529.75316155542,124806.45683258452,130000.0,126600.0,1713.622789989924,957.0516433305406,55.433835825524504
