Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,128500,,,128500.0,128500.0,,,0.0,0.0,
2022-01-04,128500,,,128500.0,128500.0,,,0.0,0.0,
2022-01-05,125500,,,127313.18681318684,127450.83267248215,,,-239.31623931623471,-47.86324786324695,
2022-01-06,125000,,,126568.55439642326,126792.5814216525,,,-463.9735067085421,-131.08529963230598,
2022-01-07,127000,126900.0,,126688.77660718127,126838.20853047332,126466.66666666667,,-475.1554283782025,-199.89932538148528,
2022-01-10,124500,126100.0,,126140.2951886823,126399.47717372332,125666.66666666667,,-677.9315159726248,-295.5057634997132,
2022-01-11,128000,126000.0,,126570.23403085065,126662.90771111008,126300.0,,-549.8736755868013,-346.3793459171308,
2022-01-12,128500,126600.0,,126989.33002635397,126933.61080705149,127133.33333333333,,-403.39105220091005,-357.78168717388667,
2022-01-13,129500,127500.0,,127508.3680726035,127277.48271258,128100.0,,-204.2563352780562,-327.07661679472056,
2022-01-14,128500,127800.0,,127705.4737235499,127428.26517133739,128433.33333333333,,-125.68347916724451,-286.7979892692254,
2022-01-17,127000,128300.0,,127569.60901172737,127379.1619625361,128166.66666666667,,-182.34937846312823,-265.908267108006,
2022-01-18,126500,128000.0,,127368.82114798776,127284.6935731096,127566.66666666667,,-264.55372260134027,-265.63735820667284,
2022-01-19,127000,127700.0,,127301.01337959722,127255.82950438226,127233.33333333333,,-286.05793840647675,-269.72147424663365,
2022-01-20,125000,126800.0,,126885.11852792422,127038.78869395226,126333.33333333333,,-459.190210750603,-307.6152215474275,
2022-01-21,119000,124900.0,,125479.7136396555,126301.19317739732,123733.33333333333,,-1068.2346952281805,-459.73911628357814,24.959693293146902
2022-01-24,119000,123300.0,,124338.00896624368,125659.59277491593,121766.66666666667,,-1533.2326851154212,-674.4378300499468,24.9596932931469
2022-01-25,118000,121600.0,,123231.81435896919,125012.54581763384,120000.0,,-1959.8466921767686,-931.5196024753112,23.370721939965605
2022-01-26,117500,119700.0,,122239.22944746044,124400.47923220288,118633.33333333333,,-2311.640040248458,-1207.5436900299405,22.596142757483126
2022-01-27,113500,117400.0,,120735.62715541552,123541.46945388407,116566.66666666667,,-2880.0064520966553,-1542.0362424432835,17.577147727780872
2022-01-28,120500,117700.0,124325.0,120695.30417610452,123309.03576070206,117600.0,122433.33333333333,-2734.0826271675032,-1780.4455193881277,41.89869005573887
2022-02-03,124000,118700.0,124100.0,121258.32503516998,123360.3619710135,119700.0,122402.38095238095,-2309.3949281242385,-1886.23540113535,49.86471478292916
2022-02-04,124500,120000.0,123900.0,121808.57131634218,123442.81804780617,121633.33333333333,122440.47619047618,-1910.4584695789672,-1891.0800148240735,50.900382591833875
2022-02-07,123000,121100.0,123775.0,122010.1861267326,123411.5522166126,122633.33333333333,122354.76190476191,-1695.7879283303482,-1852.0215975253286,47.71585074023062
2022-02-08,125000,123400.0,123775.0,122514.83649405642,123521.18673247992,123933.33333333333,122471.42857142857,-1348.7293797357706,-1751.3631539674172,52.025650248734166
2022-02-09,126000,124500.0,123725.0,123101.85050915304,123688.68948725752,124800.0,122683.33333333333,-981.6751963099814,-1597.4255624359303,54.06452218173899
2022-02-10,129500,125600.0,123975.0,124177.60601628353,124073.698885385,126466.66666666667,123233.33333333333,-403.7076714457944,-1358.6819842379032,60.40691227798744
2022-02-11,132000,127100.0,124175.0,125490.89856581979,124589.2244520331,128600.0,123997.61904761905,253.14674457538058,-1036.3162384752463,64.20831201676857
2022-02-14,132500,129000.0,124375.0,126666.21196197803,125094.93042570405,130400.0,124790.47619047618,804.777449497109,-668.0975008807752,64.93346837632986
2022-02-15,127000,129400.0,124250.0,126722.12596169385,125214.76023606367,129733.33333333333,125040.47619047618,789.0490564927895,-376.66818940606225,52.365336094050214
2022-02-16,130500,130300.0,124350.0,127354.43537741406,125542.20064690882,130100.0,125635.71428571429,1046.9365086233884,-91.94724980017213,57.94388598733147
2022-02-17,133000,131000.0,124650.0,128298.67767169343,125997.709681008,131000.0,126459.52380952382,1436.4843812770123,213.73907641526478,61.41943522108778
2022-02-18,131500,130900.0,124900.0,128833.79688442132,126329.31657294458,131166.66666666666,127111.90476190476,1605.6573939682858,492.122739925869,58.30597514905526
2022-02-21,130000,130400.0,125050.0,129028.63907941192,126547.77482810842,130866.66666666667,127597.61904761905,1600.2441430116596,713.7470205430271,55.28775363754276
2022-02-22,128500,130700.0,125225.0,128940.35320482911,126662.59438534139,130233.33333333333,127926.19047619047,1458.108471828993,862.6193108002203,52.36836607074182
2022-02-23,128500,130300.0,125700.0,128866.8365404748,126769.46438321068,129500.0,128238.09523809524,1330.131994727708,956.1218475857179,52.36836607074182
2022-02-24,122500,128200.0,125875.0,127804.19791303235,126523.7284192159,126900.0,127933.33333333333,736.0748460617178,912.112447280918,42.064353384269566
2022-02-25,123000,126500.0,126125.0,127002.55577588972,126322.9101483408,125166.66666666667,127659.52380952382,302.1431786332396,790.1185935513823,43.069628235571
2022-02-28,123500,125200.0,126425.0,126418.22398429162,126163.52533942976,124166.66666666667,127409.52380952382,-1.3889617011300288,631.8170825008799,44.11393283632363
2022-03-02,125000,124500.0,127000.0,126181.66017691717,126098.40712103539,124100.0,127273.80952380953,-119.52509487817588,481.54864702506876,47.24064964856435
2022-03-03,129000,124600.0,127425.0,126651.70328767921,126259.45426145304,125600.0,127464.28571428571,108.3685340557713,406.9126244312093,54.544108632354884
2022-03-04,124500,125000.0,127450.0,126292.88262837936,126162.56313889576,125566.66666666667,127185.71428571429,-73.29165448946878,310.87176864707374,46.710206395651426
2022-03-07,119500,124300.0,127200.0,125160.20034870556,125798.3765676596,123733.33333333333,126428.57142857143,-613.643179366918,125.96877904427538,39.85991775905245
2022-03-08,118000,123200.0,126950.0,123966.36356600019,125375.08564315956,121633.33333333333,125552.38095238095,-1149.6605486655899,-129.15708649769766,38.05675560340828
2022-03-10,120000,122200.0,126700.0,123305.08599703244,125085.25974247481,120566.66666666667,124890.47619047618,-1396.9714727751998,-382.7199637531981,41.83494682853519
2022-03-11,117000,119800.0,126250.0,122253.95092047521,124652.03046797325,118833.33333333333,123966.66666666667,-1814.129929296687,-669.0019568618959,38.082682215797426
2022-03-14,116000,118100.0,125575.0,121211.38821168376,124191.18044716511,117566.66666666667,122990.47619047618,-2200.061712277369,-975.2139079449905,36.89477497174192
2022-03-15,112500,116700.0,124600.0,119759.21443624177,123571.94637565776,115700.0,121745.23809523809,-2756.5602691735985,-1331.4831801907121,33.01330097530269
2022-03-16,116500,116400.0,123800.0,119215.92606343329,123199.36639978967,115633.33333333333,120973.80952380953,-2842.0613007114152,-1633.598804294853,40.69253349413735
2022-03-17,124000,117200.0,123650.0,120013.37687281327,123241.33458015248,118166.66666666667,120992.85714285714,-2278.370527121806,-1762.5531488602437,51.84053147921699
2022-03-18,124000,118600.0,123325.0,120677.88708026167,123280.91288017646,120433.33333333333,121026.19047619047,-1810.7681201542,-1772.1961431190352,51.840531479217
2022-03-21,122000,119800.0,122775.0,120898.25941319636,123214.39242740463,121566.66666666667,120900.0,-1583.3215834114526,-1734.4212311775188,48.992435393696596
2022-03-22,123500,122000.0,122375.0,121331.91593618348,123229.16092203974,122800.0,120969.04761904762,-1267.4210593718453,-1641.0211968163842,51.15968816261415
2022-03-23,123500,123400.0,122050.0,121693.28625996347,123243.10870554215,123300.0,121076.19047619047,-1005.4771039633633,-1513.9123782457802,51.15968816261414
2022-03-24,120500,122700.0,121650.0,121494.39467691514,123102.38885645717,122333.33333333333,120928.57142857143,-1028.1081690539868,-1416.7515364074218,46.57002501920017
2022-03-25,118000,121500.0,121125.0,120911.96984407304,122841.59913522743,120766.66666666667,120580.95238095238,-1233.5529275260924,-1380.111814631156,43.09999242356049
