Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,46150,,,46150.0,46150.0,,,0.0,0.0,
2022-01-04,46550,,,46368.181818181816,46354.87804878048,,,31.908831908833236,6.3817663817666475,
2022-01-05,46700,,,46499.45054945055,46475.57494052339,,,68.5108075421449,18.8075746138423,
2022-01-06,46900,,,46628.39046199701,46589.56816797657,,,112.3612350891417,37.51830670890218,
2022-01-07,46850,46630.0,,46690.141904966666,46646.85692019351,46746.666666666664,,141.44790926311543,58.30422721974483,
2022-01-10,45900,46580.0,,46492.1417292385,46506.71991118675,46503.333333333336,,86.84119633089722,64.0116210419753,
2022-01-11,44800,46230.0,,46100.94122718782,46225.81036338698,45910.0,,-44.680771879029635,42.27314245777432,
2022-01-12,45300,45950.0,,45926.99720168722,46089.388402912184,45600.0,,-107.3298264950281,12.352548667213835,
2022-01-13,45850,45740.0,,45911.07934806651,46057.312618577904,45566.666666666664,,-111.31606784379255,-12.381174634987444,
2022-01-14,44850,45340.0,,45700.16970525627,45908.40546855947,45270.0,,-192.94271200201183,-48.49348210839232,
2022-01-17,43850,44930.0,,45343.852006331166,45672.39675179928,44773.333333333336,,-334.4685134137035,-105.68848836945455,
2022-01-18,42700,44510.0,,44847.54598181701,45353.00448297424,44030.0,,-533.2768363041832,-191.20615795640032,
2022-01-19,42700,43990.0,,44452.71965112106,45084.02579513763,43426.666666666664,,-682.961113938567,-289.55714915283363,
2022-01-20,43000,43420.0,,44190.14898152713,44883.514787255604,43096.666666666664,,-768.5204640630691,-385.3498121348807,
2022-01-21,42900,43030.0,,43960.199148964435,44701.51826143563,42923.333333333336,,-834.7732829462257,-475.2345062971497,25.627816283251086
2022-01-24,41950,42650.0,,43606.0085333768,44459.72555973898,42563.333333333336,,-952.9511520661181,-570.7778354509434,21.129496932993337
2022-01-25,40350,42180.0,,43037.72611218676,44112.55495983424,41796.666666666664,,-1162.316136110865,-689.0854955829277,16.02709600122116
2022-01-26,40250,41690.0,,42554.97236213803,43797.862592866455,41153.333333333336,,-1321.079971062034,-815.484390678749,15.77076398289396
2022-01-27,38500,40790.0,,41857.30607765098,43380.36574024945,40090.0,,-1570.0136882338993,-966.3902501897792,12.11812869007287
2022-01-28,42200,40650.0,43912.5,41915.95144013697,43290.16040612671,40560.0,42696.42857142857,-1451.998638288962,-1063.5119278096158,42.461346379829756
2022-02-03,41450,40550.0,43677.5,41836.567317031964,43153.469598354095,40826.666666666664,42461.90476190476,-1402.8187713715452,-1131.3732965220017,39.48528530258048
2022-02-04,42700,41020.0,43485.0,41983.12754530907,43120.65977359046,41543.333333333336,42368.80952380953,-1248.585898186997,-1154.8158168550008,46.24737863217383
2022-02-07,41700,41310.0,43235.0,41935.21640539212,43020.351963453475,41770.0,42198.80952380953,-1193.2913576784558,-1162.510925019692,42.186087780893644
2022-02-08,41800,41970.0,42980.0,41912.393242632905,42936.12338628511,41933.333333333336,42062.142857142855,-1128.393454343517,-1155.687430884457,42.72772202240515
2022-02-09,43700,42270.0,42822.5,42213.48391406521,42987.74140801509,42510.0,42130.71428571428,-913.1213824504084,-1107.1742211976473,51.940512120707616
2022-02-10,43300,42640.0,42692.5,42396.16574491369,43008.42908118221,42853.333333333336,42176.19047619047,-765.9638174919819,-1038.9321404565142,50.112886605357936
2022-02-11,42300,42560.0,42567.5,42380.02059081142,42962.35294828927,42740.0,42138.80952380953,-721.71257637081,-975.4882276393733,45.77631514225146
2022-02-14,40900,42400.0,42347.5,42131.844980384674,42830.5145211409,42186.666666666664,41980.0,-790.499067499557,-938.4903956114101,40.49318031328644
2022-02-15,41050,42250.0,42107.5,41950.621350310146,42718.51928469937,41736.666666666664,41856.42857142857,-823.4172691816275,-915.4757703254536,41.275204675097335
2022-02-16,41800,41870.0,41955.0,41925.41159025888,42661.61357268166,41586.666666666664,41827.142857142855,-779.9951506227808,-888.379646384919,45.15613864953648
2022-02-17,42050,41620.0,41865.0,41946.24947871098,42624.25731052657,41646.666666666664,41836.19047619047,-717.1431186963528,-854.1323408472058,46.42707422433258
2022-02-18,42050,41570.0,41832.5,41963.59196771354,42589.64850748718,41790.0,41853.80952380953,-659.727502586531,-815.2513731950709,46.42707422433257
2022-02-21,42650,41920.0,41830.0,42078.27288897271,42593.24028597009,42150.0,41931.666666666664,-559.3622477701501,-764.0735481100868,49.67327087790365
2022-02-22,41950,42100.0,41777.5,42056.85055258241,42555.40829512554,42160.0,41943.09523809524,-530.1944584095036,-717.2977301699702,46.15913465872787
2022-02-23,43050,42350.0,41785.0,42222.6561690257,42584.17549493402,42476.666666666664,42064.28571428572,-413.5508119484948,-656.5483465256752,51.915877827638575
2022-02-24,42300,42400.0,41802.5,42235.5650197344,42567.81931230232,42460.0,42113.333333333336,-377.2795697132533,-600.6945911631909,48.136723635455795
2022-02-25,42600,42510.0,41915.0,42296.37567777102,42569.653298719604,42526.666666666664,42189.28571428572,-320.6308235777906,-544.6818376461109,49.71357178944507
2022-02-28,43300,42640.0,42067.5,42463.81044136177,42610.88952775466,42790.0,42321.19047619047,-216.7535344565331,-479.0961770081954,53.28275328961545
2022-03-02,43700,42990.0,42327.5,42670.01038711579,42671.84302071601,43143.333333333336,42476.666666666664,-100.9892363192921,-403.4747888704148,55.237880935636774
2022-03-03,45450,43470.0,42490.0,43133.65744444507,42826.03909708102,43963.333333333336,42774.04761904762,130.46130195142177,-296.6875707060475,62.610336654090226
2022-03-04,45400,44090.0,42687.5,43511.59548759442,42967.784163586126,44606.666666666664,43051.19047619047,306.32185128657875,-176.08568630752225,62.29464081367493
2022-03-07,45550,44680.0,42830.0,43851.49016800049,43108.93229412544,45093.333333333336,43323.80952380953,452.57929761712876,-50.35268952259206,62.89902635447722
2022-03-08,44200,44860.0,42955.0,43909.598019221536,43168.15475586537,44933.333333333336,43454.28571428572,454.3185584445673,50.58156007083982,54.441080299793555
2022-03-10,48150,45750.0,43272.5,44616.56364822538,43436.77704038484,46030.0,43949.04761904762,765.6035228142864,193.58595261952917,67.99986597351466
2022-03-11,49400,46540.0,43557.5,45414.021087853595,43756.302057362765,47246.666666666664,44532.619047619046,1100.4780274023578,374.9643675760949,70.94660618792122
2022-03-14,49450,47350.0,43865.0,46086.83754592595,44059.57662684706,48216.666666666664,45093.80952380953,1354.291636097827,570.8298212804414,71.06139835875602
2022-03-15,48400,47920.0,44170.0,46472.43783976179,44289.471122922085,48566.666666666664,45525.71428571428,1453.954245348148,747.4547060939827,65.23253798850948
2022-03-16,49200,48920.0,44585.0,46927.103476760676,44548.17850464358,48993.333333333336,46004.76190476191,1579.2858708821877,913.8209390516238,67.42494144899732
2022-03-17,48300,48950.0,44947.5,47155.94974004353,44744.84414691091,48786.666666666664,46358.57142857143,1587.6877328147602,1048.594297804251,62.63938768587216
2022-03-18,48450,48760.0,45280.0,47371.64848538723,44938.13590129004,48620.0,46692.142857142855,1588.1428926443768,1156.5040167722761,63.10934821390552
2022-03-21,47500,48370.0,45552.5,47393.04236354139,45071.1787978238,48200.0,46903.57142857143,1494.6175290619503,1224.1267192302112,58.12268438997503
2022-03-22,48250,48340.0,45862.5,47535.879536032306,45235.552604315366,48160.0,47160.47619047619,1464.1390529895434,1272.1291859820776,60.758894218032175
2022-03-23,48550,48210.0,46157.5,47704.91036215756,45406.24139506626,48230.0,47416.42857142857,1447.5061836679743,1307.2045855192569,61.794911556819216
2022-03-24,48100,48170.0,46465.0,47770.76212476722,45544.429613269866,48193.333333333336,47601.42857142857,1382.0815004824908,1322.1799685119038,59.26726349497323
2022-03-25,47800,48040.0,46702.5,47775.635319174144,45659.714745179204,48070.0,47728.57142857143,1291.14100510376,1315.972175830275,57.576425443908
2022-03-28,48050,48150.0,46990.0,47821.36444881973,45781.4601633833,48073.333333333336,47856.90476190476,1225.1204915722192,1297.801838978664,58.63548054900593
2022-03-29,47250,47950.0,47222.5,47726.13412027021,45856.01083994646,47773.333333333336,47881.666666666664,1095.6158671065205,1257.3646446042353,53.99070276381474
2022-03-30,47200,47680.0,47417.5,47638.44285921389,45924.02470003674,47523.333333333336,47879.52380952381,977.6778750937156,1201.4272907021314,53.70436492773051
2022-03-31,47900,47640.0,47627.5,47682.03664440288,46023.72303462662,47596.666666666664,47925.47619047619,929.9751420341927,1147.1368609685437,57.13208127586609
