Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,84000,,,84000.0,84000.0,,,0.0,0.0,
2022-01-04,84000,,,84000.0,84000.0,,,0.0,0.0,
2022-01-05,82900,,,83564.83516483517,83615.30531324346,,,-87.7492877492914,-17.54985754985828,
2022-01-06,81300,,,82835.76751117736,82993.45436617268,,,-283.1340654702508,-70.66669913393679,
2022-01-07,81900,82820.0,,82575.0161255644,82752.92065046867,82360.0,,-385.1234603744815,-133.55805138204573,
2022-01-10,81500,82320.0,,82305.62985401695,82517.82802732743,81920.0,,-492.54964201881376,-205.35636950939934,
2022-01-11,80300,81580.0,,81841.95509660029,82152.79503968214,81246.66666666667,,-666.8288482413773,-297.65086525579494,
2022-01-12,82500,81500.0,,81984.86568176195,82203.95711697823,81553.33333333333,,-620.2746212278144,-362.17561645019885,
2022-01-13,82900,81820.0,,82174.05403928405,82297.22028733909,82020.0,,-544.8230231832567,-398.70509779681043,
2022-01-14,81300,81700.0,,82000.31922335518,82174.2254402355,81846.66666666667,,-607.1350415451161,-440.39108654647157,
2022-01-17,79700,81340.0,,81557.30880645639,81890.5404325708,81180.0,,-776.6714087340952,-507.6471509839963,
2022-01-18,80000,81280.0,,81264.96954509744,81687.39662355582,80733.33333333333,,-876.7164666885947,-581.461014124916,
2022-01-19,79700,80720.0,,80977.24989281835,81485.90154902973,80206.66666666667,,-969.0398999385507,-658.976791287643,
2022-01-20,80500,80240.0,,80890.98973668688,81391.0447033373,80133.33333333333,,-966.512220576682,-720.4838771454508,
2022-01-21,80000,79980.0,,80732.18409199017,81263.41000915994,80053.33333333333,,-993.4035006142367,-775.0678018392081,35.81123562994324
2022-01-24,78000,79640.0,,80250.78205481426,80976.63425559945,79393.33333333333,,-1162.6954892406502,-852.5933393194965,28.15194889873233
2022-01-25,76700,78980.0,,79631.05179227244,80615.36398134203,78413.33333333333,,-1385.7852753241168,-959.2317265204206,24.486011011887317
2022-01-26,77600,78560.0,,79279.3322079932,80369.69445989173,77953.33333333333,,-1472.9834236764145,-1061.9820659516195,31.168632673858298
2022-01-27,75800,77620.0,,78680.7059888081,80009.58073082012,77033.33333333333,,-1668.1046689817595,-1183.2065865576474,26.178820326586493
2022-01-28,79400,77500.0,80500.0,78803.79909104697,79962.9956499224,77626.66666666667,79439.52380952382,-1514.788212523199,-1249.5229117507579,45.10665187539426
2022-02-03,80400,77980.0,80320.0,79075.74375854149,79995.45721001975,78593.33333333333,79430.0,-1297.6338581750751,-1259.1451010356213,49.017100586593855
2022-02-04,81800,79000.0,80210.0,79538.162687671,80126.02105141648,79866.66666666667,79570.95238095238,-1001.029918350454,-1207.522064498588,53.961779763130274
2022-02-07,83500,80180.0,80240.0,80208.58894941809,80364.24588615319,81366.66666666667,79884.28571428571,-621.6276302445622,-1090.3431776477828,59.14356729722423
2022-02-08,83800,81780.0,80365.0,80814.78284064728,80601.38131033911,82573.33333333333,80223.33333333333,-293.3594258283265,-930.9464272838916,59.99919883178651
2022-02-09,83800,82660.0,80460.0,81317.58975563377,80817.52403033405,83246.66666666667,80550.47619047618,-32.826109823261504,-751.3223637917656,59.99919883178651
2022-02-10,85000,83580.0,80635.0,81936.7333229352,81094.62031562682,84026.66666666667,80982.85714285714,267.3960165034805,-547.5786877327164,63.54126962406457
2022-02-11,83700,83960.0,80805.0,82232.76609687309,81264.07386258371,84066.66666666667,81274.76190476191,395.8618303890689,-358.89058410835935,57.591579759042865
2022-02-14,81800,83620.0,80770.0,82160.19819414911,81298.33359445128,83346.66666666667,81369.52380952382,340.43348707562836,-219.0257698715618,50.19406647911601
2022-02-15,81500,83160.0,80700.0,82049.60608947455,81311.01851024588,82640.0,81439.04761904762,269.1955145414395,-121.38151298896155,49.121194220675605
2022-02-16,82500,82900.0,80760.0,82124.98930964564,81384.68036947673,82420.0,81610.47619047618,290.0866128175985,-39.08788782764953,52.74687526117043
2022-02-17,83600,82620.0,80955.0,82371.69049393017,81519.98812681164,82653.33333333333,81880.95238095238,390.89773981097096,46.90923770007457,56.42532019880317
2022-02-18,83800,82640.0,81145.0,82610.44054157818,81657.3977520793,83046.66666666667,82151.90476190476,481.38055737203103,133.80350163446587,57.07953466412169
2022-02-21,83200,82920.0,81320.0,82708.94058622896,81749.2046872698,83233.33333333333,82347.61904761905,498.92258757090895,206.8273188217545,54.43894118802785
2022-02-22,82800,83180.0,81435.0,82724.14805063495,81811.00690880005,83193.33333333333,82488.57142857143,475.071784022206,260.47621186184483,52.68895690891758
2022-02-23,82700,83220.0,81570.0,82720.11655020785,81862.71388574863,83033.33333333333,82609.04761904762,442.99412558350014,296.9797946061759,52.2368654749651
2022-02-24,81400,82780.0,81740.0,82499.78627628625,81836.0816357607,82426.66666666667,82592.85714285714,309.1099871989427,299.40583312472927,46.63483856357403
2022-02-25,82000,82420.0,82005.0,82416.39051576817,81845.4233893112,82166.66666666667,82617.61904761905,248.55563390963653,289.2357932817107,49.33546623889474
2022-02-28,84100,82600.0,82330.0,82697.26728382558,81972.71942191114,82726.66666666667,82817.14285714286,365.8015892082185,304.54895246701227,57.45150036439973
2022-03-02,84100,82860.0,82745.0,82931.2471034749,82091.77546355955,83226.66666666667,82985.71428571429,453.49227681584307,334.3376173367784,57.45150036439973
2022-03-03,84900,83300.0,83020.0,83259.59598753254,82247.64037986916,83906.66666666667,83190.95238095238,580.8454676558322,383.63918740058915,60.26382791148394
2022-03-04,82800,83580.0,83140.0,83182.95320123281,82278.05818885818,83740.0,83170.0,506.482919537244,408.2079338279201,50.77623325321164
2022-03-07,80500,83280.0,83075.0,82735.58295880666,82180.8666273286,82713.33333333333,82918.57142857143,258.97399529005634,378.36114612034737,42.82414280858576
2022-03-08,78500,82160.0,82825.0,82029.37440511197,81981.07152585778,81120.0,82482.85714285714,-97.43868319751346,283.2011802567752,37.34689737579994
2022-03-10,80200,81380.0,82645.0,81724.37859743713,81885.0357241171,80466.66666666667,82232.85714285714,-239.9564377596107,178.56965665349804,43.91342874642825
2022-03-11,81000,80600.0,82505.0,81603.61581119886,81837.61320500459,80340.0,82076.19047619047,-285.0634370574262,85.84303791131319,46.74222834203275
2022-03-14,80000,80040.0,82255.0,81336.28559622858,81739.7328187879,80140.0,81837.61904761905,-396.92717226731475,-10.711004124412398,43.77043343686159
2022-03-15,79200,79780.0,82030.0,80980.17037735487,81605.21354581746,79860.0,81546.66666666667,-543.8639770925365,-117.34159871803723,41.497404196845785
2022-03-16,81500,80380.0,82015.0,81066.82235909748,81599.67045226452,80433.33333333333,81496.19047619047,-469.3117418177717,-187.73562733798414,49.60085301816442
2022-03-17,81000,80540.0,81990.0,81055.68383050166,81568.2365008387,80640.0,81399.52380952382,-445.43962880401523,-239.27642763119036,48.042912277097074
2022-03-18,81700,80680.0,81950.0,81163.08166014247,81575.11038116273,81026.66666666667,81371.90476190476,-365.81971543081454,-264.58508519111524,50.39213939895478
2022-03-21,81100,80900.0,81825.0,81152.56708729212,81550.43691729126,81166.66666666667,81290.95238095238,-347.13380363777105,-281.0948288804464,48.37320163157641
2022-03-22,82600,81580.0,81765.0,81393.82431615105,81604.70882127243,81733.33333333333,81364.76190476191,-208.8797838154278,-266.65181986744267,53.39978351696824
2022-03-23,83400,81960.0,81775.0,81728.20819384804,81697.16347321282,82340.0,81520.47619047618,-34.36304710202967,-220.19406531436007,55.86773811896552
2022-03-24,82900,82340.0,81780.0,81923.51717807766,81758.86827338404,82653.33333333333,81627.61904761905,62.872151714458596,-163.58082190859633,53.944807645526424
2022-03-25,83600,82720.0,81825.0,82202.94332125814,81852.97090711878,83073.33333333333,81800.95238095238,194.17753937165253,-92.02914965254655,56.21687881200156
2022-03-28,84500,83400.0,81980.0,82585.80019025916,81987.79316871341,83666.66666666667,82055.71428571429,366.63415318430634,-0.2964890851759634,59.016392928356545
2022-03-29,83600,83600.0,82060.0,82754.8386757582,82069.63712489036,83733.33333333333,82210.0,425.77669502403296,84.91814773666582,55.21438624469128
2022-03-30,84000,83720.0,82055.0,82962.37086676162,82167.3249890588,83866.66666666667,82394.76190476191,499.1701201688411,167.7685422231009,56.55403764037453
2022-03-31,84400,84020.0,82070.0,83201.98082513425,82279.97517262913,84093.33333333333,82618.09523809524,582.8923749669921,250.79330877187914,57.9099069781843
