Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,26400,,,26400.0,26400.0,,,0.0,0.0,
2022-01-04,27000,,,26727.272727272724,26707.317073170732,,,47.86324786324985,9.57264957264997,
2022-01-05,26350,,,26578.021978021978,26582.355273592384,,,32.96564151265193,14.251247960650362,
2022-01-06,26000,,,26391.952309985096,26425.94472318088,,,-7.002177041380492,10.000562960244192,
2022-01-07,26100,26370.0,,26310.599870995484,26354.244707335474,26263.333333333332,,-30.258990130245365,1.9486523421462802,
2022-01-10,25700,26230.0,,26157.590796300472,26231.485054227163,26040.0,,-80.04414009867469,-14.449906146017915,
2022-01-11,26000,26030.0,,26121.15791507896,26193.384858946647,25963.333333333332,,-94.20579161127534,-30.4010832390694,
2022-01-12,26200,26000.0,,26138.280406922935,26194.35962715729,26020.0,,-88.2731163962344,-41.9754898705024,
2022-01-13,26600,26120.0,,26233.73303033477,26248.711604773147,26220.0,,-50.7102156847759,-43.7224350333571,
2022-01-14,26000,26100.0,,26187.274158026405,26218.036089853984,26180.0,,-68.56594628765743,-48.69113728421716,
2022-01-17,25550,26070.0,,26064.543761497218,26141.44168572705,25996.666666666668,,-117.67153640343895,-62.48721710806152,
2022-01-18,25350,25940.0,,25930.409032033982,26056.39908315589,25756.666666666668,,-170.7580068770185,-84.14137506185293,
2022-01-19,25350,25770.0,,25823.70083097052,25984.77979276433,25560.0,,-210.40401073094472,-109.39390219567129,
2022-01-20,25400,25530.0,,25747.119357862764,25928.516196646764,25436.666666666668,,-235.07932416942276,-134.5309865904216,
2022-01-21,25650,25460.0,,25729.80927941531,25902.961065674215,25476.666666666668,,-231.78984809792382,-153.98275889192206,42.04162796287877
2022-01-24,24600,25270.0,,25530.740523277946,25788.461925075913,25190.0,,-310.33182726586165,-185.25257256670997,29.469491896152697
