Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,1029000,,,1029000.0,1029000.0,,,0.0,0.0,
2022-01-04,1097000,,,1066090.909090909,1063829.268292683,,,5424.501424501417,1084.9002849002834,
2022-01-05,1123000,,,1088604.3956043955,1084522.60111023,,,11686.723322051112,3205.264892330449,
2022-01-06,1120000,,,1098710.8792846499,1094051.2166120473,,,16220.52425805654,5808.316765475667,
2022-01-07,1141000,1102000.0,,1110494.7323156311,1104378.8221029046,1118466.6666666667,,21263.01189443632,8899.255791267798,
2022-01-10,1156000,1127400.0,,1121897.8118655537,1114064.7971220964,1136466.6666666667,,26167.946516734315,12352.993936361103,
2022-01-11,1135000,1135000.0,,1124926.8622622155,1117510.5285130423,1139000.0,,28037.42012090818,15489.87917327052,
2022-01-12,1141000,1138600.0,,1128417.5382139985,1120971.7986364877,1141000.0,,29661.225137045607,18324.148366025536,
2022-01-13,1124000,1139400.0,,1127504.2877956266,1121377.5490098356,1136133.3333333333,,29239.292028469034,20507.177098514236,
2022-01-14,1107000,1132600.0,,1123428.6717515162,1119604.2553207271,1125333.3333333333,,27219.380994359497,21849.61787768329,
2022-01-17,1115000,1124400.0,,1121805.4234003173,1119076.349421487,1119466.6666666667,,25964.813876531785,22672.65707745299,
2022-01-18,1095000,1116400.0,,1116773.487765731,1116489.278949788,1109666.6666666667,,23090.554010694614,22756.236464101316,
2022-01-19,1089000,1106000.0,,1111667.3320149262,1113702.23873597,1100533.3333333333,,20096.868315116502,22224.362834304353,
2022-01-20,1105000,1102200.0,,1110462.2503391788,1112864.9675928534,1100200.0,,18798.717205303023,21539.233708504085,
2022-01-21,1081000,1097000.0,,1105211.0432077397,1109941.2115238153,1093133.3333333333,,15652.88693744014,20361.964354291296,49.36067603163708
2022-01-24,1060000,1086000.0,,1097245.0030104998,1105552.5724842015,1080800.0,,11334.610950511182,18556.493673535275,43.23006402773274
2022-01-25,1025000,1072000.0,,1084635.8329764428,1098747.863871253,1060466.6666666667,,5030.154140803264,15851.225766988873,35.34976502173954
2022-01-26,1027000,1059600.0,,1074654.9692233913,1092902.3793820185,1045466.6666666666,,192.98536805971526,12719.577687203042,36.06694622978084
2022-01-27,979000,1034400.0,,1058197.3362210249,1083926.3283682356,1018600.0,,-7428.078318483429,8690.046486065748,28.030190505499643
2022-01-28,1003000,1018800.0,1087600.0,1048751.3916628188,1077741.816025273,1008133.3333333334,1070242.857142857,-11399.81678151898,4672.073832548802,35.74036707584876
2022-02-03,1068000,1020400.0,1089550.0,1052030.7760840573,1077018.1743811895,1024533.3333333334,1068376.1904761905,-9196.480058466783,1898.363054345685,51.038957707933385
2022-02-04,1038000,1023000.0,1086600.0,1049649.1732256669,1074195.0976662557,1030400.0,1063466.6666666667,-9758.57829472539,-433.02521546852995,45.63842708577124
2022-02-07,1043000,1026200.0,1082600.0,1048523.9931645067,1071992.5210943837,1037066.6666666666,1059314.2857142857,-9688.89938245248,-2284.2000488653202,46.65161350061945
2022-02-08,1043000,1039000.0,1078750.0,1047591.59894275,1069991.4600288586,1042666.6666666666,1055542.857142857,-9523.89283429063,-3732.138605950382,46.65161350061945
2022-02-09,1065000,1051400.0,1074950.0,1050523.7355221678,1069654.1682626125,1051333.3333333333,1054233.3333333333,-7531.094053431181,-4491.929695446543,51.28483988951012
2022-02-10,1083000,1054400.0,1071300.0,1055984.1456631052,1070538.3527565326,1061866.6666666667,1055000.0,-4448.062597732758,-4483.156275903786,54.74771814613901
2022-02-11,1080000,1062800.0,1068550.0,1060016.1392749136,1071153.7370304936,1070400.0,1055828.5714285714,-2221.20817976119,-4030.7666566752673,54.0580080853692
2022-02-14,1035000,1061200.0,1063250.0,1055821.3357204113,1068842.565303273,1061133.3333333333,1052633.3333333333,-4040.9523459686898,-4032.803794533952,44.91712015169121
2022-02-15,1041000,1060800.0,1059100.0,1053338.5620231566,1067091.2542933067,1054400.0,1050514.2857142857,-4941.994614695432,-4214.641958566248,46.22283889321939
2022-02-16,1053000,1058400.0,1056400.0,1053281.896302469,1066218.2482801063,1051800.0,1049933.3333333333,-4634.355427918024,-4298.584652436603,48.83511845067617
2022-02-17,1037000,1049200.0,1052500.0,1050558.6868189825,1064433.649979453,1044666.6666666666,1048085.7142857143,-5616.867684113327,-4562.241258771948,45.650956960611886
2022-02-18,1040000,1041200.0,1049750.0,1048793.7423371181,1062961.1055918215,1041600.0,1046895.2380952381,-6083.316116356058,-4866.456230288771,46.35720971667407
2022-02-21,1039000,1042000.0,1047250.0,1047157.4628343064,1061535.0765093884,1040866.6666666666,1045871.4285714285,-6459.213707243092,-5185.007725679636,46.14196733441207
2022-02-22,1021000,1038000.0,1043050.0,1042789.0107596641,1059151.017741873,1033866.6666666666,1043371.4285714285,-8116.008529650513,-5771.207886473811,42.331877450392476
2022-02-23,1027000,1032800.0,1040350.0,1040153.046284385,1057281.0010345343,1030200.0,1041842.8571428572,-8842.94454686821,-6385.555218552691,43.992046253120684
2022-02-24,1000000,1025400.0,1037350.0,1033451.4170341247,1053984.0998908777,1019266.6666666666,1038000.0,-11465.553169510327,-7401.5548087442185,38.606017841646796
2022-02-25,1017000,1020800.0,1036950.0,1030706.2867649314,1051876.3656655452,1016466.6666666666,1036061.9047619047,-12033.516584178666,-8327.947163831108,43.31205178756415
2022-02-28,1015000,1016000.0,1036350.0,1028086.005098646,1049794.2829260747,1014533.3333333334,1033971.4285714285,-12500.91223288828,-9162.540177642542,42.89546414705888
2022-03-02,1016000,1015000.0,1038200.0,1026070.0249616929,1047902.9416535759,1014533.3333333334,1032033.3333333334,-12644.872786915512,-9859.006699497137,43.18968908309579
2022-03-03,1032000,1016000.0,1039650.0,1027059.0270298318,1047020.2805138604,1020200.0,1031442.8571428572,-11337.208004037733,-10154.646960405256,47.82203198050668
2022-03-04,1016000,1019200.0,1037050.0,1025214.8102213241,1045312.0293436666,1020200.0,1029190.4761904762,-11459.838638489135,-10415.685296022033,43.96163430085603
