Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,143500,,,143500.0,143500.0,,,0.0,0.0,
2022-01-04,142000,,,142681.81818181818,142731.70731707316,,,-119.65811965809553,-23.931623931619107,
2022-01-05,138000,,,140829.67032967033,141076.92307692306,,,-531.1320524995681,-125.37170964520891,
2022-01-06,134000,,,138631.1475409836,139176.18398538325,,,-1166.5474465776351,-333.6068570316942,
2022-01-07,133500,138200.0,,137201.35454740914,137927.55974713297,136333.33333333334,,-1690.9720721763733,-605.07990006063,
2022-01-10,130500,135600.0,,135522.07469949403,136533.88449416411,133766.66666666666,,-2321.8919689027243,-948.442313829049,
2022-01-11,126500,132500.0,,133436.29187705327,134882.4044021724,130733.33333333333,,-3108.830441051279,-1380.5199392734953,
2022-01-12,132500,131400.0,,133232.95313931597,134531.3473260784,130733.33333333333,,-3211.316931298119,-1746.6793376784203,
2022-01-13,132000,131000.0,,132978.06118009187,134192.17069964748,130933.33333333333,,-3294.902450080728,-2056.323960158882,
2022-01-14,130000,130300.0,,132386.11504439075,133675.11804760894,130600.0,,-3482.385093570454,-2341.5361868411965,
2022-01-17,128000,129800.0,,131541.4085207686,133024.43121824673,129833.33333333333,,-3749.1320638991892,-2623.055362252795,
2022-01-18,126500,129800.0,,130595.03125952145,132323.36300172168,128733.33333333333,,-4035.0548234000744,-2905.455254482251,
2022-01-19,125500,128400.0,,129658.30975785841,131631.5664975641,127300.0,,-4292.856930434675,-3182.9355896727357,
2022-01-20,127500,127500.0,,129268.20775994389,131234.0548331255,127000.0,,-4286.373032180447,-3403.6230781742784,
2022-01-21,127000,126900.0,,128863.93352333664,130845.56099647189,126833.33333333333,,-4272.331538879487,-3577.36477031532,28.340112982558388
2022-01-24,124000,126100.0,,128006.92410230717,130243.99977437682,125866.66666666667,,-4451.959069325996,-3752.2836301174557,24.25010038698395
2022-01-25,120000,124800.0,,126609.44796902905,129378.63407163137,123833.33333333333,,-4861.046632276091,-3974.036230549183,20.0874392018402
2022-01-26,116500,123000.0,,124858.78319007665,128329.37836356822,121066.66666666667,,-5405.362567552933,-4260.301497949933,17.290639774355554
2022-01-27,108000,119100.0,,121958.19507780847,126727.32634095098,116066.66666666667,,-6448.284026045585,-4697.898003569064,12.675090588667816
2022-01-28,110500,115800.0,127800.0,119997.34908682278,125487.20953258379,113200.0,123295.23809523809,-6992.472815166082,-5156.812965888468,19.482882977448725
2022-02-03,112000,113400.0,126225.0,118634.84113055293,124485.35254257933,111933.33333333333,121790.47619047618,-7219.487133534945,-5569.347799417764,23.344315575627203
2022-02-04,114000,112200.0,124825.0,117848.11694519204,123726.7072425291,112133.33333333333,120626.19047619047,-7155.529837287948,-5886.584206991801,28.282941489346648
