Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,14700,,,14700.0,14700.0,,,0.0,0.0,
2022-01-04,14700,,,14700.0,14700.0,,,0.0,0.0,
2022-01-05,14400,,,14581.318681318682,14595.083267248214,,,-23.931623931623108,-4.786324786324622,
2022-01-06,14050,,,14410.283159463488,14448.683332849972,,,-70.32897460247841,-17.894854749555382,
2022-01-07,14150,14400.0,,14337.755321436252,14382.980168555401,14283.333333333334,,-97.9014974972797,-33.89618329910025,
2022-01-10,13950,14250.0,,14240.588443814251,14301.737638507107,14133.333333333334,,-134.3426308479393,-53.98547280886806,
2022-01-11,13900,14090.0,,14161.848957688135,14235.6155187454,14016.666666666666,,-165.35101018708156,-76.25858028451077,
2022-01-12,14050,14020.0,,14137.558214138036,14208.264309509466,14003.333333333334,,-175.79517052188567,-96.16589833198574,
2022-01-13,13800,13970.0,,14067.773830765958,14153.560749170278,13930.0,,-201.91757339933247,-117.31623334545509,
2022-01-14,13550,13850.0,,13964.856462802547,14079.118960325395,13790.0,,-240.02580843551732,-141.85814836346754,
2022-01-17,13400,13740.0,,13856.072736381679,14001.253837635997,13640.0,,-279.1131628549156,-169.30915126175717,
2022-01-18,13000,13560.0,,13695.370073951593,13893.666337858667,13393.333333333334,,-338.4652136068089,-203.1403637307675,
2022-01-19,12800,13310.0,,13530.756285047215,13782.783398015876,13140.0,,-397.06337059354155,-241.9249651033223,
2022-01-20,12850,13120.0,,13407.713526275977,13693.037225147882,12986.666666666666,,-434.4600648641335,-280.4319850554846,
2022-01-21,12850,12980.0,,13308.309400224343,13615.684715804553,12896.666666666666,,-458.8083573568856,-316.1072595157648,11.993857035865684
2022-01-24,12850,12870.0,,13227.55676003012,13548.399326978672,12853.333333333334,,-472.6560696249162,-347.4170215375951,11.993857035865686
2022-01-25,12050,12680.0,,13022.033709393454,13421.8214848132,12580.0,,-541.936686705285,-386.3209545711331,7.464265382991047
2022-01-26,11900,12500.0,,12827.72983623933,13297.834742841027,12320.0,,-602.0062677602145,-429.4580172089494,6.935385842441197
2022-01-27,11400,12210.0,,12582.085999205823,13148.27630903223,11953.333333333334,,-682.0948994384617,-479.98539365485186,5.529063951993753
2022-01-28,12000,12040.0,13317.5,12482.47336473757,13060.523297749825,11883.333333333334,12814.52380952381,-689.2059937796694,-521.8295136798154,25.144707124845773
2022-02-03,12350,11940.0,13200.0,12459.90388433985,13007.744201325771,11986.666666666666,12722.380952380952,-659.0029367104762,-549.2641982859475,33.782074332243674
2022-02-04,12500,12030.0,13090.0,12466.709853096994,12971.007453524557,12173.333333333334,12655.714285714286,-615.8637559672552,-562.584109822209,37.13025194081824
2022-02-07,12600,12170.0,13000.0,12489.265351435559,12944.811916845503,12363.333333333334,12609.047619047618,-567.0696541773577,-563.4812186932388,39.33257928592349
