Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,253000,,,253000.0,253000.0,,,0.0,0.0,
2022-01-04,254500,,,253818.18181818182,253768.29268292684,,,119.65811965809553,23.931623931619107,
2022-01-05,253500,,,253692.3076923077,253674.46471054715,,,132.27165363915265,45.59962987312582,
2022-01-06,249000,,,252181.81818181818,252418.98436820277,,,-218.32767618924845,-7.185831339349036,
2022-01-07,250000,252000.0,,251573.85508492796,251886.86586713506,251233.33333333334,,-410.75361635463196,-87.89938834240562,
2022-01-10,233000,248000.0,,246919.46762914505,248343.01587315442,244900.0,,-1912.959083819238,-452.9113274377721,
2022-01-11,239000,244900.0,,245088.592792266,246805.24605702277,241900.0,,-2589.468107230845,-880.2226833963867,
2022-01-12,246500,243500.0,,245395.11447325852,246760.26679650348,242433.33333333334,,-2491.6963380265224,-1202.517414322414,
2022-01-13,247500,243200.0,,245830.2635302221,246859.38405703745,243766.66666666666,,-2306.9270449116884,-1423.399340440269,
2022-01-14,242000,241600.0,,245068.9260162084,246260.0388504655,243366.66666666666,,-2574.6214500791684,-1653.643762368049,
2022-01-17,240500,243100.0,,244189.01256825315,245599.6153341315,243000.0,,-2874.671238172392,-1897.8492575289176,
2022-01-18,241500,243600.0,,243684.228966742,245159.10030460675,242466.66666666666,,-2997.2211150184157,-2117.7236290268174,
2022-01-19,242000,242700.0,,243374.5834696859,244838.8103615891,241933.33333333334,,-3019.1935699260503,-2298.017617206664,
2022-01-20,241500,241500.0,,243035.76335634515,244517.57238445315,241533.33333333334,,-3041.887731806113,-2446.791640126554,
2022-01-21,240000,241100.0,,242494.6837713617,244103.0645197307,241033.33333333334,,-3144.6607904664706,-2586.3654701945375,37.28252931346999
2022-01-24,233500,239700.0,,240909.84946097215,243171.30853161967,238500.0,,-3707.8629214343964,-2810.6649604425093,29.973677604552435
2022-01-25,231500,237700.0,,239267.51591672644,242185.37038910948,235766.66666666666,,-4266.407463686337,-3101.813461091275,28.145358925496396
2022-01-26,234500,236200.0,,238441.91968001032,241559.22333776063,234700.0,,-4416.077319140895,-3364.666232701199,34.59044877850896
2022-01-27,221000,232100.0,,235441.00174254295,239939.05843440458,229633.33333333334,,-5559.937435874337,-3803.720473335827,24.110190410034306
2022-01-28,232000,230500.0,241300.0,234852.14159257853,239332.34358808582,229600.0,237433.33333333334,-5515.270149145566,-4146.030408497775,40.048998318982555
2022-02-03,239000,231600.0,240600.0,235558.81201802046,239307.65643942083,232433.33333333334,237214.2857142857,-4859.017771803687,-4288.627881158957,47.59223979968079
2022-02-04,247000,234700.0,240225.0,237500.8546989116,239864.21953683763,237566.66666666666,237823.80952380953,-3651.309866230382,-4161.164278173243,54.619800398533336
2022-02-07,245500,236900.0,239825.0,238854.4784493598,240262.14225357922,241166.66666666666,238326.19047619047,-2783.147719513625,-3885.560966441319,53.17986765467937
2022-02-08,248000,242300.0,239775.0,240398.1500642268,240796.2084638452,244866.66666666666,239104.7619047619,-1871.8167188721127,-3482.8121169274777,55.29520501319717
2022-02-09,255500,247000.0,240050.0,242941.78899280692,241789.79907442216,249266.66666666666,240602.38095238095,-538.1891061886563,-2893.8875147797135,60.98943702330884
2022-02-10,265000,252200.0,241650.0,246650.555410719,243327.5151316145,255266.66666666666,242978.57142857142,1270.6437995455635,-2060.981251914658,66.76420056108364
2022-02-11,258500,254500.0,242625.0,248639.94476232157,244314.33152253003,257366.66666666666,244583.33333333334,2154.821787804045,-1217.8206439709174,60.1980771407495
2022-02-14,259000,257200.0,243250.0,250377.1591285461,245253.13078833857,258866.66666666666,246142.85714285713,2862.883496122726,-401.67981595218873,60.51972957203024
2022-02-15,260000,259600.0,243875.0,251989.11480239357,246180.71609276743,259800.0,247738.09523809524,3464.779324621719,371.6120121625928,61.19516418744115
2022-02-16,262000,260900.0,244875.0,253664.65424758338,247160.78001667964,260600.0,249464.2857142857,4056.409625301865,1108.5715347904472,62.57424110582537
2022-02-17,260500,260000.0,245875.0,254807.89199029445,247975.5156943994,260466.66666666666,250952.38095238095,4354.052628680336,1757.667753568425,60.82820356544607
2022-02-18,259000,260100.0,246750.0,255508.6266579624,248639.92901391568,260133.33333333334,252202.38095238095,4417.971760914952,2289.7285550377305,59.05364880347797
2022-02-21,260000,260300.0,247650.0,256259.0182739637,249316.0159975726,260100.0,253464.2857142857,4497.475676358998,2731.277979301984,59.89367098081096
2022-02-22,258500,260000.0,248500.0,256633.275568425,249856.16935281883,259500.0,254497.61904761905,4388.853665081755,3062.7931164579386,57.97246789262143
2022-02-23,259000,259400.0,249450.0,257028.39858273978,250388.00682734564,259166.66666666666,255497.61904761905,4293.621563196939,3308.958805805739,58.45089681533274
2022-02-24,253000,257900.0,250425.0,256356.0502487531,250538.34434105206,257033.33333333334,255835.7142857143,3691.4468786638463,3385.4564203773607,50.95480930650099
2022-02-25,256500,257400.0,251675.0,256380.07011394593,250878.10076905994,256566.66666666666,256414.2857142857,3456.7921044152754,3399.723557184944,54.611519871143216
2022-02-28,261500,257700.0,253025.0,257234.22861836394,251477.82562399047,257933.33333333334,257350.0,3632.4125279593572,3446.261351339827,59.28205510493467
2022-03-02,263500,258700.0,255150.0,258279.3771637243,252150.6623470618,259866.66666666666,258347.61904761905,3888.15602187044,3534.6402854459498,61.01033924111501
2022-03-03,264000,259700.0,256750.0,259233.4634422619,252808.33626082246,261633.33333333334,259190.47619047618,4084.101425682602,3644.5325134932805,61.45086230700302
2022-03-04,264000,261900.0,258000.0,260028.33688044356,253424.64831094473,263066.6666666667,259880.95238095237,4191.07743806325,3753.8414984072747,61.450862307003014
