Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,280000,,,280000.0,280000.0,,,0.0,0.0,
2022-01-04,286500,,,283545.45454545453,283329.2682926829,,,518.5185185184819,103.70370370369638,
2022-01-05,295500,,,288274.7252747253,287585.6463124504,,,1636.8048960641609,410.3239421757893,
2022-01-06,304500,,,293497.7645305514,292128.5490560018,,,3212.250862562156,970.7093262530627,
2022-01-07,305000,294300.0,,296702.859600086,294959.9593259141,298833.3333333333,,4449.853817937372,1666.5382245899245,
2022-01-10,304000,299100.0,,298531.4363056299,296656.1935404108,302066.6666666667,,5289.003098440007,2391.031199359941,
2022-01-11,300000,301800.0,,298870.9485607822,297206.5516597111,302366.6666666667,,5567.094379763235,3026.2438354406004,
2022-01-12,305500,303800.0,,300310.60961635894,298428.6253439368,303600.0,,6160.275932027784,3653.050254758037,
2022-01-13,306500,304200.0,,301590.16014507116,299510.1132923902,304500.0,,6634.588818479737,4249.3579675023775,
2022-01-14,299000,303000.0,,301075.31669626245,299447.1970970424,302766.6666666667,,6332.303030731506,4665.946980148204,
2022-01-17,292500,300700.0,,299423.82650912687,298650.6586613471,299266.6666666667,,5504.787920322095,4833.715168182982,
2022-01-18,286000,297900.0,,296903.8950029161,297291.31032753777,294366.6666666667,,4275.198726464994,4722.011879839385,
2022-01-19,284500,293700.0,,294623.43889543123,295994.44487190363,289900.0,,3143.46703638928,4406.302911149364,
2022-01-20,286000,289600.0,,293064.8022216391,295032.8463066832,287333.3333333333,,2340.617797311279,3993.165888381747,
2022-01-21,282000,286200.0,,291092.66609268327,293837.023233116,284800.0,,1365.8428345315042,3467.701277611699,40.338876909725236
2022-01-24,274500,282600.0,,288169.0917688979,292137.7609909434,280900.0,,-11.725501943030395,2771.8159217007533,33.409174220361514
2022-01-25,266500,278700.0,,284387.11030011857,289972.00156636385,275533.3333333333,,-1729.0599478766671,1871.6407477852695,27.902945395385945
2022-01-26,269500,275700.0,,281809.0922181579,288304.0945212913,272466.6666666667,,-2815.529272207932,934.2067437866292,32.402165590789494
2022-01-27,257500,270000.0,,277626.66320693935,285876.5848822772,266400.0,,-4591.930830903759,-171.02077115144846,25.53720855453383
2022-01-28,265000,266600.0,287525.0,275465.85674826725,284281.1647083153,264733.3333333333,281652.38095238095,-5333.078139501333,-1203.4322448214255,34.83056215686201
2022-02-03,268000,265300.0,286925.0,274193.8991146251,283071.7671209913,265200.0,279792.85714285716,-5613.657049205969,-2085.4772056983343,38.15546640100068
2022-02-04,268500,265700.0,286025.0,273227.40899850195,282017.4580174228,266266.6666666667,278038.09523809527,-5729.6244907215005,-2814.3066627029675,38.716657846870795
2022-02-07,268500,265500.0,284675.0,272427.43189375,281063.0376575646,267200.0,276369.04761904763,-5755.187306829379,-3402.4827915282494,38.7166578468708
