Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,31600,,,31600.0,31600.0,,,0.0,0.0,
2022-01-04,31700,,,31654.545454545452,31651.219512195123,,,7.977207977208309,1.5954415954416619,
2022-01-05,32250,,,31890.109890109892,31860.626486915146,,,58.01089276872881,12.878531830099092,
2022-01-06,31100,,,31635.76751117735,31656.335373104026,,,4.812088627968478,11.26524318967297,
2022-01-07,31800,31690.0,,31681.53085357988,31687.938142814004,31676.666666666668,,18.917731097422802,12.795740771222938,
2022-01-10,30800,31530.0,,31460.629692887764,31521.32926211336,31380.0,,-50.01850606864173,0.23289140325000446,
2022-01-11,30150,31220.0,,31157.629663397936,31295.621762962546,30920.0,,-155.31021887887982,-30.87573065317596,
2022-01-12,30750,30920.0,,31069.102887452285,31215.2221546575,30763.333333333332,,-188.17056117888205,-62.33469675831718,
2022-01-13,30650,30830.0,,30982.460538531825,31139.48772595002,30673.333333333332,,-219.7486577252712,-93.81748895170799,
2022-01-14,29900,30450.0,,30767.300978642234,30986.612172498542,30363.333333333332,,-301.81413327899645,-135.41681781716568,
2022-01-17,29850,30260.0,,30590.641198189136,30856.29266821102,30163.333333333332,,-366.6595727210406,-181.6653687979407,
2022-01-18,28700,29970.0,,30235.72851222604,30624.593044957892,29643.333333333332,,-505.023839261441,-246.33706289064077,
2022-01-19,28200,29460.0,,29861.459823415338,30378.77218036614,29053.333333333332,,-647.5596738527856,-326.58158508306974,
2022-01-20,28650,29060.0,,29642.495471432594,30212.441296606266,28783.333333333332,,-715.9560152123559,-404.45647110892696,
2022-01-21,28150,28710.0,,29376.480392034355,30023.202903677862,28480.0,,-801.2698893235647,-483.81915475185457,26.272801830049495
2022-01-24,27750,28290.0,,29089.899785534424,29823.442691547505,28160.0,,-890.8887948030133,-565.2330827620863,24.271823270905962
2022-01-25,26500,27850.0,,28637.87562599186,29542.69363027762,27563.333333333332,,-1050.6655578447098,-662.319577778611,19.31988441170106
2022-01-26,26050,27420.0,,28189.7302154202,29258.134824762903,26963.333333333332,,-1199.7708216768733,-769.8098265582635,17.903751252383977
2022-01-27,24950,26680.0,,27632.328008875713,28918.633243047654,26140.0,,-1390.667870870995,-893.9814354208099,15.007854724647173
2022-01-28,26300,26310.0,29290.0,27404.326127502474,28718.51333226128,26013.333333333332,28180.95238095238,-1416.690711454754,-998.5232906275987,29.97724085702011
2022-02-03,26250,26010.0,29022.5,27207.663643999815,28535.14720816642,25993.333333333332,27891.428571428572,-1424.922957365623,-1083.8032239752038,29.768119915558973
2022-02-04,26650,26040.0,28770.0,27113.005064843986,28398.751406158754,26206.666666666668,27665.47619047619,-1383.2254525109965,-1143.6876696823624,33.749811841823046
2022-02-07,26450,26120.0,28480.0,27000.81065298374,28261.15689571582,26343.333333333332,27444.52380952381,-1350.747630160382,-1185.0996617779663,32.75004227489504
2022-02-08,26250,26380.0,28237.5,26874.081402308075,28122.34703687058,26386.666666666668,27232.14285714286,-1325.8633234166227,-1213.2523941056975,31.737561477411834
2022-02-09,26300,26380.0,27962.5,26777.387566169124,27999.204179424923,26360.0,27047.619047619046,-1287.2689141624905,-1228.0556981170562,32.301045471465756
2022-02-10,26100,26350.0,27727.5,26663.494727964793,27873.37860936835,26266.666666666668,26870.238095238095,-1258.315813873207,-1234.1077212682865,31.19190547483289
2022-02-11,25400,26100.0,27490.0,26451.36808028268,27712.51039471286,25950.0,26648.571428571428,-1277.132435425785,-1242.7126640997863,27.617477691830242
