Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,78600,,,78600.0,78600.0,,,0.0,0.0,
2022-01-04,78700,,,78654.54545454544,78651.21951219512,,,7.977207977208309,1.5954415954416619,
2022-01-05,77400,,,78158.24175824175,78213.63996827914,,,-89.56745480961399,-16.63713768556947,
2022-01-06,76900,,,77753.2041728763,77860.8190017691,,,-204.85666406071687,-54.28104296059895,
2022-01-07,78300,77980.0,,77905.56869490433,77957.42828025305,77820.0,,-181.16750704593142,-79.65833577766546,
2022-01-10,78000,77860.0,,77929.23205826433,77965.41625400318,77826.66666666667,,-184.4746631506423,-100.62160125226083,
2022-01-11,78900,77900.0,,78153.66060323769,78119.23967619929,78173.33333333333,,-113.16859271244903,-103.13099954429848,
2022-01-12,78900,78200.0,,78315.74650249693,78234.28791744403,78506.66666666667,,-56.01234273707087,-93.70726818285296,
2022-01-13,77900,78400.0,,78229.79802872054,78189.49649473914,78406.66666666667,,-90.36556748299336,-93.03892804288105,
2022-01-14,77300,78200.0,,78044.98303775831,78079.78805142062,78040.0,,-164.11392798216548,-107.25392803073794,
2022-01-17,77500,78100.0,,77940.02666461289,78013.31182207771,77806.66666666667,,-204.06932235634304,-126.61700689585896,
2022-01-18,77000,77720.0,,77763.56410326902,77904.42865845404,77440.0,,-272.9338698306383,-155.88037948281485,
2022-01-19,76300,77200.0,,77494.48784156164,77741.76134369904,76966.66666666667,,-379.61767346625857,-200.62783827950358,
2022-01-20,76500,76920.0,,77314.73991961376,77622.28738173803,76733.33333333333,,-442.92130681649724,-249.08653198690232,
2022-01-21,75600,76580.0,,77009.1130787996,77436.7332935857,76293.33333333333,,-559.265506087293,-311.1223268069805,28.43682455349486
2022-01-24,75100,76100.0,,76672.73350319646,77231.3902783786,75800.0,,-683.9310125691263,-385.6840639594096,25.86092584573142
2022-01-25,74000,75500.0,,76206.25208866005,76958.41737905383,75100.0,,-861.558620068332,-480.8589751811942,21.291502842099007
2022-01-26,73300,74900.0,,75702.9730583944,76660.35663005676,74366.66666666667,,-1046.7476730085473,-594.0367147466649,18.99179178538706
2022-01-27,71300,73860.0,,74945.43254269852,76237.9349491006,73166.66666666667,,-1339.454222485816,-743.1202162944951,14.254455391440189
2022-01-28,73300,73400.0,76540.0,74663.84894398352,76013.41351927795,72980.0,75552.38095238095,-1393.9741205379833,-873.2909971431927,32.410861187502725
