Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,451500,,,451500.0,451500.0,,,0.0,0.0,
2022-01-04,453000,,,452318.18181818177,452268.29268292687,,,119.65811965812463,23.931623931624927,
2022-01-05,448000,,,450609.8901098901,450775.5749405234,,,-186.8166654491215,-18.21803394452436,
2022-01-06,440000,,,447194.48584202677,447881.4419535396,,,-1062.9799111548346,-227.1704093865864,
2022-01-07,448500,448200.0,,447558.26703934633,448017.50987726514,446933.3333333333,,-1059.2561872928054,-393.5875649678302,
2022-01-10,463000,450500.0,,451427.78189552383,450828.75965818623,451866.6666666667,,112.42771245422773,-292.38450948341864,
2022-01-11,452500,450400.0,,451675.6643592272,451103.82961290254,452533.3333333333,,191.5256086952868,-195.60248584767754,
2022-01-12,453500,451500.0,,452071.8635739117,451456.9151634289,453566.6666666667,,331.086346676806,-90.26471934278085,
2022-01-13,451500,453800.0,,451953.6405676066,451462.68812447926,453566.6666666667,,277.1115818854305,-16.789459097138575,
2022-01-14,438500,451800.0,,449279.47436902614,449863.90010926937,448466.6666666667,,-805.3713430295466,-174.50583588362016,
2022-01-17,438500,446900.0,,447203.49318098614,448560.9597881593,444033.3333333333,,-1644.2924797233427,-468.46316465156474,
2022-01-18,436000,443600.0,,445100.36443247396,447211.24984686973,440400.0,,-2482.258698161808,-871.2222713536135,
2022-01-19,435000,439900.0,,443243.41242244455,445973.19466010516,437533.3333333333,,-3190.2691690390348,-1335.0316508906978,
2022-01-20,439000,437400.0,,442476.44018505194,445302.28056071274,437233.3333333333,,-3389.5335645236773,-1745.9320336172939,
2022-01-21,436000,436900.0,,441322.11122190213,444448.7539043298,436766.6666666667,,-3746.341469082574,-2146.0139207103502,37.30566131031634
2022-01-24,450000,439200.0,,442851.1272748136,444936.57577710005,441133.3333333333,,-2866.3893547730404,-2290.0890075228886,53.334279407174535
2022-01-25,443000,440600.0,,442877.11054600315,444772.98281583685,442400.0,,-2702.707335245388,-2372.6126730673886,46.88049266731283
2022-01-26,440500,441700.0,,442465.4635677198,444424.8518273302,442366.6666666667,,-2743.096552592702,-2446.7094489724514,44.795661986436016
2022-01-27,430000,439900.0,,440320.75507774274,443288.10467094183,438466.6666666667,,-3581.087004331057,-2673.5849600441725,37.29408525890977
2022-01-28,437500,440200.0,444275.0,439838.038013826,442845.76896263054,437666.6666666667,441440.4761904762,-3598.5315234499285,-2858.5742727253237,44.449885418607415
2022-02-03,443000,438800.0,443850.0,440376.74131623446,442857.2255535948,438600.0,441319.04761904763,-3132.4435367372935,-2913.348125527718,49.042343998731305
2022-02-04,452000,440600.0,443800.0,442349.68892363895,443518.7314815089,443000.0,442095.2380952381,-2013.6288059882354,-2733.404261619821,55.52223561923101
2022-02-07,454500,443400.0,444125.0,444405.7772967378,444294.08038494986,447633.3333333333,443114.28571428574,-914.6870219998527,-2369.6608136958275,57.15216708490398
2022-02-08,457000,448800.0,444975.0,446531.55481425714,445171.04175580124,452166.6666666667,444340.4761904762,156.16123636142584,-1864.496403684377,58.77895189117219
2022-02-09,459000,453100.0,445500.0,448631.64339202776,446105.5165837197,455566.6666666667,445676.1904761905,1152.9094588796725,-1261.0152311715672,60.08457163957919
2022-02-10,460000,456500.0,445350.0,450543.0667255314,447026.050202714,457866.6666666667,447057.14285714284,2000.4710638854885,-608.717972160156,60.753914618668915
2022-02-11,454500,457000.0,445450.0,451207.39161113405,447512.1549000539,457200.0,447928.5714285714,2202.9712266233983,-46.3801324034452,55.264781672314655
2022-02-14,455500,457200.0,445550.0,451927.19288541615,448022.78763881733,456700.0,448885.71428571426,2416.292194846843,446.15433304661246,56.042433362051376
2022-02-15,459000,457600.0,445925.0,453111.98350085726,448713.2596789285,457300.0,450166.6666666667,2835.0901933712303,923.9415051115361,58.745516717867424
2022-02-16,461500,458100.0,447075.0,454515.90056051716,449505.44616262807,458600.0,451650.0,3330.329762661073,1405.2191566214435,60.608811334295105
2022-02-17,453500,456800.0,447825.0,454345.9873029158,449749.42636026704,457066.6666666667,452261.90476190473,3042.20885811426,1732.6170969200068,52.44571292079266
2022-02-18,451000,456100.0,448575.0,453786.6865178927,449824.7947639259,455133.3333333333,452564.28571428574,2582.3738604423706,1902.5684496244799,50.17160052027373
2022-02-21,454000,455800.0,449525.0,453822.3256501499,450073.2792951989,454433.3333333333,453080.95238095237,2431.991752745642,2008.4531102487122,52.815628444391706
2022-02-22,444500,452900.0,449800.0,452265.4417472709,449745.4884900069,450666.6666666667,452602.38095238095,1528.6212495332002,1912.48673810561,44.72272448477161
2022-02-23,446500,449900.0,450325.0,451302.9052171849,449556.7194205947,448533.3333333333,452288.09523809527,962.976311124221,1722.5846527093322,46.57859765303202
2022-02-24,438500,446900.0,449750.0,449166.07297078165,448920.331958007,444733.3333333333,451161.90476190473,-129.3435273571522,1352.1990166960354,40.69329034281098
2022-02-25,437500,444200.0,449475.0,447219.4388317113,448269.48403677676,441600.0,449995.2380952381,-1063.4477480778587,869.0696637412567,40.012716167043585
2022-02-28,433000,440000.0,449100.0,444847.20818081097,447407.35110746545,437866.6666666667,448426.1904761905,-2142.1510805732687,266.8255148783516,37.012846785194455
2022-03-02,433000,437700.0,449250.0,442871.0600511416,446601.0248469989,435533.3333333333,446892.85714285716,-2962.877041011816,-379.1149962996819,37.01284678519445
2022-03-03,438500,436100.0,449300.0,442142.05404308724,446151.3935787671,435800.0,445869.04761904763,-3133.384536614467,-929.9689043626389,43.063655642158324
2022-03-04,438000,436000.0,449050.0,441451.3200691669,445702.50570963847,436433.3333333333,444792.85714285716,-3271.150984318985,-1398.2053203539083,42.66242051815144
2022-03-07,430500,434600.0,447975.0,439625.23726161796,444871.51194445085,434600.0,443026.1904761905,-3940.1001842661644,-1906.5842931363595,37.08132744408901
2022-03-08,424500,432900.0,446475.0,437103.3714323566,443765.7592214815,431233.3333333333,440790.4761904762,-4897.936734831426,-2504.854781475373,33.32534854557474
2022-03-10,433000,432900.0,445275.0,436419.2517241633,443185.2669149279,431266.6666666667,439507.14285714284,-4914.498855817597,-2986.783596343818,42.249661006905285
2022-03-11,426500,430500.0,443650.0,434765.59094532917,442291.2268580025,429133.3333333333,437719.04761904763,-5389.987710085174,-3467.424419092089,38.054930531560935
2022-03-14,423000,427500.0,441800.0,432804.2122069168,441263.6805113,426633.3333333333,435752.38095238095,-5980.29963055026,-3969.9994613837234,35.98325990061861
2022-03-15,420000,425400.0,440075.0,430669.7715494404,440137.4302136719,424133.3333333333,433676.1904761905,-6613.95940150664,-4498.791449408307,34.26157000823061
2022-03-16,423500,425200.0,438475.0,429474.6205108374,439260.9001866833,423500.0,432097.61904761905,-6755.841451099142,-4950.201449746474,37.98936544749691
2022-03-17,427500,424100.0,436900.0,429145.47369047796,438644.4089725574,424266.6666666667,431052.38095238095,-6470.9246358101955,-5254.346086959219,42.03490043445575
