Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,78200,,,78200.0,78200.0,,,0.0,0.0,
2022-01-04,77700,,,77927.27272727274,77943.90243902439,,,-39.886039886041544,-7.977207977208309,
2022-01-05,76900,,,77520.87912087912,77578.82632831085,,,-134.49890828807838,-33.28154803938232,
2022-01-06,76900,,,77321.0134128167,77396.5053217714,,,-207.09304839465767,-68.0438481104374,
2022-01-07,77300,77400.0,,77315.15803053108,77375.27646728145,77226.66666666667,,-229.69993254204746,-100.37506499675942,
2022-01-10,74400,76640.0,,76584.65405562181,76817.00843250848,76226.66666666667,,-476.13324710149027,-175.5267014177056,
2022-01-11,74600,76020.0,,76125.82862182935,76452.11034222301,75546.66666666667,,-647.8273454360751,-269.9868302213795,
2022-01-12,76000,75840.0,,76098.50185144816,76385.49002592913,75540.0,,-663.2819541547797,-348.6458550080595,
2022-01-13,78500,76160.0,,76594.97049136503,76668.81438532117,76426.66666666667,,-468.40129769046325,-372.5969435445403,
2022-01-14,77400,76180.0,,76754.98537284142,76758.99713032102,76840.0,,-398.12840390570636,-377.70323561677355,
2022-01-17,75100,76320.0,,76436.25754039976,76568.78301079194,76480.0,,-522.0100010383903,-406.5645887010969,
2022-01-18,74300,76260.0,,76035.23755718011,76324.99598846732,75806.66666666667,,-676.9370643071452,-460.6390838223066,
2022-01-19,73900,75840.0,,75642.67413036476,76079.1342708664,75020.0,,-822.5131159928424,-533.0138902564138,
2022-01-20,74500,75040.0,,75436.14239431644,75927.20054481982,74573.33333333333,,-879.3318104361388,-602.2774742923589,
2022-01-21,75000,74560.0,,75358.40651111027,75842.12566714318,74560.0,,-873.9409663625265,-656.6101727063924,40.98813000798698
2022-01-24,73500,74240.0,,75030.96126941803,75636.30879116281,74206.66666666667,,-979.4160490243521,-721.1713479699845,34.898310801327135
2022-01-25,71300,73640.0,,74379.78370590217,75269.99748825046,73226.66666666667,,-1226.3903610924608,-822.2151505944798,28.265234506507294
2022-01-26,71200,73100.0,,73829.13688961075,74938.40424065938,72413.33333333333,,-1413.890003184657,-940.5501211125154,28.004677257019924
2022-01-27,70000,72200.0,,73170.32605984753,74549.23442145684,71380.0,,-1640.4052213117684,-1080.521141152366,25.023642593918545
2022-01-28,72000,71600.0,74935.0,72970.04764365591,74354.4180735204,71313.33333333333,73817.14285714286,-1639.636173162784,-1192.3441475544496,37.05073274224529
2022-02-03,72100,71320.0,74630.0,72821.81767095554,74186.95537488788,71480.0,73547.14285714286,-1612.371122069846,-1276.349542457529,37.589804352628114
2022-02-04,76600,72380.0,74575.0,73463.13143581543,74361.54606759171,73240.0,73734.76190476191,-1213.6606561472436,-1263.811765195472,55.89400008054979
2022-02-07,76500,73440.0,74555.0,73977.0335166928,74512.53480889786,74613.33333333333,73918.09523809524,-895.4269787874073,-1190.134807913859,55.504421690369995
2022-02-08,77700,74980.0,74595.0,74605.43263549212,74732.53335510453,76033.33333333333,74217.61904761905,-540.1678073084768,-1060.1414077927827,59.18110979255802
2022-02-09,78900,76360.0,74675.0,75328.77638319391,75014.1447828835,77340.0,74627.61904761905,-159.94859538270975,-880.1028453107682,62.51662768129156
2022-02-10,79800,77900.0,74945.0,76080.54741265674,75331.21598956347,78486.66666666667,75115.71428571429,211.5615973840031,-661.7699567718139,64.83738231763199
2022-02-11,78800,78340.0,75155.0,76537.113117377,75556.82523865734,78786.66666666667,75482.85714285714,420.4477985843114,-445.3264057005889,60.36520107711347
2022-02-14,78800,78800.0,75295.0,76916.56279321817,75764.14914015411,78940.0,75830.0,579.3136508229218,-240.39839439588678,60.36520107711346
2022-02-15,78300,78920.0,75285.0,77148.30719018716,75923.65540267364,78773.33333333333,76116.19047619047,657.2932940204191,-60.86005671262561,58.04359980542411
2022-02-16,80600,79260.0,75445.0,77726.02308057639,76213.37247599363,79333.33333333333,76622.38095238095,894.373717676368,130.1866981651731,64.75795871136883
2022-02-17,80400,79380.0,75710.0,78173.25595630071,76469.0841905764,79713.33333333333,77094.28571428571,1053.9737793136155,314.94411439486163,63.801808413774644
2022-02-18,80400,79700.0,76015.0,78545.4688725306,76705.98895176793,80053.33333333333,77540.95238095238,1167.0054654474807,485.3563846053855,63.801808413774644
2022-02-21,81300,80200.0,76385.0,79005.67934862743,76979.39842925187,80586.66666666667,78044.28571428571,1314.058718510234,651.0968513863552,66.39158846381852
2022-02-22,81300,80800.0,76725.0,79388.84456128094,77233.5133574252,80953.33333333333,78512.38095238095,1414.296353035068,803.7367517160978,66.39158846381854
2022-02-23,81500,80980.0,77050.0,79741.30050820274,77481.66728422487,81186.66666666667,78967.14285714286,1492.6671908760618,941.5228395480907,67.00006790045649
2022-02-24,80300,80960.0,77390.0,79834.54864757966,77643.88100580843,80960.0,79276.66666666667,1441.3318964110222,1041.484650920677,59.982908043145244
2022-02-25,80000,80880.0,77825.0,79862.15633114066,77778.15688808395,80640.0,79525.23809523809,1360.7548777115007,1105.3386962788418,58.33792363043925
2022-02-28,80500,80720.0,78290.0,79968.56786535511,77931.83533390112,80513.33333333333,79780.0,1322.00359664821,1148.6716763527156,60.29244682741033
2022-03-02,80200,80500.0,78800.0,80007.17140578793,78058.7761379182,80340.0,79961.90476190476,1252.645714371858,1169.4664839565442,58.51854583072907
2022-03-03,80700,80340.0,79235.0,80122.7214558497,78205.37201402296,80406.66666666667,80142.85714285714,1223.9163682650687,1180.3564608182492,60.59922293746287
2022-03-04,81200,80520.0,79690.0,80302.36973713226,78370.28273296551,80693.33333333333,80330.0,1227.345896320825,1189.7543479187643,62.61848328905707
2022-03-07,81000,80720.0,79910.0,80418.69641017284,78514.0273692018,80853.33333333333,80454.76190476191,1200.0915847255237,1191.8217952801162,61.26593959493569
2022-03-08,79300,80480.0,80050.0,80232.17356750039,78556.68946414371,80380.0,80396.66666666667,1029.4496986069862,1159.3473759454903,51.15210436761702
2022-03-10,82500,80940.0,80290.0,80610.26869800716,78769.31370933852,81053.33333333333,80630.0,1139.2949479601957,1155.3368903484316,63.400044887184066
2022-03-11,85000,81800.0,80595.0,81342.09068272832,79103.17010818365,82406.66666666667,81078.57142857143,1411.8028219781263,1206.6300766743707,69.7759831836104
2022-03-14,79500,81460.0,80580.0,81035.00559740457,79124.30723484748,81640.0,80974.28571428571,1170.4707822830096,1199.3982177960984,49.39072161666784
2022-03-15,77600,80780.0,80520.0,80462.3959368275,79043.57090719191,80353.33333333333,80690.47619047618,816.4873234645202,1122.8160389297827,44.54875802668243
2022-03-16,79900,80900.0,80575.0,80368.64844663613,79088.69120559088,80060.0,80631.42857142857,713.3209403621149,1040.9170192162492,50.83243392155756
2022-03-17,81000,80600.0,80710.0,80473.8875825502,79188.87954666438,80093.33333333333,80671.90476190476,712.1128517165198,975.1561857163033,53.54384457022784
2022-03-18,79700,79540.0,80665.0,80344.89214415142,79215.5438417822,79793.33333333333,80575.71428571429,599.347393641292,899.9944273013011,50.03226811120452
2022-03-21,79700,79580.0,80630.0,80237.40027702255,79240.70265116845,79846.66666666667,80483.80952380953,504.1682182986842,820.8291855007777,50.03226811120452
2022-03-22,79600,79980.0,80590.0,80131.15879034757,79259.28157371035,79853.33333333333,80385.71428571429,415.8749245881045,739.8383333182431,49.741239827479845
2022-03-23,79900,79980.0,80520.0,80092.62987520697,79292.27755775813,79826.66666666667,80320.0,365.8915756742499,665.0489817894445,50.66831907355208
2022-03-24,79200,79620.0,80415.0,79943.85034517068,79287.5437737942,79566.66666666667,80194.28571428571,266.72067181668535,585.3833197948927,48.423789510880475
2022-03-25,79500,79580.0,80315.0,79869.87202074134,79298.40268744514,79526.66666666667,80107.14285714286,209.91474233492045,510.2896043028983,49.45716074050976
2022-03-28,79200,79480.0,80260.0,79758.22257522879,79293.39070140236,79400.0,80000.95238095238,139.08485750066757,436.0486549424521,48.41256155704636
2022-03-29,81100,79780.0,80315.0,79981.85900424575,79385.1035321595,79940.0,80080.95238095238,233.57329693251813,395.55358334046537,54.90837335253615
2022-03-30,80700,79940.0,80325.0,80101.55222904857,79451.64512866562,80246.66666666667,80117.61904761905,273.0320651833026,371.0492797090328,53.384340170408045
2022-03-31,81200,80340.0,80375.0,80284.63075645661,79539.85881683641,80666.66666666667,80200.95238095238,340.7216179133102,364.9837473498883,55.06334252919668
