Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,194500,,,194500.0,194500.0,,,0.0,0.0,
2022-01-04,192000,,,193136.36363636365,193219.51219512196,,,-199.43019943020772,-39.886039886041544,
2022-01-05,190000,,,191895.60439560443,192093.57652656623,,,-512.9503818962548,-134.4989082880842,
2022-01-06,181500,,,188549.18032786887,189248.3251645834,,,-1430.8029421542888,-393.75971506132515,
2022-01-07,187500,189100.0,,188256.82648892712,188863.73559129558,187466.66666666666,,-1654.9802706510236,-646.0038261792649,
2022-01-10,181000,186400.0,,186438.35197061003,187388.21818550033,184766.66666666666,,-2330.276123226504,-982.8582855887128,
2022-01-11,181500,184300.0,,185296.67114280193,186419.07456855784,183133.33333333334,,-2792.9121772588405,-1344.8690639227384,
2022-01-12,184500,183200.0,,185123.65447082257,186136.2910469064,183200.0,,-2884.232023839635,-1652.741655906118,
2022-01-13,183000,183500.0,,184684.62525590585,185716.05767717632,183133.33333333334,,-3042.5682908321323,-1930.7069828913209,
2022-01-14,188000,183600.0,,185343.61885929015,185997.7538483791,184633.33333333334,,-2733.087379890814,-2091.18306229122,
2022-01-17,184000,184200.0,,185084.8560123932,185768.69920906716,184766.66666666666,,-2778.55860488108,-2228.658170809192,
2022-01-18,191500,186200.0,,186289.11200007732,186384.54336305725,187200.0,,-2184.22912468962,-2219.772361585278,
2022-01-19,187500,186800.0,,186511.73375995635,186497.63554381643,187633.33333333334,,-2012.783188645728,-2178.374526997368,
2022-01-20,188500,187900.0,,186871.10137612125,186690.28964444864,188200.0,,-1775.749669652374,-2097.849555528369,
2022-01-21,181000,186500.0,,185824.66503603314,186168.17962396733,185900.0,,-2168.093782467826,-2111.8984009162605,39.18327278382493
2022-01-24,182500,186200.0,,185238.86976478255,185845.83429411118,184566.66666666666,,-2331.1201525372744,-2155.7427512404633,41.59823972777951
2022-01-25,177500,183400.0,,183888.17808135378,185140.81682847388,181666.66666666666,,-2831.1422925912775,-2290.822659510626,36.40840814268942
2022-01-26,175500,181000.0,,182435.5875965326,184355.3544858525,179033.33333333334,,-3350.17796023938,-2502.6937196563767,34.55150214317679
2022-01-27,171500,177600.0,,180554.0973949242,183342.2912092877,175866.66666666666,,-4037.739489476633,-2809.702873620428,31.131666199310757
2022-01-28,178000,177000.0,184050.0,180117.01357819609,182934.02523961215,176000.0,181904.7619047619,-4011.8946535288997,-3050.1412296021226,41.299295450416835
2022-02-03,175000,175500.0,183075.0,179245.22823571044,182344.66992293423,175333.33333333334,181042.85714285713,-4185.242492560908,-3277.1614821938797,38.47584073932136
2022-02-04,173000,174600.0,182125.0,178185.15477089552,181668.55627880385,174500.0,180083.33333333334,-4432.905414964218,-3508.3102687479477,36.67568594037525
2022-02-07,168000,173100.0,181025.0,176461.61220716697,180703.46739999662,172300.0,178738.09523809524,-4975.286275366088,-3801.705470071576,32.57269868442769
2022-02-08,167000,172200.0,180300.0,174864.5876838296,179757.6553753177,170266.66666666666,177402.38095238095,-5423.302205591317,-4126.024817175525,31.806308611901233
2022-02-09,171000,170800.0,179475.0,174213.66639158348,179165.8675952619,169866.66666666666,176516.66666666666,-5393.419504706893,-4379.5037546817985,38.08194941391608
2022-02-10,171000,170000.0,178975.0,173673.33526556464,178624.86470767797,169933.33333333334,175709.52380952382,-5308.543662079988,-4565.311736161437,38.08194941391608
2022-02-11,168000,169000.0,178300.0,172720.84566317472,177933.82492508812,169266.66666666666,174664.2857142857,-5420.865510026662,-4736.422490934482,35.25953315004333
