Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,93300,,,93300.0,93300.0,,,0.0,0.0,
2022-01-04,91600,,,92372.72727272726,92429.26829268291,,,-135.61253561254125,-27.122507122508253,
2022-01-05,90300,,,91552.74725274726,91684.61538461536,,,-344.01993490314635,-90.50199267863587,
2022-01-06,87000,,,90087.18330849477,90426.40874684606,,,-766.6294934937323,-225.7274928416552,
2022-01-07,89000,90240.0,,89784.23994839819,90112.63305889258,89360.0,,-929.4531705263362,-366.4726283785914,
2022-01-10,86600,88900.0,,88986.30724114594,89453.53775254672,88146.66666666667,,-1237.8825109874597,-540.7546049003652,
2022-01-11,88600,88300.0,,88896.99818146681,89313.05371499236,88046.66666666667,,-1305.8783474058582,-693.7793534014638,
2022-01-12,88200,87880.0,,88745.62793689017,89149.04067742224,88013.33333333333,,-1376.1784659968544,-830.2591759205419,
2022-01-13,86700,87820.0,,88322.72937241856,88820.89236430748,87620.0,,-1535.2320806650532,-971.2537568694443,
2022-01-14,84900,87000.0,,87642.39700077422,88337.29855561708,86646.66666666667,,-1785.940957334824,-1134.1911969625203,
2022-01-17,84100,86500.0,,86960.1791780474,87851.46648321161,85680.0,,-2025.8303512232815,-1312.5190278146727,
2022-01-18,82600,85300.0,,86141.68283678319,87287.18185542217,84380.0,,-2310.3496159367496,-1512.0851454390881,
2022-01-19,81000,83860.0,,85196.38444259847,86649.74685050063,82946.66666666667,,-2634.5701268554403,-1736.5821417223588,
2022-01-20,80000,82520.0,,84257.16802771232,86009.9527336211,81660.0,,-2938.3375342492363,-1976.9332202277344,
2022-01-21,78400,81220.0,,83213.21509936932,85311.70487175894,80286.66666666667,,-3270.4819413611694,-2235.6429644544214,14.621189737179163
2022-01-24,76500,79700.0,,82030.36822081864,84537.36658828906,78713.33333333333,,-3645.0055430430657,-2517.5154801721505,12.766006779080623
2022-01-25,74400,78060.0,,80698.61368680908,83681.00876372082,76946.66666666667,,-4064.418558115285,-2826.896095760778,11.090971361748283
2022-01-26,73800,76620.0,,79503.97278830555,82875.9773613927,75526.66666666667,,-4394.56358635574,-3140.4295938797704,10.660577285187925
2022-01-27,69800,74580.0,,77834.38443224313,81845.52794946884,73253.33333333333,,-4922.232043394775,-3496.790083782772,8.337657651167126
2022-01-28,72300,73360.0,82955.0,76887.28277680393,81116.04427445319,72493.33333333333,79380.0,-5080.123489298363,-3813.45676488589,20.061598582074645
2022-02-03,74000,72860.0,81990.0,76395.37655729448,80587.4502253789,72706.66666666667,78527.14285714286,-5010.321932792052,-4052.829798467123,26.90776581710432
2022-02-04,75400,73060.0,81180.0,76226.41999781228,80212.12333801416,73553.33333333333,77899.52380952382,-4786.855506095744,-4199.634939992848,32.06756748142253
2022-02-07,75100,73320.0,80420.0,76035.80602536561,79851.17421654337,74233.33333333333,77320.47619047618,-4581.155536392427,-4275.939059272763,31.553538340037665
2022-02-08,74100,74180.0,79775.0,75709.06153116711,79454.22871572572,74493.33333333333,76718.57142857143,-4447.559770540625,-4310.263201526336,29.836675566327546
2022-02-09,77300,75180.0,79190.0,75977.02691550808,79308.65936242543,75533.33333333333,76482.85714285714,-4036.9356261206703,-4255.597686445203,40.91554432105035
2022-02-10,74300,75240.0,78575.0,75695.0593024436,78976.82699478226,75240.0,76017.14285714286,-3908.5328277731605,-4186.184714710795,35.289683517014446
2022-02-11,72500,74660.0,77770.0,75158.64454425572,78555.57503144084,74326.66666666667,75438.57142857143,-3906.9804036801215,-4130.34385250466,32.4101774860351
2022-02-14,71000,73840.0,76910.0,74461.30684860061,78072.57568393683,73106.66666666667,74793.80952380953,-3980.898243451331,-4100.454730693995,30.198797777807112
2022-02-15,70500,73120.0,76100.0,73797.73450694473,77596.2569602622,71993.33333333333,74183.33333333333,-4033.330759016215,-4087.029936358439,29.476816529854254
2022-02-16,72700,72200.0,75490.0,73614.00475373853,77292.91549189379,71853.33333333333,73859.52380952382,-3852.9479064358165,-4040.213530373915,36.653091168634184
2022-02-17,72700,71880.0,74920.0,73461.13395987681,77012.38843553844,72020.0,73593.80952380953,-3667.7140714348207,-3965.7136385860963,36.653091168634184
2022-02-18,74000,72180.0,74490.0,73551.208479586,76830.84062389961,72726.66666666667,73506.19047619047,-3377.0868323720933,-3847.9882773432955,40.78267214874374
2022-02-21,74300,72840.0,74155.0,73676.31205843849,76680.21934647759,73433.33333333333,73488.09523809524,-3086.970484589372,-3695.784718792511,41.72675979033937
2022-02-22,71800,73100.0,73745.0,73362.95677026383,76393.19066114443,73086.66666666667,73263.80952380953,-3023.9224003198324,-3561.412255097975,36.5039226975793
2022-02-23,73200,73200.0,73485.0,73335.75124966726,76207.46341810662,73120.0,73211.90476190476,-2828.3841872844932,-3414.806641535279,40.96055491342048
2022-02-24,71800,73020.0,73250.0,73079.43108349605,75953.78469529554,72653.33333333333,73051.42857142857,-2754.6333458775043,-3282.7719824037245,38.0820627772974
2022-02-25,73100,72840.0,73185.0,73082.86327144572,75791.14670513892,72680.0,73037.14285714286,-2561.755810919014,-3138.5687481067826,42.1476232165809
2022-02-28,73000,72580.0,73145.0,73069.03918213503,75633.55529738452,72733.33333333333,73019.52380952382,-2389.424342664701,-2988.7398670183666,41.91960870207408
2022-03-02,73000,72820.0,73305.0,73057.52324955685,75486.1649284796,72873.33333333333,73005.71428571429,-2227.1769035176985,-2836.427274318233,41.91960870207408
2022-03-03,77100,73600.0,73545.0,73731.72808866069,75575.73763361624,74300.0,73367.14285714286,-1747.6135035761254,-2618.6645201698116,53.80334830921109
2022-03-04,79000,75040.0,73795.0,74610.2715251196,75764.30782374756,76100.0,73886.66666666667,-1200.4044181110658,-2335.0124997580624,58.083534628053094
2022-03-07,81000,76620.0,74075.0,75675.72968351426,76050.49930020588,78086.66666666667,74572.85714285714,-598.4553691784822,-1987.7010736421464,62.06757608311916
2022-03-08,80900,78200.0,74365.0,76546.78436953909,76313.72711650451,79513.33333333333,75222.85714285714,-128.00007022357022,-1615.7608729584313,61.7515363762371
2022-03-10,85100,80620.0,74915.0,77972.78820021467,76787.48504729426,81813.33333333333,76245.23809523809,577.0916890171648,-1177.1903605633122,68.91149720028893
2022-03-11,89900,83180.0,75545.0,79961.20052229597,77490.08774909849,84906.66666666667,77672.38095238095,1505.843446952029,-640.583599060244,74.73291122328393
2022-03-14,86800,84740.0,76170.0,81101.26020600945,77985.97981402263,86113.33333333333,78744.28571428571,1969.0439017790195,-118.6580988923912,66.12146160050239
2022-03-15,87800,86100.0,76935.0,82217.9288724679,78505.78837442269,87133.33333333333,79851.90476190476,2389.283074059087,382.93013569790446,67.42542705252902
2022-03-16,88800,87680.0,77825.0,83315.11433925483,79048.13088033316,88033.33333333333,80981.90476190476,2771.074071440249,860.5589228463734,68.72190862114773
2022-03-17,88900,88440.0,78745.0,84246.05137106251,79564.55314891684,88440.0,82036.66666666667,3046.5960885173263,1297.7663559805642,68.85540056256255
2022-03-18,88900,88240.0,79555.0,85021.79471830282,80051.56772301487,88593.33333333333,83003.80952380953,3227.7418729678466,1683.7614593780208,68.85540056256255
