Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,21550,,,21550.0,21550.0,,,0.0,0.0,
2022-01-04,21200,,,21359.090909090908,21370.731707317074,,,-27.92022792022908,-5.584045584045817,
2022-01-05,20500,,,21019.23076923077,21066.21728786677,,,-105.31732696975087,-25.530701861186827,
2022-01-06,19750,,,20610.655737704918,20712.70409790899,,,-224.58494215704195,-65.34154992035786,
2022-01-07,20100,20620.0,,20468.36164265749,20577.92390235957,20330.0,,-287.54862992877315,-109.78296592204093,
2022-01-10,19850,20280.0,,20313.407560181753,20441.339403102644,20073.333333333332,,-353.5452670156956,-158.53542614077188,
2022-01-11,19800,20000.0,,20194.71460921357,20335.781156239238,19913.333333333332,,-405.21163206082565,-207.87066732478263,
2022-01-12,20050,19910.0,,20163.28628361253,20293.670128816426,19930.0,,-421.1301615741286,-250.52256617465184,
2022-01-13,19800,19920.0,,20088.18306221953,20227.52299557372,19893.333333333332,,-448.7457597788598,-290.16720489549346,
2022-01-14,19650,19830.0,,20001.08586886955,20156.292643121767,19803.333333333332,,-477.2338123919253,-327.58052639477984,
2022-01-17,19150,19690.0,,19837.178224332012,20040.915066149726,19576.666666666668,,-534.0009896541014,-368.8646190466442,
2022-01-18,18700,19470.0,,19623.706213670765,19896.830026015028,19246.666666666668,,-608.2886528691524,-416.7494258111459,
2022-01-19,18650,19190.0,,19444.69032540829,19770.418364630714,18973.333333333332,,-663.5477775775944,-466.10909616443564,
2022-01-20,19000,19030.0,,19364.315122653723,19696.293868118555,18910.0,,-671.3599376474303,-507.1592644610346,
2022-01-21,18850,18870.0,,19272.646115405667,19618.642546933588,18850.0,,-681.795562344334,-542.0865240376945,23.391820727945596
2022-01-24,18600,18760.0,,19154.128036333303,19529.128209726277,18760.0,,-702.1448915245965,-574.098197535075,21.29806904323963
2022-01-25,17900,18600.0,,18935.24073623441,19391.50699641871,18473.333333333332,,-765.9269028023009,-612.4639385885201,16.771445672297638
2022-01-26,17800,18430.0,,18738.64978699107,19261.842795143424,18206.666666666668,,-815.14726032412,-653.0006029356401,16.24041702431683
2022-01-27,17050,18040.0,,18448.114139031994,19087.53902843204,17746.666666666668,,-904.2498508574645,-703.2504525200051,12.932977450524623
2022-01-28,17500,17770.0,19272.5,18285.862947121466,18966.216896139103,17566.666666666668,18667.85714285714,-927.8572952826471,-748.1718210725335,23.057961827029498
2022-02-03,18250,17700.0,19107.5,18279.752978648437,18913.014867800866,17726.666666666668,18570.47619047619,-875.9502241595583,-773.7275016899384,36.34445433610127
2022-02-04,18200,17760.0,18957.5,18266.215600475174,18861.426199119822,17893.333333333332,18484.04761904762,-829.2885561952062,-784.839712590992,35.89938558737046
2022-02-07,18600,17920.0,18862.5,18322.69894634769,18842.96781095847,18173.333333333332,18450.0,-751.3708555827325,-778.1459411893402,42.01677318975985
2022-02-08,18200,18150.0,18785.0,18301.988604176142,18798.590233420236,18266.666666666668,18386.904761904763,-713.6704251247247,-765.2508379764172,38.1009400242421
