Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,29800,,,29800.0,29800.0,,,0.0,0.0,
2022-01-04,29850,,,29827.272727272728,29825.60975609756,,,3.9886039886041544,0.7977207977208309,
2022-01-05,29700,,,29776.92307692308,29781.681205392542,,,-4.897687518769089,-0.34136086557715306,
2022-01-06,28600,,,29398.062593144565,29464.302079406047,,,-99.55335536621351,-20.183759765704426,
2022-01-07,28900,29370.0,,29259.277574715117,29340.16916619255,29166.666666666668,,-148.64764378952168,-45.87653657046788,
2022-01-10,27900,28990.0,,28918.658760594244,29069.942039741487,28676.666666666668,,-265.18991940562773,-89.73921313749986,
2022-01-11,27900,28600.0,,28683.15849978445,28877.380924597997,28313.333333333332,,-353.4758627583542,-142.48654306167072,
2022-01-12,28850,28430.0,,28719.3922222886,28873.346232871707,28396.666666666668,,-342.8340706528397,-182.55604857990454,
2022-01-13,29000,28510.0,,28777.403077651736,28890.316641087436,28586.666666666668,,-318.62373130347623,-209.76958512461889,
2022-01-14,28450,28420.0,,28712.325507073885,28836.00900351197,28566.666666666668,,-339.89912091518636,-235.79549228273243,
2022-01-17,28100,28460.0,,28594.39988378978,28751.621091073917,28460.0,,-380.61460712476037,-264.75931525113805,
2022-01-18,27700,28420.0,,28426.502418429904,28638.62149032444,28206.666666666668,,-440.0855480909522,-299.8245618191009,
2022-01-19,27750,28200.0,,28302.12744819079,28548.52731823208,27983.333333333332,,-477.6757662486125,-335.39480270500326,
2022-01-20,28050,28010.0,,28256.55687107126,28500.56235768857,27933.333333333332,,-477.7515694633221,-363.866156056667,
2022-01-21,27200,27760.0,,28068.241351643257,28381.229831290297,27663.333333333332,,-540.1727649225577,-399.1274778298452,28.511735127815214
2022-01-24,26450,27430.0,,27783.112437523898,28211.520880036165,27226.666666666668,,-642.7515047846646,-447.8522832208091,23.738924931633946
2022-01-25,25500,26990.0,,27384.632934001347,27982.46414208791,26583.333333333332,,-791.5781356762345,-516.5974537118942,19.325892652176933
2022-01-26,25300,26500.0,,27023.634641534656,27763.91683364622,26020.0,,-915.113779415482,-596.3007188526118,18.544304995283166
2022-01-27,23700,25630.0,,26451.79650695133,27443.660794988456,25086.666666666668,,-1129.1076452577327,-702.862104133636,13.752538315102692
2022-01-28,23950,24980.0,27632.5,26023.662964311752,27176.66995598221,24526.666666666668,26765.95238095238,-1263.9563134218006,-815.080945991269,17.346322495496327
2022-02-03,24900,24670.0,27387.5,25832.224562358893,27007.554342865686,24500.0,26505.714285714286,-1279.4194430270218,-907.9486453984196,29.387182113931495
2022-02-04,24950,24560.0,27142.5,25682.47457512592,26858.684390665778,24593.333333333332,26273.571428571428,-1272.9655480678448,-980.9520259323047,29.965462759910412
2022-02-07,24400,24380.0,26877.5,25465.452883570924,26685.085298447964,24540.0,26012.380952380954,-1297.2769916403668,-1044.217019073917,27.315489616202402
2022-02-08,24050,24450.0,26650.0,25226.53874111864,26503.211960220644,24430.0,25743.095238095237,-1329.4608634804863,-1101.265787955231,25.754623247943478
2022-02-09,24450,24550.0,26427.5,25095.744554985118,26364.46868980748,24430.0,25533.571428571428,-1307.616764626102,-1142.5359832894053,30.633114804064498
2022-02-10,24450,24460.0,26255.0,24987.172027535027,26237.631819469803,24396.666666666668,25345.238095238095,-1275.6008266105455,-1169.1489519536335,30.633114804064505
2022-02-11,23800,24230.0,26050.0,24787.859108494496,26079.088571258544,24176.666666666668,25111.428571428572,-1287.8322047851325,-1192.8856025199334,27.25769356244588
