Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,55600,,,55600.0,55600.0,,,0.0,0.0,
2022-01-04,55700,,,55654.545454545456,55651.21951219512,,,7.977207977201033,1.5954415954402066,
2022-01-05,55100,,,55435.16483516484,55458.445678033306,,,-33.72699896917038,-5.469046517481911,
2022-01-06,54900,,,55262.8912071535,55308.4568312984,,,-81.97129787052836,-20.7694967880912,
2022-01-07,54900,55240.0,,55161.77166200817,55218.60613210482,55093.333333333336,,-118.83539190582815,-40.38267581163859,
2022-01-10,55200,55160.0,,55171.35122941575,55215.11495778233,55080.0,,-122.43164345022524,-56.792469339355925,
2022-01-11,54100,54840.0,,54923.66917561481,55031.57784868657,54726.666666666664,,-211.6032747918507,-87.75463042985488,
2022-01-12,54800,54780.0,,54896.811381925865,54997.45390131058,54713.333333333336,,-223.2151993496227,-114.84674421380845,
2022-01-13,57000,55200.0,,55331.609632065505,55265.776159196124,55453.333333333336,,-54.27052258604817,-102.7314998882564,
2022-01-14,55500,55320.0,,55365.08041105905,55294.66478676764,55553.333333333336,,-40.946111758908955,-90.37442226238691,
2022-01-17,54100,55100.0,,55121.44300863961,55157.68919688012,55146.666666666664,,-141.72104787145508,-100.64374738420055,
2022-01-18,53000,54880.0,,54723.20402123412,54925.83951275109,54446.666666666664,,-306.8100029696434,-141.87699850128914,
2022-01-19,52700,54460.0,,54351.237960103594,54700.16956182681,53720.0,,-456.5884150497586,-204.81928181098306,
2022-01-20,53200,53700.0,,54143.15836139156,54555.833291355666,53300.0,,-528.8468471347514,-269.62479487573677,
2022-01-21,52100,53020.0,,53778.995826809754,54330.499389187906,52766.666666666664,,-667.1821218778787,-349.13626027616516,32.07593938983879
2022-01-24,51200,52440.0,,53324.58506856908,54055.40330293605,52160.0,,-839.7561163703213,-447.2602314949964,28.507222552676012
2022-01-25,49400,51720.0,,52639.6136742774,53662.1363720947,51146.666666666664,,-1108.9835352305454,-579.6048922421062,22.996494050888828
2022-01-26,48800,50940.0,,51974.703340406115,53266.00551586985,50173.333333333336,,-1355.141957013002,-734.7123051962853,21.504243632787762
2022-01-27,46250,49550.0,,50989.7564276765,52713.11080229927,48610.0,,-1735.9767096116411,-934.9651860793565,16.580011482658136
2022-01-28,48800,48890.0,53117.5,50615.022441801135,52414.06495968943,48360.0,51796.90476190476,-1811.1495019939175,-1110.2020492622687,33.08217382999328
2022-02-03,49150,48480.0,52795.0,50365.42664306866,52171.603664208465,48446.666666666664,51419.04761904762,-1821.4854561168468,-1252.4587306331844,34.983288343578174
2022-02-04,49600,48520.0,52490.0,50235.5020922028,51985.5407707081,48820.0,51114.76190476191,-1772.9283209582645,-1356.5526486982005,37.44402098960195
2022-02-07,49100,48580.0,52190.0,50043.35123822591,51781.80284474487,49013.333333333336,50791.90476190476,-1754.566709982646,-1436.1554609550897,35.82173212791711
2022-02-08,48950,49120.0,51892.5,49858.80459841061,51586.35208006612,49136.666666666664,50483.333333333336,-1732.1515821814392,-1495.3546852003597,35.32723778673269
2022-02-09,43950,48150.0,51345.0,48863.57120238221,51070.33498970157,47413.333333333336,49726.90476190476,-2093.7106520559173,-1615.0258785714714,23.62173692580799
2022-02-10,43750,47070.0,50772.5,48003.79879632384,50585.350103367135,45946.666666666664,49003.57142857143,-2369.0778931022287,-1765.8362814776228,23.289321000832157
2022-02-11,42300,45610.0,50182.5,47046.194707491304,50046.47203840938,44356.666666666664,48196.666666666664,-2673.4929350262464,-1947.3676121873477,20.983762985694913
2022-02-14,41800,44150.0,49532.5,46166.49236954245,49519.30625722302,43086.666666666664,47398.333333333336,-2921.4136324307983,-2142.176816236038,20.239699530882035
2022-02-15,41600,42680.0,48762.5,45401.54328818527,49021.178010471995,42236.666666666664,46642.857142857145,-3098.3154479764635,-2333.404542584123,19.935196377095817
2022-02-16,42000,42290.0,48087.5,44832.22101134627,48586.189719486014,42010.0,45998.80952380953,-3169.696466446985,-2500.662927356696,22.4482066185286
2022-02-17,41850,41910.0,47475.0,44333.43313129329,48174.75531003655,41863.333333333336,45404.76190476191,-3201.4656807307547,-2640.823478031508,22.167223730888196
2022-02-18,41850,41820.0,46917.5,43918.31317591442,47793.58086648143,41843.333333333336,44869.04761904762,-3189.872151400603,-2750.633212705327,22.1672237308882
2022-02-21,41450,41750.0,46355.0,43505.9222718816,47416.04691807063,41720.0,44348.333333333336,-3176.3459144450608,-2835.7757530532735,21.34108530806675
2022-02-22,40250,41480.0,45707.5,42962.16386176466,46994.57794712896,41220.0,43766.90476190476,-3225.2772568366418,-2913.676053809947,19.047638863638973
2022-02-23,42200,41520.0,45212.5,42834.92112980797,46715.70836552652,41460.0,43432.857142857145,-3071.302926723649,-2945.2014283926874,31.86206389462736
2022-02-24,41150,41380.0,44710.0,42553.704191797115,46395.36497165844,41336.666666666664,43045.95238095238,-2999.4278484103415,-2956.0467123962185,29.183249502485435
2022-02-25,42650,41540.0,44372.5,42569.77238442428,46181.915571499514,41760.0,42849.76190476191,-2789.275831516323,-2922.692536220239,37.29405653873458
2022-02-28,42950,41840.0,44080.0,42633.205802202756,45999.43783798652,42230.0,42714.28571428572,-2568.9085723370736,-2851.935743443606,38.80367804517074
2022-03-02,42950,42380.0,43915.0,42686.04797834356,45828.77205840717,42600.0,42606.666666666664,-2366.980849933534,-2754.944764741592,38.80367804517074
2022-03-03,44250,42790.0,43687.5,42946.88411574656,45741.145456060236,43223.333333333336,42638.57142857143,-2078.097524974248,-2619.575316788123,45.4087000399599
2022-03-04,44700,43500.0,43465.0,43239.235854491795,45683.81077325934,43860.0,42735.0,-1792.1849766446176,-2454.0972487594217,47.5202181624098
2022-03-07,44300,43830.0,43200.0,43416.11345068502,45608.16941868653,44126.666666666664,42814.52380952381,-1579.6644903277338,-2279.2106970730842,45.823567483886634
2022-03-08,43900,44020.0,42940.0,43496.79297543226,45515.45106812148,44150.0,42881.19047619047,-1427.0667931811404,-2108.7819162946957,44.12687978104497
2022-03-10,45150,44460.0,42750.0,43772.41791601456,45495.74585931066,44526.666666666664,43091.666666666664,-1191.532223699549,-1925.3319777756665,50.31771547346111
2022-03-11,45700,44750.0,42837.5,44093.76946338029,45506.69032813457,44940.0,43372.619047619046,-949.5432336646845,-1730.1742289534702,52.79606153242955
2022-03-14,46000,45010.0,42950.0,44411.546960695254,45532.96644602223,45356.666666666664,43673.80952380953,-725.1980906611352,-1529.1790012950034,54.139874651183746
2022-03-15,46750,45500.0,43172.5,44801.36315258835,45597.42774197061,45936.666666666664,44035.71428571428,-481.335678442847,-1319.610336724572,57.40460965350531
2022-03-16,46050,45930.0,43385.0,45009.5022285312,45621.27115819836,46120.0,44309.76190476191,-340.63053293344274,-1123.8143759663462,53.5713622672584
2022-03-17,46500,46200.0,43630.0,45257.951284711526,45667.33299036858,46310.0,44606.42857142857,-190.61219348381564,-937.1739394698401,55.62289388757837
2022-03-18,46550,46370.0,43857.5,45473.31640261663,45713.38024494817,46426.666666666664,44884.52380952381,-66.91563473001588,-763.1222785218753,55.85629516420784
2022-03-21,46000,46370.0,44065.0,45561.10504104606,45728.26500110486,46303.333333333336,45088.57142857143,-13.114448985819763,-613.1207126146642,52.580289878242134
2022-03-22,46850,46390.0,44315.0,45775.93726114925,45786.26884590022,46463.333333333336,45353.80952380953,96.99319738341,-471.0979306150494,56.7974736864097
2022-03-23,46850,46550.0,44585.0,45954.95910175781,45841.049315372664,46616.666666666664,45595.23809523809,182.154536306487,-340.44743723074214,56.79747368640971
2022-03-24,46950,46640.0,44920.0,46120.80804018041,45897.93782754434,46750.0,45820.47619047619,254.7777558467278,-221.40239861524813,57.315420403826906
2022-03-25,46900,46710.0,45155.0,46250.679101954825,45949.15452661635,46836.666666666664,46009.04761904762,304.78423547686543,-116.16507179682543,56.9477932945503
2022-03-28,45250,46560.0,45360.0,46083.89311387071,45913.54419096268,46350.0,46018.09523809524,208.86584503920312,-51.158888429619715,46.376410446390594
2022-03-29,44500,46090.0,45452.5,45819.902832478845,45841.78537777926,45663.333333333336,45936.19047619047,71.5068115619506,-26.62574843130566,42.51326251933348
2022-03-30,44150,45550.0,45512.5,45541.578580962145,45756.170956616465,45016.666666666664,45812.142857142855,-64.84578516879264,-34.26975577880306,40.8050209845931
2022-03-31,45150,45190.0,45622.5,45476.31409423559,45725.58644736043,44883.333333333336,45777.619047619046,-91.16367964253004,-45.64854055154846,47.31832108537518
