Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,85900,,,85900.0,85900.0,,,0.0,0.0,
2022-01-04,90200,,,88245.45454545454,88102.43902439023,,,343.0199430199573,68.60398860399145,
2022-01-05,90200,,,89018.68131868134,88836.00317208564,,,607.858702445621,176.4549313723174,
2022-01-06,92400,,,90107.15350223548,89793.23105478378,,,983.9248677797295,337.94891865379986,
2022-01-07,97300,91200.0,,92111.43840034402,91444.54004689508,92866.66666666667,,1658.2339731807588,602.0059295591916,
2022-01-10,96900,93400.0,,93311.39505655634,92468.17900626389,94766.66666666667,,2135.732742675231,908.7512921823995,
2022-01-11,94500,94260.0,,93586.18459846092,92802.59703983778,95133.33333333333,,2294.049639086268,1185.8109615631734,
2022-01-12,96300,95480.0,,94175.55615206002,93317.95373410743,95813.33333333333,,2535.533821299061,1455.755533510351,
2022-01-13,95300,96060.0,,94408.01567245826,93583.52920807328,95753.33333333333,,2616.0637780606776,1687.8171824204164,
2022-01-14,94700,95540.0,,94466.05309476814,93721.23213699693,95300.0,,2601.481108537031,1870.5499676437394,
2022-01-17,93600,94880.0,,94299.26296465303,93707.33213453398,94653.33333333333,,2472.660143998146,1990.9720029146208,
2022-01-18,91700,94320.0,,93811.32723089613,93491.63873346087,93593.33333333333,,2191.98662313151,2031.1749269579987,
2022-01-19,95200,94100.0,,94066.63472074963,93664.8434056631,93886.66666666667,,2226.308091134779,2070.201559793355,
2022-01-20,91300,93300.0,,93566.58150636069,93437.31400758222,92953.33333333333,,1916.715986679963,2039.5044451706767,
2022-01-21,89300,92220.0,,92806.12692549407,93057.69658277437,91620.0,,1492.770993313039,1930.1577547991494,46.149162521175235
2022-01-24,89600,91420.0,,92241.21768753233,92753.8476822913,90746.66666666667,,1167.5403461644455,1777.6342730722088,47.022999599176515
2022-01-25,86300,90340.0,,91204.27643333163,92208.65649154494,89040.0,,636.1768437412975,1549.3427872060267,39.44129965854017
2022-01-26,89200,89140.0,,90857.19356887974,91963.53344667883,88660.0,,443.95556014777685,1328.2653417943768,47.45857584500096
2022-01-27,85300,87940.0,,89901.06705478151,91438.41521408394,87380.0,,-22.815594350278843,1058.0491545654456,39.82309191637241
2022-01-28,90000,88080.0,91760.0,89917.99749344928,91328.48934910056,88066.66666666667,91063.33333333333,-13.330708622539532,843.7731819278486,50.21783143971212
2022-02-03,90000,88160.0,91965.0,89931.96825631039,91229.80649425743,88706.66666666667,90895.71428571429,-5.7476134384342,673.869022854592,50.21783143971213
2022-02-04,92500,89400.0,92080.0,90367.86942845998,91321.70863387294,90153.33333333333,90946.66666666667,199.6892573005607,579.0330697437857,55.01178697627567
2022-02-07,90900,89740.0,92115.0,90457.91712141514,91291.93326445234,90653.33333333333,90834.28571428571,230.7330818704213,509.3730721691129,51.587801837834945
2022-02-08,89000,90480.0,91945.0,90211.83544475016,91133.74424717623,90406.66666666667,90537.61904761905,100.8587782499817,427.6702133852867,47.784332302866325
2022-02-09,88000,90080.0,91480.0,89839.29097074152,90921.98533776244,89580.0,90161.90476190476,-81.81606109079439,325.7729584900705,45.86756375365001
2022-02-10,88500,89780.0,91060.0,89614.108730238,90761.52460947733,89053.33333333333,89878.09523809524,-184.11895731404366,223.79457532924766,47.012063879121584
2022-02-11,87200,88720.0,90695.0,89208.80684749065,90529.88352419905,88193.33333333333,89510.47619047618,-365.8762810523185,105.86040405293444,44.38453226320525
2022-02-14,90300,88600.0,90395.0,89391.78236039823,90515.18793958398,88720.0,89472.85714285714,-256.8157651087822,33.32517022059112,51.36508509056198
2022-02-15,86000,88000.0,89930.0,88823.61305433407,90231.18040419601,87853.33333333333,89054.28571428571,-511.4627595677157,-75.63241573707026,43.255053865668025
2022-02-16,84900,87380.0,89440.0,88166.91104342995,89900.89379851526,86820.0,88575.23809523809,-792.8931653738109,-219.0845656644184,41.45199914250498
2022-02-17,85200,86720.0,89020.0,87670.68381411735,89613.77162048605,86093.33333333333,88171.42857142857,-980.4196295766014,-371.351578446855,42.16012853768753
2022-02-18,82700,85820.0,88570.0,86839.80577793511,89197.09889227411,84753.33333333333,87569.52380952382,-1315.5993991990108,-560.2011425972862,38.03200049314492
2022-02-21,82200,84200.0,87920.0,86064.6149642368,88780.67125813151,83546.66666666667,86962.85714285714,-1603.098085949343,-768.7805312676976,37.24649128628953
2022-02-22,81300,83260.0,87420.0,85268.89588944586,88340.69774788739,82580.0,86332.38095238095,-1881.8722925377806,-991.3988835217143,35.81266690340235
2022-02-23,81400,82560.0,87025.0,84622.98638451436,87937.00226137615,81960.0,85759.04761904762,-2070.86208638869,-1207.2915240951095,36.10697770384473
2022-02-24,83600,82240.0,86725.0,84452.24777034984,87687.3790449985,82306.66666666667,85432.85714285714,-2019.8328697603283,-1369.7997932281532,42.36777468867015
2022-02-25,83200,82340.0,86570.0,84243.29414332873,87431.64205469484,82626.66666666667,85097.14285714286,-1988.7435077892733,-1493.5885361403773,41.570183900826606
2022-02-28,84500,82800.0,86335.0,84286.12041155693,87266.11811516821,83346.66666666667,84900.0,-1838.018298179013,-1562.4744885481045,45.182078624292224
2022-03-02,89600,84460.0,86550.0,85172.49068966167,87396.73686933961,85613.33333333333,85210.95238095238,-1292.1450621803378,-1508.4086032745513,56.533841909732764
2022-03-03,89300,86040.0,86515.0,85860.87727102451,87502.37370312055,87226.66666666667,85472.85714285714,-873.672925005536,-1381.4614676207484,55.80181865455603
2022-03-04,89700,87260.0,86500.0,86501.09405027654,87623.39445570903,88446.66666666667,85776.19047619047,-503.9449209511222,-1205.9581582868232,56.60857740883232
2022-03-07,93600,89340.0,86555.0,87684.80432678416,87950.08546567477,90560.0,86452.38095238095,102.58208987157559,-944.2501086551434,63.58737462661607
2022-03-08,91900,90820.0,86605.0,88387.61366114802,88164.48431656694,91413.33333333333,86961.42857142857,440.9997525973595,-667.2001364046429,59.12355891413209
2022-03-10,88200,90540.0,86565.0,88356.33445446797,88166.39933069375,90540.0,87113.33333333333,405.9594626805483,-452.56821658760464,50.769860069138865
2022-03-11,84400,89560.0,86385.0,87696.76503358451,87964.58584522863,88493.33333333333,86907.14285714286,70.74602228784352,-347.905368812515,43.90818309771007
2022-03-14,85500,88720.0,86235.0,87330.55408419986,87833.30978901716,87140.0,86822.85714285714,-104.94252528237121,-299.3128001064863,46.17593013304175
2022-03-15,82600,86520.0,86005.0,86541.97866803697,87556.12274680551,85100.0,86476.66666666667,-472.7333528626623,-333.9969106577215,41.421377751109084
2022-03-16,85000,85140.0,85740.0,86284.94155131716,87421.45541468337,84593.33333333333,86380.95238095238,-564.0482935268519,-380.0071872315476,46.34518053222753
2022-03-17,84900,84480.0,85685.0,86054.08751860661,87289.2839749731,84513.33333333333,86300.95238095238,-637.1406454030366,-431.43387886584543,46.171038111462934
2022-03-18,85400,84680.0,85710.0,85945.06095180761,87190.72320492116,84820.0,86273.80952380953,-647.2598311134061,-474.5990693153576,47.23854684109767
2022-03-21,87700,85120.0,85835.0,86237.57757912023,87217.17100126947,85826.66666666667,86463.33333333333,-464.3360041786509,-472.5464562880163,51.95827058063511
2022-03-22,89400,86480.0,86170.0,86764.68820583343,87330.04300275099,87253.33333333333,86802.85714285714,-180.11550154681026,-414.0602653397751,55.15166061721937
2022-03-23,89400,87360.0,86530.0,87203.93477021379,87436.64250927107,88226.66666666667,87110.47619047618,44.616977740777656,-322.3248167236646,55.15166061721936
2022-03-24,90600,88500.0,86995.0,87769.97563764843,87598.92087169903,89306.66666666667,87498.09523809524,315.9074731627916,-194.67835874637336,57.46622342341714
2022-03-25,92200,89860.0,87535.0,88508.34563797328,87834.08800164191,90540.0,87993.80952380953,652.4922490841564,-25.24423718026742,60.400718147053595
2022-03-28,97900,91900.0,88250.0,90073.67896956301,88346.77938999154,93220.0,88980.95238095238,1363.463315699657,252.49727339571749,68.68856799196988
2022-03-29,97800,93580.0,88980.0,91361.43863281733,88826.6737548598,95186.66666666667,89890.47619047618,1896.9766776838806,581.3931542533501,68.41802584592321
2022-03-30,96800,95060.0,89595.0,92267.88869231078,89230.17157449214,96260.0,90635.23809523809,2213.5814293503354,907.8308092727473,65.63405681183974
2022-03-31,96700,96280.0,89950.0,93006.58964194031,89607.06366100209,96806.66666666667,91311.90476190476,2428.430378042278,1211.9507230266536,65.34769912490407
