Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,370500,,,370500.0,370500.0,,,0.0,0.0,
2022-01-04,349000,,,358772.72727272724,359487.8048780488,,,-1715.0997150997282,-343.0199430199457,
2022-01-05,347000,,,354115.3846153846,355120.53925455984,,,-3198.8376717721694,-914.1834887703905,
2022-01-06,329500,,,346191.50521609536,348239.305704591,,,-5720.867835298763,-1875.520358076065,
2022-01-07,337000,346600.0,,343630.29456030956,345766.9282129531,340833.3333333333,,-7033.331720280577,-2907.0826305169676,
2022-01-10,331000,338700.0,,340465.29277174437,342996.12553839985,335633.3333333333,,-8460.09594104666,-4017.685292622906,
2022-01-11,326500,334200.0,,337236.7041439763,340281.02323305554,331566.6666666667,,-9840.494165965356,-5182.247067291397,
2022-01-12,344500,333700.0,,338814.1069254945,340902.7067921362,335000.0,,-9373.962927186978,-6020.590239270514,
2022-01-13,352500,338300.0,,341643.43108085345,342456.6345149143,341266.6666666667,,-8263.444572848559,-6469.1611059861225,
2022-01-14,384500,347800.0,,350161.986888466,347642.16611230804,356666.6666666667,,-4746.503473889898,-6124.6295795668775,
2022-01-17,359000,353400.0,,351864.0688575011,348944.41090418847,360400.0,,-3971.1621174534666,-5693.936087144196,
2022-01-18,358000,359700.0,,353015.9107853903,349917.4590496313,361933.3333333333,,-3398.2176117844647,-5234.792392072251,
2022-01-19,371500,365100.0,,356414.21060418454,352105.6361078554,365866.6666666667,,-1833.6802627642173,-4554.569966210644,
2022-01-20,375500,369700.0,,359863.85658200335,354356.4851586288,369333.3333333333,,-267.91817720403196,-3697.2396084093225,
2022-01-21,363000,365400.0,,360422.8274172997,355149.56705653557,367100.0,,-35.27929903345648,-2964.8475465341494,51.016928591436034
2022-01-24,360000,365600.0,,360348.32658821624,355575.8042006738,365300.0,,-91.92656771431211,-2390.263350770182,49.57981955545134
2022-01-25,349000,363800.0,,358367.66393211484,355020.3106875379,359766.6666666667,,-1012.7536122053862,-2114.761403057223,44.61696497916976
2022-01-26,330500,355600.0,,353541.78838805965,353022.5774023711,348666.6666666667,,-3198.4414264110965,-2331.4974077279976,37.76947664110324
2022-01-27,331000,346700.0,,349663.4276137093,351287.09321590234,340466.6666666667,,-4834.53938424855,-2832.1058030321083,38.04622306889046
2022-01-28,353500,344800.0,351150.0,350319.9819428771,351456.2068973955,342733.3333333333,352071.4285714286,-4266.416252819181,-3118.967892989523,49.03080519677312
2022-02-03,351500,343100.0,350200.0,350521.0215591196,351459.4599369402,344966.6666666667,352104.7619047619,-3932.229568618757,-3281.62022811537,48.212514347514336
2022-02-04,348500,343000.0,350175.0,350177.97063355194,351245.3345307863,346766.6666666667,351942.85714285716,-3864.9069007281796,-3398.2775626379325,46.9468428412462
