Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,256500,,,256500.0,256500.0,,,0.0,0.0,
2022-01-04,255500,,,255954.54545454544,255987.80487804877,,,-79.77207977208309,-15.954415954416618,
2022-01-05,257000,,,256368.1318681319,256341.79222839014,,,-21.70436928269919,-17.104406620073135,
2022-01-06,269500,,,260595.38002980629,259875.85916881758,,,1021.1886160782888,190.55419791959923,
2022-01-07,269500,261600.0,,263076.6501827564,261992.9391551417,264266.6666666667,,1826.6325377590547,517.7698658874904,
2022-01-10,262000,262700.0,,262806.8544358867,261994.26402159568,264400.0,,1838.5714218365029,781.9301770772929,
2022-01-11,257000,263000.0,,261464.38747144607,261172.25659161055,262500.0,,1428.11246865688,911.1666353932104,
2022-01-12,262000,264000.0,,261580.70886453052,261294.22798338614,262166.6666666667,,1489.1134316225944,1026.7559946390872,
2022-01-13,255000,261100.0,,260220.25993741705,260450.86089922572,259166.66666666666,,961.5316968336701,1013.7111350780038,
2022-01-14,255500,258300.0,,259282.01875952006,259840.2331502092,257300.0,,577.1125975337054,926.3914275691442,
2022-01-17,250500,256000.0,,257590.72054648623,258769.31856428724,254700.0,,-129.50763807207113,715.2116144409011,
2022-01-18,245000,253600.0,,255227.18036147163,257289.76712359875,251033.33333333334,,-1120.398049010255,348.0896817506699,
2022-01-19,240000,249200.0,,252427.66323826733,255536.81913434685,246500.0,,-2282.8290199844632,-178.09405859635672,
2022-01-20,241500,246500.0,,250452.55134977965,254186.29038434176,243933.33333333334,,-3047.8922705200093,-752.0537009810873,
2022-01-21,238000,243000.0,,248233.06961638274,252701.12443811796,241100.0,,-3891.7692642954935,-1379.9968136439686,28.37922870975554
2022-01-24,235000,239900.0,,245901.4453711157,251145.61860668365,238433.33333333334,,-4747.8920455806365,-2053.5758600313025,26.170322272859732
2022-01-25,233000,237500.0,,243649.7115266884,249612.7607051636,236133.33333333334,,-5524.080640085187,-2747.6768160420797,24.785277106916617
2022-01-26,229000,235300.0,,241112.80406446522,247933.38564810887,233300.0,,-6388.341440450982,-3475.8097409238608,22.249087344791104
2022-01-27,227000,232400.0,,238684.66727436444,246283.7349692726,230533.33333333334,,-7152.211395832186,-4211.090071905526,21.087206213155742
