Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,77800,,,77800.0,77800.0,,,0.0,0.0,
2022-01-04,76300,,,76981.81818181818,77031.70731707317,,,-119.65811965811008,-23.931623931622017,
2022-01-05,75300,,,76316.48351648352,76426.09040444091,,,-291.8158131833188,-77.50846178196139,
2022-01-06,72400,,,75055.73770491804,75344.75218236129,,,-654.7106920058432,-192.94890782673775,
2022-01-07,74300,75220.0,,74845.1515803053,75114.93177815656,74493.33333333333,,-780.0019994365284,-310.35952614869586,
2022-01-10,74000,74460.0,,74633.36663336663,74905.73079144418,74086.66666666667,,-893.2074169456173,-426.9291043080801,
2022-01-11,72200,73640.0,,74070.80486197482,74460.39373988075,73333.33333333333,,-1115.311861809474,-564.605655808359,
2022-01-12,73800,73340.0,,74011.99294642088,74363.08200926863,73386.66666666667,,-1148.9798814400274,-681.4805009346926,
2022-01-13,72900,73440.0,,73782.10743681111,74167.04284270183,73240.0,,-1234.0590434703481,-791.9962094418238,
2022-01-14,71500,72880.0,,73328.4953057019,73838.09593816969,72593.33333333333,,-1398.334067357675,-913.2637810249942,
2022-01-17,73000,72680.0,,73265.23154611116,73742.00313725628,72633.33333333333,,-1391.4460197781445,-1008.9002287756243,
2022-01-18,72900,72820.0,,73196.66998659742,73651.52756658985,72706.66666666667,,-1378.1696745830413,-1082.7541179371078,
2022-01-19,72600,72580.0,,73086.97220902279,73544.91692687912,72633.33333333333,,-1375.9939662440593,-1141.4020875984982,
2022-01-20,74000,72800.0,,73251.9966982625,73588.70197305005,73106.66666666667,,-1246.9275968474685,-1162.5071894482924,
2022-01-21,71000,72700.0,,72850.61184185297,73351.1767635051,72506.66666666667,,-1370.9134601766855,-1204.188443593971,33.992149058113455
2022-01-24,70400,72180.0,,72418.82192826187,73091.83885074854,71740.0,,-1500.2936840365874,-1263.4094916824943,32.330357871568395
2022-01-25,68700,71340.0,,71769.76308590818,72720.83662533567,70580.0,,-1720.1751279833989,-1354.7626189426753,28.13367082067812
2022-01-26,66500,70120.0,,70857.19212692148,72214.00893679689,68966.66666666667,,-2048.3423546883423,-1493.4785660918087,23.823789100702992
2022-01-27,62800,67880.0,,69470.93575016437,71472.14011088335,66526.66666666667,,-2577.26719208181,-1710.2362912898088,18.649321122796653
2022-01-28,66600,67000.0,71950.0,68979.63124558405,71099.80379883305,66100.0,70320.95238095238,-2659.1625240330177,-1900.0215378384507,34.40661010152786
2022-02-03,67200,66360.0,71420.0,68676.43556098777,70810.1185465896,66166.66666666667,69868.57142857143,-2645.158439105522,-2049.048918091865,36.49811680191528
2022-02-04,68200,66260.0,71015.0,68595.56474620962,70621.26899099258,66780.0,69561.90476190476,-2524.270242206723,-2144.0931829148367,39.935668699937864
2022-02-07,73900,67740.0,70945.0,69493.18683856846,70852.768702363,69326.66666666667,69836.66666666667,-1946.0898002808099,-2104.4925063880314,54.916601208084536
2022-02-08,74000,69980.0,71025.0,70253.89135523148,71069.99030904566,71413.33333333333,70127.61904761905,-1462.9445560336462,-1976.1829163171546,55.1280508546356
2022-02-09,74000,71460.0,71010.0,70884.85695348923,71267.98210664924,72753.33333333333,70410.95238095238,-1067.7402244322002,-1794.4943779401638,55.1280508546356
2022-02-10,73500,72720.0,70985.0,71324.55510968932,71415.85716234356,73433.33333333333,70648.09523809524,-785.8252612181677,-1592.7605545957645,53.668402136342046
2022-02-11,72500,73580.0,71000.0,71521.89917341826,71486.36966781472,73360.0,70792.38095238095,-635.7685206804745,-1401.3621478127066,50.772909638939446
2022-02-14,71100,73020.0,70865.0,71451.15347869505,71461.67051564255,72533.33333333333,70801.90476190476,-622.638384695907,-1245.6173951893468,46.95359573287319
2022-02-15,70400,72300.0,70740.0,71275.07108923214,71394.89091962656,71660.0,70757.61904761905,-661.096102831114,-1128.7131367177003,45.12577878565843
2022-02-16,72700,72040.0,70800.0,71513.56394470448,71475.74731830713,71793.33333333333,70944.28571428571,-500.2171514802758,-1003.0139396702154,51.76934788791753
2022-02-17,74000,72140.0,70850.0,71929.42989299927,71629.92415337893,72446.66666666667,71249.04761904762,-264.76820496346045,-855.3647927288645,55.07971237960663
2022-02-18,73600,72360.0,70885.0,72208.6751762875,71748.65484378296,72933.33333333333,71510.95238095238,-109.19118755043019,-706.1300716931777,53.854873362265245
2022-02-21,73400,72820.0,70925.0,72407.7145550185,71846.93354001742,73280.0,71750.47619047618,-2.0104338786622975,-565.3061441302746,53.217641243261085
2022-02-22,71200,72980.0,70785.0,72206.01903176129,71808.88433150733,72740.0,71776.66666666667,-93.512573493339,-470.9474300028875,46.67524790962753
2022-02-23,76300,73700.0,71050.0,72889.50633562171,72070.10347555121,73846.66666666667,72301.90476190476,242.70099317314452,-328.2177453676811,59.197886955566226
2022-02-24,74200,73740.0,71240.0,73108.23052932987,72192.69313286344,74013.33333333333,72601.90476190476,335.828989926973,-195.4083983087503,53.61467055235046
2022-02-25,74100,73840.0,71510.0,73273.7200059112,72301.39108614434,74133.33333333333,72874.28571428571,396.9882011736627,-76.9290784122677,53.356603937834734
2022-02-28,75000,74160.0,71935.0,73561.7155001413,72453.75770196217,74520.0,73206.66666666667,512.1757518521335,40.89188764061255,55.43564469722356
2022-03-02,73100,74540.0,72450.0,73484.70003724757,72489.92549794668,74166.66666666667,73317.61904761905,445.0186960948049,121.71724933145103,50.3348547992977
2022-03-03,75100,74300.0,72875.0,73754.09999146439,72634.79249079051,74353.33333333333,73570.0,546.8754906314134,206.74889759144352,55.02592224609729
2022-03-04,74500,74360.0,73240.0,73878.48718479493,72737.50732307056,74420.0,73724.76190476191,572.5823753466393,279.9155931424827,53.39648159390617
2022-03-07,72600,74060.0,73460.0,73665.30526215176,72729.99094844642,73833.33333333333,73663.80952380953,434.63099014807085,310.85867254360033,48.49881335240992
2022-03-08,76000,74260.0,73565.0,74054.5743214925,72907.48496178964,74480.0,73905.71428571429,592.8214320563275,367.2512244461458,56.23479890366572
2022-03-10,76000,74840.0,73665.0,74378.9183564969,73074.23411070248,75060.0,74137.61904761905,710.0040126732638,435.8017820915694,56.23479890366572
2022-03-11,77000,75220.0,73815.0,74815.88477619413,73284.58687143677,75780.0,74455.23809523809,873.4945927842782,523.3403442301112,58.36792683272168
2022-03-14,74900,75300.0,73885.0,74829.9071752658,73370.63178039402,75673.33333333333,74558.57142857143,824.1097812725784,583.4942316386047,52.572918815047
2022-03-15,75500,75880.0,74035.0,74941.61052306126,73483.41571682575,75740.0,74712.38095238095,823.8896607859351,631.5733174680709,53.9788180061278
2022-03-16,76000,75880.0,74280.0,75118.03668585978,73615.99999584722,75780.0,74899.52380952382,854.2141856378585,676.1014911020284,55.17139504862786
2022-03-17,76900,76060.0,74605.0,75415.06973885778,73788.14303911886,76120.0,75149.04761904762,940.0329537054786,728.8877836227184,57.31554711846472
2022-03-18,80500,76760.0,74995.0,76262.65125205608,74138.28933756104,77600.0,75710.47619047618,1283.7367411806044,839.8575751342958,64.60767293119778
2022-03-21,80800,77940.0,75335.0,77018.94529774207,74484.24573815505,78946.66666666667,76263.33333333333,1562.3224807559309,984.3505562586229,65.14210078028337
2022-03-22,74000,77640.0,75355.0,76515.74934978804,74459.20585380944,77633.33333333333,76136.19047619047,1220.3332740898186,1031.547099824862,47.597707925234246
2022-03-23,71900,76820.0,75280.0,75746.40886855044,74327.4108061529,75720.0,75807.14285714286,770.9647130369995,979.4306224672896,43.68478038606493
2022-03-24,73000,76040.0,75370.0,75288.64979942258,74259.31541936118,74446.66666666667,75590.0,497.85869269035175,883.1162365119021,46.18059724315941
2022-03-25,71700,74280.0,75140.0,74690.51508574374,74128.50548434231,73000.0,75240.47619047618,174.50943238810578,741.3948756871429,43.71483539005972
2022-03-28,72500,72620.0,75055.0,74325.41580239183,74045.5601200436,72406.66666666667,74989.04761904762,-16.997930326062487,589.7163144845018,45.6384357399876
2022-03-29,72000,72220.0,74950.0,73937.83461610439,73941.71690987152,72200.0,74698.09523809524,-206.73164264825755,430.42672305794997,44.6122182185688
2022-03-30,72500,72340.0,74825.0,73698.18938911954,73868.75744329824,72293.33333333333,74464.76190476191,-313.1414555200754,281.7130873423449,45.92174983667886
2022-03-31,72600,72260.0,74800.0,73515.15392626726,73804.74196491766,72380.0,74252.85714285714,-384.96519545647607,148.37743078258075,46.195738987372415
