Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,297500,,,297500.0,297500.0,,,0.0,0.0,
2022-01-04,293000,,,295045.4545454546,295195.1219512195,,,-358.9743589743739,-71.79487179487478,
2022-01-05,288000,,,292258.2417582418,292678.8263283108,,,-1034.9915990941226,-264.4342172547244,
2022-01-06,277000,,,287346.4977645306,288467.7648560076,,,-2430.332837374939,-697.6139412787674,
2022-01-07,281000,287300.0,,285578.04773167067,286825.0358273545,284033.3333333333,,-3176.764487453969,-1193.4440505138077,
2022-01-10,273000,282400.0,,282426.1383777513,284230.9657747469,279266.6666666667,,-4363.549803185917,-1827.4652010482296,
2022-01-11,269000,277600.0,,279322.1950240571,281724.09649860254,274800.0,,-5562.728614050662,-2574.517883648716,
2022-01-12,278500,275700.0,,279143.6352154514,281249.0126342459,275100.0,,-5681.028495907085,-3195.82000610039,
2022-01-13,273500,275000.0,,277976.9102270138,280210.718151155,274366.6666666667,,-6107.832921909634,-3778.222589262239,
2022-01-14,264000,271600.0,,275198.7342603042,278211.3256139644,270700.0,,-7130.45367821469,-4448.668807052729,
2022-01-17,261000,269200.0,,272464.2497938753,276237.9423646786,267166.6666666667,,-8089.709784399893,-5176.877002522162,
2022-01-18,256000,266600.0,,269373.5675838883,274063.319369181,262766.6666666667,,-9147.933687714278,-5971.088339560585,
2022-01-19,248000,260500.0,,265444.03716429346,271420.8521251267,256566.66666666666,,-10510.953171077825,-6879.061305864034,
2022-01-20,254000,256600.0,,263375.5936770951,269744.7343794045,254400.0,,-10980.43050794577,-7699.335146280381,
2022-01-21,253000,254400.0,,261526.2987019036,268208.32865033695,253200.0,,-11302.893600842915,-8420.04683719289,25.262585362752333
2022-01-24,245500,251300.0,,258702.5164882146,266212.8092266296,250233.33333333334,,-12025.018319200026,-9141.041133594317,21.86536923373706
2022-01-25,232500,246600.0,,254129.3007369181,263364.90708972234,243966.66666666666,,-13490.78533991627,-10010.989974858709,17.478002380909473
2022-01-26,228000,242600.0,,249604.45955479657,260483.63641904213,237766.66666666666,,-14844.411520364461,-10977.67428395986,16.26163389842763
2022-01-27,218000,235400.0,,244166.84767938772,257135.72314613892,229566.66666666666,,-16533.49856749212,-12088.83914066631,13.939933224864129
2022-01-28,213000,227400.0,260175.0,238833.25125265642,253762.80446730246,222100.0,247692.85714285713,-18067.30182586852,-13284.531677706753,12.944776904442604
2022-02-03,213500,221000.0,255975.0,234517.22652806353,250772.00255269607,217466.66666666666,243247.61904761905,-19023.218318033876,-14432.26900577218,13.608954202266776
2022-02-04,224500,219400.0,252550.0,232816.88898511822,248871.14789105512,218633.33333333334,240250.0,-18677.87405043657,-15281.390014705059,26.8342240244064
2022-02-07,223000,218400.0,249300.0,231155.66474357812,247044.47676336972,219833.33333333334,237435.7142857143,-18314.110033937963,-15887.934018551641,26.244222972291315
2022-02-08,224500,219700.0,246675.0,230032.25579572938,245488.45910809407,221866.66666666666,235073.80952380953,-17700.743809798732,-16250.49597680106,27.950230810605998
2022-02-09,227500,222600.0,244000.0,229605.7421933208,244272.91113024074,224466.66666666666,233247.61904761905,-16779.152109293093,-16356.227203299466,31.369376473877562
2022-02-10,232500,226400.0,241975.0,230092.36942499844,243492.93535394664,227766.66666666666,232152.38095238095,-15467.031522181322,-16178.388067075839,36.75624172714328
2022-02-11,223000,226100.0,239675.0,228901.6398422392,242160.07757351905,226633.33333333334,230345.2380952381,-15020.58910752472,-15946.828275165615,31.669924127047008
