Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,156500,,,156500.0,156500.0,,,0.0,0.0,
2022-01-04,156500,,,156500.0,156500.0,,,0.0,0.0,
2022-01-05,153000,,,155115.38461538462,155275.97145122918,,,-279.2022792023199,-55.84045584046399,
2022-01-06,149000,,,153146.7958271237,153590.35410805952,,,-813.857030381303,-207.44377074863183,
2022-01-07,153000,153600.0,,153105.8912061922,153460.49037383738,152633.33333333334,,-904.383037369058,-346.8316240727171,
2022-01-10,152000,152700.0,,152828.76800618734,153186.45026369192,152100.0,,-1044.7736919905874,-486.42003765629113,
2022-01-11,151500,151700.0,,152521.5746416201,152908.87690332075,151700.0,,-1182.746157098707,-625.6852615447743,
2022-01-12,154000,151900.0,,152842.65095722157,153069.65837418672,152466.66666666666,,-1077.9354541822977,-716.135300072279,
2022-01-13,153000,152700.0,,152875.1801787442,153060.3248101531,152833.33333333334,,-1063.3067216502677,-785.5695843878768,
2022-01-14,150500,152200.0,,152403.06807513788,152744.5402612842,152100.0,,-1239.1582078812935,-876.2873090865602,
2022-01-17,150000,151800.0,,151940.26961699597,152429.86201394373,151366.66666666666,,-1402.6981676590804,-981.5694808010643,
2022-01-18,147500,151000.0,,151106.7386341327,151900.1346776873,149933.33333333334,,-1714.272800901963,-1128.110144821244,
2022-01-19,148000,149800.0,,150535.5647334425,151504.7138954298,148933.33333333334,,-1898.962068532128,-1282.2805295634207,
2022-01-20,150500,149300.0,,150529.13661369708,151408.04705172963,149166.66666666666,,-1822.590844384482,-1390.342592527633,
2022-01-21,150500,149300.0,,150523.94344644508,151324.7295943768,149566.66666666666,,-1741.9855736774916,-1460.6711887576048,41.29563462681681
2022-01-24,150000,149300.0,,150431.62629870125,151208.31752031166,149800.0,,-1698.8676484948082,-1508.3104807050456,39.853982896630434
2022-01-25,145000,148800.0,,149483.6257905993,150683.86758160027,148366.66666666666,,-2044.5858820582798,-1615.5655609756927,28.964505923051693
2022-01-26,145500,148300.0,,148793.77671224272,150261.52444958917,147266.66666666666,,-2252.261582063191,-1742.9047651931924,30.9949945836378
2022-01-27,138000,145800.0,,146936.6853631804,149295.25781351543,143833.33333333334,,-2987.594263468025,-1991.842664848159,21.204121985166886
2022-01-28,140500,143800.0,149725.0,145835.17255039257,148623.11091640533,142066.66666666666,147621.42857142858,-3330.232754443685,-2259.520682767264,29.229168553120665
2022-02-03,139500,141700.0,148875.0,144755.8495259075,147945.42792941644,140633.33333333334,146647.61904761905,-3640.50242396089,-2535.7170310059896,28.00071739224901
2022-02-04,140500,140800.0,148075.0,144033.45588673468,147406.7298853996,140233.33333333334,145850.0,-3762.3319094918843,-2781.0400067031687,31.118382438773004
2022-02-07,139500,139600.0,147400.0,143266.29973080658,146848.4633849379,139800.0,145033.33333333334,-3894.6788635746925,-3003.767778077474,29.73191751326973
2022-02-08,140000,140000.0,146950.0,142714.98134484302,146375.78308943484,139933.33333333334,144328.57142857142,-3914.09965251619,-3185.834152965217,31.378215950634047
2022-02-09,141500,140200.0,146375.0,142510.3392738792,146046.30804995538,140433.33333333334,143809.52380952382,-3765.052126444527,-3301.677747661079,36.206913634224435
2022-02-10,142500,140800.0,145900.0,142508.60087579532,145811.35899244176,141200.0,143440.47619047618,-3525.5983424687875,-3346.461866622621,39.274740287315126
2022-02-11,141000,140900.0,145375.0,142255.32364448605,145498.42884569874,141266.66666666666,142973.80952380953,-3417.47246223173,-3360.6639857444434,36.44364218647127
2022-02-14,137000,140400.0,144525.0,141374.0905308674,144955.1564183586,139966.66666666666,142176.19047619047,-3612.9012174621457,-3411.111432087984,30.193278535706682
2022-02-15,136500,139700.0,143700.0,140557.61460748545,144423.32293372208,138666.66666666666,141411.90476190476,-3764.7282910192152,-3481.8348038742306,29.51192004277117
2022-02-16,137000,138800.0,143025.0,139962.17039970943,143963.42025762406,137766.66666666666,140773.80952380953,-3800.8922000337916,-3545.6462831061426,31.184310005511648
2022-02-17,138500,138000.0,142450.0,139717.61680318773,143629.72432848962,137666.66666666666,140342.85714285713,-3666.2526164978335,-3569.767549784481,36.08367302050184
2022-02-18,140500,137900.0,142100.0,139848.39659897017,143441.105026886,138500.0,140157.14285714287,-3359.440947157709,-3527.702229259127,42.01177153087559
2022-02-21,140500,138600.0,141725.0,139957.26257199323,143266.06713947476,139366.66666666666,140004.7619047619,-3080.777206823899,-3438.3172247720818,42.01177153087559
2022-02-22,138500,139000.0,141125.0,139713.89104371285,142985.7522830861,139333.33333333334,139697.61904761905,-2986.886501926201,-3348.0310802029057,37.93163639204123
2022-02-23,140500,139700.0,140625.0,139845.1313927134,142841.17215386606,139833.33333333334,139638.09523809524,-2719.7426561866596,-3222.373395399657,43.80866232292435
2022-02-24,139000,139800.0,140075.0,139704.0771568378,142620.08724546112,139600.0,139483.33333333334,-2599.105823699152,-3097.7198810595564,40.69631308235547
2022-02-25,139000,139500.0,139775.0,139586.59283855237,142413.77745805355,139333.33333333334,139380.95238095237,-2474.9703472636465,-2973.1699743003746,40.69631308235547
2022-02-28,140000,139400.0,139500.0,139655.56160386684,142277.4927593954,139500.0,139402.38095238095,-2269.7363375519344,-2832.483246950687,43.78422323224905
2022-03-02,139500,139600.0,139575.0,139629.61348445862,142122.04674204972,139533.33333333334,139402.38095238095,-2122.9605597145273,-2690.578709503455,42.590107594924085
2022-03-03,142000,139900.0,139650.0,140024.94687979584,142115.27278042783,140333.33333333334,139633.33333333334,-1784.341810016078,-2509.3313296059796,49.941376765264486
2022-03-04,140000,140100.0,139675.0,140020.78670775582,141998.7871412722,140366.66666666666,139666.66666666666,-1658.2519997393247,-2339.1154636326487,44.97930539180364
2022-03-07,136500,139600.0,139475.0,139433.7115391484,141698.2144647828,139166.66666666666,139364.2857142857,-1819.768507360248,-2235.2460723781687,37.88523884965791
2022-03-08,137000,139000.0,139350.0,139027.93317926564,141443.19836918352,138300.0,139128.57142857142,-1885.6886371787987,-2165.334585338295,39.3567105275925
2022-03-10,145000,140100.0,139600.0,140023.60434334673,141634.98196197525,140300.0,139666.66666666666,-1277.6694951599638,-1987.8015673026289,56.93527574789992
2022-03-11,139500,139600.0,139500.0,139936.31308486292,141520.58406803978,140100.0,139657.14285714287,-1225.487324117741,-1835.3387186656514,46.87520109135205
2022-03-14,139000,139400.0,139325.0,139780.22533834167,141386.32526896312,139900.0,139609.52380952382,-1210.5242291516915,-1710.3758207628596,46.07811275058019
2022-03-15,137500,139600.0,139150.0,139400.11560634774,141180.48249454203,139266.66666666666,139435.7142857143,-1304.6639783474966,-1629.233452279787,43.67852196923809
2022-03-16,140000,140200.0,139300.0,139500.11216149197,141118.28969556338,139400.0,139516.66666666666,-1164.1220271094935,-1536.2111672457283,48.49292883845063
2022-03-17,139500,139100.0,139450.0,139500.0934654447,141033.46103760443,139166.66666666666,139535.7142857143,-1080.6305037508428,-1445.0950345467513,47.616253782123614
2022-03-18,141500,139500.0,139675.0,139833.44785179035,141057.79959125863,139966.66666666666,139730.95238095237,-843.3578799940587,-1324.7476036362127,51.40096344719518
2022-03-21,140000,139700.0,139750.0,139861.2090852737,141002.86587262613,140133.33333333334,139761.90476190476,-767.5077288456378,-1213.2996286780976,48.56682121681424
2022-03-22,130000,138200.0,139225.0,138217.54881181708,140433.91819335383,136900.0,138833.33333333334,-1497.0552431442193,-1270.050751571322,34.793426196090856
2022-03-23,133500,136900.0,138875.0,137431.24067458863,140076.83238981082,135333.33333333334,138288.09523809524,-1772.3753156785097,-1370.5156643927596,41.09050792630364
2022-03-24,131000,135200.0,138500.0,136359.31042478178,139611.19627357402,133366.66666666666,137538.09523809524,-2167.3141153486213,-1529.875354583932,38.24914732348107
2022-03-25,130500,133000.0,138000.0,135382.71556065037,139145.51119877858,131800.0,136776.19047619047,-2491.926404373953,-1722.2855645419363,37.6878399201884
2022-03-28,132000,131400.0,137650.0,134818.90888567487,138781.56582973828,131466.66666666666,136204.7619047619,-2598.1961304835568,-1897.4676777302604,40.50843252067995
2022-03-29,135500,132500.0,137475.0,134932.4275526541,138614.97657782043,132833.33333333334,136000.0,-2372.644535492698,-1992.5030492827482,46.584170060910346
2022-03-30,134500,132700.0,137200.0,134860.3544520001,138406.7342425716,133500.0,135716.66666666666,-2248.6637184999126,-2043.7351831261813,45.16491190191394
2022-03-31,138500,134200.0,137150.0,135466.974962175,138411.43999000176,135433.33333333334,135840.47619047618,-1806.813634320395,-1996.3508733650242,51.52658474587566
