Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,13450,,,13450.0,13450.0,,,0.0,0.0,
2022-01-04,13650,,,13559.09090909091,13552.439024390244,,,15.954415954414799,3.19088319088296,
2022-01-05,13500,,,13535.714285714288,13534.099920697858,,,16.306685822351938,5.814043717176756,
2022-01-06,13400,,,13492.026825633386,13498.083002233114,,,8.41964157845905,6.335163289433216,
2022-01-07,13250,13450.0,,13424.58611051387,13443.510696176116,13406.666666666666,,-9.821428887022194,3.1038448541421344,
2022-01-10,12750,13310.0,,13255.542844252523,13313.383342397114,13173.333333333334,,-63.88698063192169,-10.294320243070631,
2022-01-11,12600,13100.0,,13103.990119468215,13195.967361715597,12936.666666666666,,-117.48378635078006,-31.73221346461252,
2022-01-12,12750,12950.0,,13027.112485657388,13130.252238836178,12820.0,,-146.17092716925254,-54.61995620554053,
2022-01-13,12600,12790.0,,12938.814289394482,13059.203448465507,12703.333333333334,,-178.9466537117096,-79.48529570677434,
2022-01-14,12400,12620.0,,12831.71473126594,12977.898817599518,12573.333333333334,,-218.54077959298593,-107.29639248401665,
2022-01-17,12000,12470.0,,12671.537706226098,12865.776765560624,12366.666666666666,,-278.9801570829568,-141.6331454038047,
2022-01-18,11800,12310.0,,12507.931947221645,12751.256098355829,12143.333333333334,,-339.10810061973825,-181.1281364469914,
2022-01-19,11550,12070.0,,12331.816157860083,12629.465015391192,11890.0,,-402.2954284548814,-225.3615948485694,
2022-01-20,11650,11880.0,,12208.581833211736,12535.227449868014,11750.0,,-439.23939837181933,-268.1371555532194,
2022-01-21,11500,11700.0,,12082.287679407007,12440.240611090712,11623.333333333334,,-475.1443389235883,-309.5385922272932,14.102925623963516
2022-01-24,11300,11560.0,,11944.451109891726,12340.040709892888,11490.0,,-513.8146560063269,-350.3938049830999,12.619808190990888
2022-01-25,10800,11360.0,,11744.70610277763,12209.945196370278,11236.666666666666,,-578.1425151907388,-395.9435470246277,9.83514945118417
2022-01-26,10700,11190.0,,11563.793140557294,12086.926046409031,11016.666666666666,,-629.9305243501422,-442.7409424897306,9.388928520586289
2022-01-27,10300,10920.0,,11346.35494715172,11946.10774711232,10720.0,,-695.2353118755982,-493.23981636690417,7.853951543034093
2022-01-28,10650,10750.0,12130.0,11227.187417086707,11847.05723386833,10630.0,11572.619047619048,-710.5568939895511,-536.7032318914336,20.154611382268907
2022-02-03,11000,10690.0,12007.5,11188.481508418161,11784.136122675196,10713.333333333334,11465.0,-686.5432401587241,-566.6712335448917,30.19040041458746
2022-02-04,11050,10740.0,11877.5,11164.975470383837,11731.019270685436,10833.333333333334,11373.809523809523,-655.9166653321918,-584.5203199023517,31.514698345714283
2022-02-07,11150,10830.0,11760.0,11162.441305592138,11689.995535254013,10970.0,11304.52380952381,-616.4694438546267,-590.9101446928067,34.20307925070761
2022-02-08,11100,10990.0,11645.0,11151.901844228005,11649.274099177897,11060.0,11241.666666666666,-582.5268122826928,-589.233478210784,33.495085846200084
2022-02-09,11300,11120.0,11547.5,11176.846353402356,11625.67233193252,11163.333333333334,11208.809523809523,-533.3406842729692,-578.0549194232211,38.93970582263606
2022-02-10,11200,11160.0,11470.0,11180.73930133569,11597.470801837457,11190.0,11175.714285714286,-496.703795555688,-561.7846946497145,37.29561322087785
2022-02-11,11100,11170.0,11395.0,11167.184074749091,11565.115367278548,11170.0,11140.47619047619,-470.31644632641473,-543.4910449850546,35.67356127203609
2022-02-14,11500,11240.0,11332.5,11222.991943856914,11560.952788020564,11280.0,11150.47619047619,-412.3740337242616,-517.267642732896,45.823484362055225
2022-02-15,11100,11240.0,11257.5,11202.389133898183,11531.958631629372,11233.333333333334,11128.333333333334,-394.1869693354038,-492.6515080533976,39.16787352591401
2022-02-16,11500,11280.0,11212.5,11252.200787476022,11529.978674628714,11320.0,11151.42857142857,-343.5368537106824,-462.8285771848546,47.39603775869543
2022-02-17,11450,11330.0,11185.0,11285.283462943607,11525.09372035416,11376.666666666666,11174.047619047618,-303.9273687772311,-431.04833550332995,46.548478370783876
2022-02-18,11300,11370.0,11160.0,11287.743415711897,11511.527982329862,11366.666666666666,11185.0,-281.39654874358894,-401.11797815138175,44.00606271980962
2022-02-21,11700,11410.0,11167.5,11356.620763670417,11522.744767690307,11476.666666666666,11236.42857142857,-228.62856668026689,-366.6200958571588,51.598078213319205
2022-02-22,12000,11590.0,11185.0,11464.06892779586,11550.814395748539,11673.333333333334,11315.714285714286,-160.7490529078059,-325.4458872672882,56.37548911939487
2022-02-23,12050,11700.0,11212.5,11561.889716875188,11579.848792964443,11826.666666666666,11398.095238095239,-101.74659564553258,-280.70602894293705,57.134883591719905
2022-02-24,11700,11750.0,11232.5,11584.940618333465,11586.764291030695,11826.666666666666,11444.52380952381,-82.28032177172099,-241.02088750869385,50.50705011394659
2022-02-25,11850,11860.0,11285.0,11629.169181151925,11601.766167911876,11860.0,11503.333333333334,-54.12548814669208,-203.6418076362935,53.022238166275834
2022-02-28,11550,11830.0,11327.5,11615.961377358963,11598.843389521093,11756.666666666666,11528.57142857143,-55.381667065583315,-173.98977952215145,47.79117994028399
2022-03-02,11700,11770.0,11397.5,11629.979259413325,11604.504751616076,11713.333333333334,11564.047619047618,-43.76891075342428,-147.945605768406,50.42478582980277
2022-03-03,11900,11740.0,11460.0,11675.013356379246,11620.905627529519,11756.666666666666,11611.904761904761,-18.21739044329115,-121.99996270338305,53.77309206488679
2022-03-04,11550,11710.0,11487.5,11654.16597690358,11617.000936172955,11693.333333333334,11620.47619047619,-25.911015380441313,-102.7821732387947,47.701341803883416
2022-03-07,11150,11570.0,11492.5,11570.098593541568,11591.47390308324,11506.666666666666,11588.333333333334,-63.55233388811939,-94.93620536865964,41.88106973239066
2022-03-08,10800,11420.0,11475.0,11441.698271971543,11548.513202577558,11250.0,11522.380952380952,-120.23938019597881,-99.99684033412348,37.5623218050004
2022-03-10,11550,11390.0,11497.5,11459.754484478026,11548.593371049412,11293.333333333334,11529.52380952381,-103.45299903893465,-100.68807207508573,49.56437170597029
2022-03-11,11350,11280.0,11500.0,11441.457067361336,11537.952221005884,11280.0,11515.47619047619,-105.07674030861381,-101.56580572179135,46.97141230346196
2022-03-14,11500,11270.0,11515.0,11451.216446545544,11535.930697629952,11353.333333333334,11515.47619047619,-93.18563457621349,-99.88977149267579,49.12126338299134
2022-03-15,11300,11300.0,11525.0,11426.008919024907,11523.434412319226,11363.333333333334,11495.0,-98.76171259696639,-99.66415971353392,46.41905973661824
2022-03-16,11500,11440.0,11525.0,11438.342717482077,11522.199788594358,11430.0,11492.619047619048,-86.05052913633881,-96.9414335980949,49.41579357585303
2022-03-17,11500,11430.0,11545.0,11448.620286453632,11521.036104317931,11450.0,11490.238095238095,-75.1109919049486,-92.57534525946565,49.41579357585303
2022-03-18,11350,11430.0,11537.5,11432.181765700814,11512.11343818009,11423.333333333334,11471.666666666666,-77.64997564781879,-89.59027133713629,47.12331993228875
2022-03-21,11300,11390.0,11530.0,11410.149453903516,11501.097949019902,11380.0,11449.047619047618,-82.74291190621625,-88.22079945095228,46.35141292567885
2022-03-22,11600,11450.0,11545.0,11441.79362631832,11506.212079559327,11450.0,11455.714285714286,-61.858541032812354,-82.94834776732431,51.48628437073675
2022-03-23,11850,11520.0,11552.5,11509.832348565433,11523.91661289758,11583.333333333334,11484.761904761905,-24.84818161880139,-71.32831453761973,55.32380645411165
2022-03-24,11900,11600.0,11547.5,11574.863736633577,11543.209467522516,11710.0,11517.857142857143,8.420312869311601,-55.378589056233466,56.072217703713314
2022-03-25,11850,11700.0,11537.5,11620.72180563151,11558.889930084571,11793.333333333334,11546.666666666666,30.400810683426243,-38.22270910830153,55.0785721361846
2022-03-28,11800,11800.0,11542.5,11650.602604312398,11571.170492095265,11826.666666666666,11571.666666666666,43.28694645592441,-21.92077799545634,54.04713881449436
2022-03-29,11850,11850.0,11542.5,11683.836522772803,11585.325319864842,11843.333333333334,11600.952380952382,56.878227229753975,-6.160976950414277,54.955554066591404
2022-03-30,11850,11850.0,11557.5,11711.531143399332,11598.719435828867,11843.333333333334,11630.238095238095,66.87848165677497,8.446914771023572,54.955554066591404
2022-03-31,11800,11830.0,11562.5,11726.276266851031,11608.875097710647,11826.666666666666,11653.333333333334,69.96268690122815,20.75006919706449,53.72384451209475
