Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,131500,,,131500.0,131500.0,,,0.0,0.0,
2022-01-04,128500,,,129863.63636363635,129963.41463414635,,,-239.31623931624927,-47.86324786324985,
2022-01-05,123500,,,127346.15384615384,127703.01348136399,,,-822.947865682916,-202.88017142718311,
2022-01-06,118000,,,124337.5558867362,125096.95194454918,,,-1709.5772269025765,-504.2195825222618,
2022-01-07,117500,123800.0,,122432.27262954201,123425.80485713735,121233.33333333333,,-2424.6335386626743,-888.3023737503443,
2022-01-10,111500,119800.0,,119692.7749669685,121188.09830653794,117133.33333333333,,-3435.8641699429427,-1397.8147329888639,
2022-01-11,108500,115800.0,,117105.15531859016,119099.76035819217,113366.66666666667,,-4428.299973140398,-2003.9117810191708,
2022-01-12,113000,113700.0,,116213.62018819372,118200.93561027433,112433.33333333333,,-4796.410075666703,-2562.4114399486775,
2022-01-13,113500,112800.0,,115652.62565863477,117571.05465125479,112366.66666666667,,-4990.269442880584,-3047.983040535059,
2022-01-14,112000,111700.0,,114926.59704033592,116883.93363723568,112100.0,,-5204.942514710478,-3479.3749353701423,
2022-01-17,111000,111600.0,,114170.38747856235,116209.3048294343,111866.66666666667,,-5393.590163412417,-3862.2179809785976,
2022-01-18,111500,112200.0,,113669.10019386414,115703.27697391626,111833.33333333333,,-5440.0395729263255,-4177.782299368144,
2022-01-19,107500,111100.0,,112534.91111765247,114871.5759004486,110266.66666666667,,-5733.525126557724,-4488.93086480606,
2022-01-20,111000,110600.0,,112257.4848161509,114499.0787904311,110233.33333333333,,-5618.92235374407,-4714.929162593662,
2022-01-21,108500,109900.0,,111587.76913470456,113948.6359578423,109533.33333333333,,-5664.530752779014,-4904.849480630733,26.611768613499606
2022-01-24,106000,108900.0,,110603.22221028559,113250.14080700619,108233.33333333333,,-5835.140971364468,-5090.9077787774795,24.023313491111736
2022-01-25,102500,107100.0,,109188.9388354425,112342.01865169959,106100.0,,-6181.514892234976,-5309.029201468979,20.950883707880596
2022-01-26,98300,105260.0,,107303.28872301534,111197.978985608,103166.66666666667,,-6717.488592150767,-5590.721079605337,17.979301188354277
2022-01-27,95000,102060.0,,105186.48274660377,109921.50094815315,99746.66666666667,,-7324.106293313831,-5937.3981223470355,16.052735459920424
2022-01-28,93700,99100.0,111125.0,103220.79587434707,108681.82932510928,96960.0,106273.33333333333,-7819.614676922356,-6313.8414332621,15.35471695899979
2022-02-03,96400,97180.0,109370.0,102058.73722891379,107769.51039585445,96060.0,104870.95238095238,-7903.336462633626,-6631.740439136405,22.85741027595545
2022-02-04,98100,96300.0,107850.0,101386.77583180254,107069.89361274557,96366.66666666667,103797.61904761905,-7743.251406280542,-6854.042632565233,27.230930081630643
2022-02-07,97900,96220.0,106570.0,100796.73997162451,106422.43954627408,96900.0,102850.0,-7545.540876017796,-6992.342281255746,27.03672671597929
2022-02-08,96800,96580.0,105510.0,100122.13065469943,105758.29967831525,97093.33333333333,101919.52380952382,-7392.399681355906,-7072.353761275778,25.940936785222785
2022-02-09,99400,97720.0,104605.0,100000.50054629374,105328.645405533,98033.33333333333,101337.61904761905,-6980.765985465754,-7054.036206113774,32.86682861173508
2022-02-10,96200,97680.0,103840.0,99361.5018173055,104723.85681858742,97526.66666666667,100537.14285714286,-6833.978719620587,-7010.024708815136,29.24216040372692
2022-02-11,95100,97080.0,103170.0,98646.04327633292,104097.92245550922,96666.66666666667,99704.76190476191,-6728.843639888655,-6953.78849502984,28.09514531390356
2022-02-14,91200,95740.0,102080.0,97397.46177223722,103273.40703421507,94706.66666666667,98564.76190476191,-6880.901983233838,-6939.21119267064,24.43551088215606
2022-02-15,91200,94620.0,100965.0,96359.30331148101,102513.98381165946,93193.33333333333,97528.57142857143,-6921.621175504493,-6935.693189237411,24.43551088215606
2022-02-16,93500,93440.0,100040.0,95880.73669228796,101955.5337328606,92820.0,96817.61904761905,-6691.16901930052,-6886.788355250033,30.61698670963637
