Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,73400,,,73400.0,73400.0,,,0.0,0.0,
2022-01-04,73100,,,73236.36363636365,73246.34146341463,,,-23.931623931624927,-4.786324786324985,
2022-01-05,72500,,,72945.05494505496,72985.3291038858,,,-90.27199454550282,-21.883458738160556,
2022-01-06,72400,,,72769.59761549925,72828.11983411154,,,-149.1965356869041,-47.34607412790926,
2022-01-07,73400,72960.0,,72945.25908406795,72953.91974446358,72913.33333333333,,-113.89016153060948,-60.654891608449304,
2022-01-10,74500,73180.0,,73334.8586896974,73244.01957059781,73426.66666666667,,2.8187089511629893,-47.96017149652685,
2022-01-11,73800,73320.0,,73442.393130206,73335.52855809202,73633.33333333333,,38.38470481065451,-30.691196235090576,
2022-01-12,76200,74060.0,,74041.27507484538,73757.62019292697,74593.33333333333,,257.26536020131607,26.900115052190753,
2022-01-13,75100,74600.0,,74260.14833275507,73937.48640475077,74940.0,,338.07196644526266,89.13448533080513,
2022-01-14,73300,74580.0,,74069.30064330072,73858.86030389983,74506.66666666667,,253.93957001021772,122.09550226668766,
2022-01-17,73100,74300.0,,73882.62642968328,73771.85235077339,74013.33333333333,,169.17556060942297,131.51151393523475,
2022-01-18,73700,74280.0,,73848.3436494557,73764.1316165477,73813.33333333333,,148.7003331802116,134.94927778423013,
2022-01-19,71400,73320.0,,73398.2156672928,73524.44072112217,72853.33333333333,,-52.51188583903422,97.45704505957727,
2022-01-20,71300,72560.0,,73018.97532846458,73310.41992924585,72180.0,,-217.53556870778266,34.45852230610528,
2022-01-21,72000,72300.0,,72837.35815903614,73190.18292571034,71993.33333333333,,-288.5081342749618,-30.13480901010813,42.37061653974498
2022-01-24,70600,71800.0,,72443.14285750879,72962.56774456694,71426.66666666667,,-452.50649038286065,-114.60914528465864,36.05982449986223
2022-01-25,70100,71080.0,,72034.18603733784,72720.75126638528,70860.0,,-615.7245016881207,-214.83221656535105,34.106038405254424
2022-01-26,73100,71420.0,,72218.75427202925,72751.64964398555,71533.33333333333,,-497.2688182185666,-271.3195368959942,51.19319262696664
2022-01-27,69900,71140.0,,71819.80785929658,72526.92604456011,71026.66666666667,,-654.0654329564568,-347.8687161080867,39.44378209405486
2022-01-28,69500,70640.0,72620.0,71422.81811441357,72295.6037807026,70480.0,72028.09523809524,-801.3668783157045,-438.5683485496103,38.26165991055669
2022-02-03,70700,70660.0,72485.0,71299.67162910545,72177.07912983895,70500.0,71845.23809523809,-811.9151118214795,-513.2377012039842,43.711793706525306
