Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,22900,,,22900.0,22900.0,,,0.0,0.0,
2022-01-04,23200,,,23063.636363636364,23053.658536585368,,,23.931623931624927,4.786324786324985,
2022-01-05,23150,,,23097.8021978022,23087.351308485326,,,38.42014269364881,11.51308836778975,
2022-01-06,24400,,,23516.989567809243,23439.90603520779,,,149.04880961325762,39.02023261688333,
2022-01-07,24600,23650.0,,23818.770156955496,23695.098863138937,23956.666666666668,,249.97954512447905,81.21209511840247,
2022-01-10,24350,23940.0,,23951.89004543843,23817.981685850224,24190.0,,306.2645425178889,126.22258459829976,
2022-01-11,24250,24150.0,,24020.809073836408,23889.087711199543,24293.333333333332,,338.8950727546908,168.75708222957797,
2022-01-12,24350,24390.0,,24092.300954777806,23957.005030481916,24360.0,,368.5754588632408,208.72075755631056,
2022-01-13,24350,24380.0,,24145.575821788007,24009.66264352152,24346.666666666668,,387.6290324940055,244.50241254384957,
2022-01-14,23550,24170.0,,24027.19383266663,23952.96891468652,24070.0,,334.32195733298795,262.46632150167727,
2022-01-17,22950,23890.0,,23819.740847861154,23837.97242341156,23663.333333333332,,240.88397015745795,258.1498512328334,
2022-01-18,23050,23650.0,,23675.244476962445,23753.30260269108,23383.333333333332,,172.909661456888,241.1018132776443,
2022-01-19,23300,23440.0,,23606.255779534113,23707.343864193936,23266.666666666668,,137.62597616205676,220.40664585452683,
2022-01-20,23700,23310.0,,23623.19950485599,23706.63728675391,23353.333333333332,,140.32250789788304,204.3898182631981,
2022-01-21,23350,23270.0,,23574.50576382503,23673.914189560932,23366.666666666668,,112.91583039292891,186.09502068914426,48.965651361092576
2022-01-24,22700,23220.0,,23420.420664851783,23588.33040608578,23176.666666666668,,38.304720320462366,156.53696061540788,39.80605069561016
2022-01-25,21800,22970.0,,23137.60304649212,23437.260527846,22703.333333333332,,-92.38267042372536,106.75303440758124,31.12443876203819
2022-01-26,21550,22620.0,,22862.675993603967,23283.50051956945,22230.0,,-213.663302255507,42.669767074963595,29.218160356613538
2022-01-27,20700,22020.0,,22490.583167745226,23079.90835069988,21590.0,,-374.0550986792041,-40.67520607586994,23.86601088156867
2022-01-28,21550,21660.0,23187.5,22329.620754281532,22962.990441914357,21433.333333333332,22784.04761904762,-427.64918307179687,-118.07000147505534,36.410318579523796
2022-02-03,22850,21690.0,23185.0,22418.27773984908,22954.59728514148,21830.0,22751.904761904763,-361.06165166346545,-166.66833151273738,49.98371795904165
2022-02-04,23100,21950.0,23180.0,22533.994195851024,22965.1175881827,22300.0,22743.809523809523,-284.8342506835652,-190.30151534690296,52.101144977952394
2022-02-07,22950,22230.0,23170.0,22604.39113397687,22964.050188237023,22633.333333333332,22721.904761904763,-233.8317655775645,-199.0075653930353,50.713878771511155
