Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,117500,,,117500.0,117500.0,,,0.0,0.0,
2022-01-04,117500,,,117500.0,117500.0,,,0.0,0.0,
2022-01-05,117500,,,117500.0,117500.0,,,0.0,0.0,
2022-01-06,115000,,,116695.23099850968,116828.54325570606,,,-199.43019943017862,-39.886039886035725,
2022-01-07,116500,116800.0,,116640.8299290475,116756.27162507451,116500.0,,-233.74810269396403,-78.65845244762139,
2022-01-10,115000,116300.0,,116229.65743933484,116426.73239756408,115900.0,,-377.62967245682376,-138.45269644946185,
2022-01-11,114500,115700.0,,115829.78380762196,116109.61092790561,115300.0,,-525.9399658897601,-215.9501503375215,
2022-01-12,117500,115700.0,,116192.51220528304,116314.49046969853,115900.0,,-396.8276320735167,-252.12564668472055,
2022-01-13,116500,116000.0,,116256.08004410325,116339.34699413128,116166.66666666667,,-370.9210727351747,-275.88473189481135,
2022-01-14,115000,115700.0,,116006.41031494904,116174.15502917298,115833.33333333333,,-466.0550097466039,-313.9187874651699,
2022-01-17,113000,115300.0,,115427.41628947992,115810.2188335714,114933.33333333333,,-694.8231369236746,-390.09965735687086,
2022-01-18,110000,114400.0,,114408.57733950668,115185.8947171825,113166.66666666667,,-1105.4554515276686,-533.1708161910304,
2022-01-19,111000,113100.0,,113781.91039256098,114761.50174096422,112033.33333333333,,-1334.8060632370325,-693.4978656002309,
2022-01-20,112000,112200.0,,113459.84040158227,114495.80853378771,111666.66666666667,,-1419.5131685564702,-838.7009261914789,
2022-01-21,111500,111500.0,,113110.52805188761,114220.92944104066,111433.33333333333,,-1509.588385902971,-972.8784181337774,34.30551365825
2022-01-24,109500,110800.0,,112474.36463795259,113806.07255999895,110766.66666666667,,-1722.5010104804096,-1122.8029366031037,29.266549065014303
2022-01-25,107500,110300.0,,111606.17158767022,113273.36472783978,109666.66666666667,,-2029.2274142321694,-1304.087832128917,25.26934716047698
2022-01-26,106500,109400.0,,110721.92995734506,112721.5211422584,108400.0,,-2326.1871047586756,-1508.5076866548688,23.538279760828388
2022-01-27,101500,107300.0,,109135.27805578968,111837.21172948196,105766.66666666667,,-2931.1989750599896,-1793.0459443358932,17.195395226080226
2022-01-28,107000,106400.0,112600.0,108769.86697778804,111467.54469713646,105666.66666666667,110423.80952380953,-2933.0607084862713,-2021.0488971659688,37.23212635220583
2022-02-03,107000,105900.0,112075.0,108468.33483099844,111135.68651163335,105866.66666666667,109890.47619047618,-2901.094138281929,-2197.057945389161,37.23212635220584
2022-02-04,108500,106100.0,111625.0,108473.7097194974,110944.98704050573,106733.33333333333,109550.0,-2723.330083127177,-2302.3123729367644,41.69463276457283
2022-02-07,106000,106000.0,111050.0,108055.10596847282,110595.83882753474,106700.0,109014.28571428571,-2752.4513495087594,-2392.3401682511635,36.97620601355923
2022-02-08,108000,107300.0,110700.0,108045.80463788494,110416.67427702023,107366.66666666667,108723.80952380953,-2584.3560300127283,-2430.7433406034766,42.574979457459094
2022-02-09,108000,107500.0,110275.0,108038.0896585593,110253.37048802362,107600.0,108466.66666666667,-2423.206067102583,-2429.235885903298,42.574979457459094
2022-02-10,109000,107900.0,109975.0,108199.8208510941,110170.33251988087,108100.0,108345.23809523809,-2189.5620099268126,-2381.301110708001,45.388264267089276
2022-02-11,108500,107900.0,109675.0,108250.21757626608,110061.69431571089,108300.0,108204.76190476191,-2021.441315445205,-2309.329151655442,44.22171571740299
2022-02-14,107500,108200.0,109175.0,108124.41817448841,109897.93488273003,108166.66666666667,107997.61904761905,-1946.4585341226484,-2236.755028148883,41.90213204342697
2022-02-15,108000,108200.0,108750.0,108103.57645165671,109778.55384796835,108100.0,107885.71428571429,-1825.6434372559743,-2154.5327099703013,43.497985737151744
2022-02-16,109500,108500.0,108475.0,108337.2983145346,109761.29639315172,108533.33333333333,107957.14285714286,-1590.5245615085296,-2041.731080277947,48.10348786011159
2022-02-17,111500,109000.0,108400.0,108866.27227821179,109867.49329696248,109533.33333333333,108245.23809523809,-1228.644820549598,-1879.1138283322773,53.54106831014029
2022-02-18,112500,109800.0,108525.0,109473.6705087984,110026.14675128556,110700.0,108635.71428571429,-851.3470768290572,-1673.5604780316335,56.022231888335554
2022-02-21,111500,110600.0,108550.0,109812.21743991681,110113.86213603067,111266.66666666667,108919.04761904762,-625.8135502465448,-1464.011092474616,52.975422462940614
2022-02-22,109500,110900.0,108425.0,109760.07526803327,110077.75801255355,110900.0,109009.52380952382,-601.5258750010253,-1291.5140489798978,47.420640939624576
2022-02-23,110000,111000.0,108350.0,109800.13053684219,110073.23533200353,110600.0,109159.52380952382,-535.7560339967022,-1140.3624459832586,48.86422503185543
2022-02-24,108500,110400.0,108300.0,109583.13597127053,109982.68521465841,109766.66666666667,109173.80952380953,-597.7795940759679,-1031.8458756018006,44.88301777000223
2022-02-25,108500,109600.0,108350.0,109402.40082035803,109898.18656844151,109133.33333333333,109192.85714285714,-639.5612483366422,-953.3889501487689,44.88301777000223
2022-02-28,110000,109300.0,108525.0,109502.09836170811,109903.93507387767,109266.66666666667,109350.0,-545.3495957108098,-871.7810792611772,49.64147469872307
2022-03-02,111000,109600.0,109000.0,109751.95262912393,109965.27778195194,109833.33333333333,109585.71428571429,-385.55015737762733,-774.5348948844672,52.580677039856646
2022-03-03,113000,110200.0,109300.0,110293.66242494233,110133.71400149247,110966.66666666667,109966.66666666667,-96.41327369917417,-638.9105706474087,57.876090025738826
2022-03-04,110500,110600.0,109475.0,110328.0715301124,110153.88495014963,111066.66666666667,110080.95238095238,-68.21299989185354,-524.7710564962977,50.31269528936982
