Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,31300,,,31300.0,31300.0,,,0.0,0.0,
2022-01-04,31200,,,31245.454545454544,31248.780487804877,,,-7.977207977208309,-1.5954415954416619,
2022-01-05,31800,,,31464.835164835167,31441.554321966687,,,33.72699896916674,5.469046517480019,
2022-01-06,31450,,,31460.05961251863,31443.82268495693,,,38.09665399588266,11.99456801316055,
2022-01-07,31550,31460.0,,31485.12147925178,31467.179145821574,31510.0,,49.06323096557753,19.408300603643944,
2022-01-10,31550,31510.0,,31501.379265895397,31482.719293437724,31540.0,,57.096153309743386,26.945871144863833,
2022-01-11,31450,31560.0,,31489.50106783079,31477.334015007633,31520.0,,54.761877045948495,32.509072325080766,
2022-01-12,31500,31500.0,,31491.781168371235,31480.67394101304,31500.0,,56.29756513504617,37.26677088707385,
2022-01-13,31550,31520.0,,31503.816915379295,31489.962977949497,31516.666666666668,,60.847775858575915,41.98297188137426,
2022-01-14,31150,31440.0,,31433.48909363924,31448.032729412986,31393.333333333332,,31.810501914238557,39.94847788794713,
2022-01-17,30900,31310.0,,31330.746298906884,31385.19744103715,31213.333333333332,,-11.245031824648322,29.709775945428042,
2022-01-18,30650,31150.0,,31202.956056297186,31306.19843843594,30993.333333333332,,-64.79287128589203,10.809246499164027,
2022-01-19,30950,31040.0,,31156.45008511857,31270.08474575475,30926.666666666668,,-82.0763025300439,-7.76786330667756,
2022-01-20,30500,30830.0,,31037.8005313168,31195.99234781701,30746.666666666668,,-130.57954578366844,-32.33019980207574,
2022-01-21,31100,30820.0,,31048.886659829073,31187.184612215417,30836.666666666668,,-119.22932843783565,-49.71002552922772,47.765611032811655
2022-01-24,30850,30810.0,,31013.843470942382,31157.554142557707,30846.666666666668,,-128.92098916758914,-65.5522182569,43.192862898829155
2022-01-25,30350,30750.0,,30897.98057590043,31089.33570508493,30693.333333333332,,-174.93102547531453,-87.42797970058291,35.80920873292697
2022-01-26,30450,30650.0,,30820.40326225419,31037.24736759527,30593.333333333332,,-201.00805078222038,-110.1439939169104,38.08873050550832
2022-01-27,29800,30510.0,,30644.840794972664,30939.74637114149,30310.0,,-270.9999304297162,-142.31518121947158,30.505598649120415
2022-01-28,30950,30480.0,31050.0,30697.062824683882,30940.529968958348,30456.666666666668,30837.85714285714,-231.01066314009222,-160.05427760359572,49.61740732749216
2022-02-03,31250,30560.0,31047.5,30791.266703057398,30963.51802390381,30713.333333333332,30856.904761904763,-173.11581653836038,-162.66658539054868,53.23083746296387
2022-02-04,31550,30800.0,31065.0,30920.055116323278,31005.951675316363,31043.333333333332,30904.761904761905,-101.85215248813256,-150.5036988100655,56.58413644330845
2022-02-07,31750,31060.0,31062.5,31060.499259268767,31058.48632117072,31360.0,30970.0,-28.90367321814847,-126.1836936916821,58.7096071446631
2022-02-08,32050,31510.0,31092.5,31227.516984600108,31126.920501564404,31690.0,31064.04761904762,52.5107042522759,-90.4448141028905,61.73566218808837
2022-02-09,32650,31850.0,31147.5,31467.109033826095,31229.840723541627,32070.0,31212.380952380954,163.56173270628642,-39.64350474105512,66.95222781863973
