Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,145500,,,145500.0,145500.0,,,0.0,0.0,
2022-01-04,145500,,,145500.0,145500.0,,,0.0,0.0,
2022-01-05,142000,,,144115.38461538462,144275.97145122918,,,-279.2022792022617,-55.84045584045234,
2022-01-06,140000,,,142790.61102831594,143127.51950349467,,,-654.3128708370787,-175.53493883977762,
2022-01-07,140500,142700.0,,142152.3328316491,142549.52827787775,141666.66666666666,,-900.8603386895848,-320.600018809739,
2022-01-10,133000,140200.0,,139858.8669395121,140757.69600839764,138433.33333333334,,-1682.0486928339815,-592.8897536145876,
2022-01-11,131000,137300.0,,137810.81556505838,139151.67386304124,135366.66666666666,,-2434.466364111373,-961.2050757139448,
2022-01-12,133000,135500.0,,136766.0290102879,138245.19944691195,133933.33333333334,,-2836.6800226436753,-1336.300065099891,
2022-01-13,136500,134800.0,,136711.03206556998,138011.35920904553,134266.66666666666,,-2840.2755668197933,-1637.0951654438713,
2022-01-14,133500,133400.0,,136072.77854830414,137454.9385834418,133833.33333333334,,-3050.0410151990945,-1919.6843353949162,
2022-01-17,129500,132700.0,,134806.95016444157,136542.85645207332,132533.33333333334,,-3498.7171811350563,-2235.4909045429445,
2022-01-18,127500,132000.0,,133435.28360415273,135571.17646448803,130800.0,,-3969.916830445145,-2582.3760897233847,
2022-01-19,126500,130700.0,,132160.23170726778,134651.4821487751,128966.66666666667,,-4373.621207193006,-2940.6251132173093,
2022-01-20,127500,128900.0,,131317.9217964079,133963.41442099225,127900.0,,-4560.299893167074,-3264.560069207262,
2022-01-21,127000,127600.0,,130548.31657381763,133324.4893972879,127266.66666666667,,-4694.474933253106,-3550.543042016431,23.13497101636239
2022-01-24,123000,126300.0,,129218.32750516833,132417.21350528416,125733.33333333333,,-5065.187857158075,-3853.4720050447604,19.016113211562395
2022-01-25,118000,124400.0,,127260.35403827198,131199.31401568852,122966.66666666667,,-5696.7699159764015,-4222.131587231089,15.339733571244272
2022-01-26,120500,123200.0,,126089.65572276464,130327.61316287446,121666.66666666667,,-5927.248510025209,-4563.154971789913,23.321964092282244
2022-01-27,112500,120200.0,,123751.52767432574,128922.71217597544,118100.0,,-6678.452553681389,-4986.214488168209,17.602516780712744
2022-01-28,119000,118600.0,130575.0,122938.39664208281,128164.40351221463,117700.0,125795.23809523809,-6672.376490407114,-5323.44688861599,32.15990438277518
2022-02-03,121500,118300.0,129375.0,122693.33707949113,127669.35824530512,118666.66666666667,124930.95238095238,-6392.147364019504,-5537.186983696693,36.78579654362289
2022-02-04,125500,119800.0,128375.0,123169.74382947967,127512.39896041292,121066.66666666667,124561.90476190476,-5780.661326376561,-5585.8818522326665,43.4321494245661
2022-02-07,126000,120900.0,127575.0,123648.68274458447,127405.61376765065,123133.33333333333,124335.71428571429,-5195.814301711842,-5507.868342128502,44.221608118229206
2022-02-08,130000,124400.0,127075.0,124720.7209121085,127584.67806018278,126166.66666666667,124566.66666666667,-4359.300942767004,-5278.154862256203,50.208354789240126
2022-02-09,143500,129300.0,127225.0,127883.75759581174,128660.13634621933,132533.33333333334,126130.95238095238,-2577.3112633342243,-4737.986142471807,64.18142072786807
2022-02-10,147500,134500.0,127950.0,131181.94261410504,129908.30998110617,138600.0,128061.90476190476,-832.7061154785042,-3956.930137073147,67.1252249761635
2022-02-11,146000,138600.0,128700.0,133669.72888567438,130954.91135233338,142433.33333333334,129780.95238095238,423.9811783170153,-3080.747873995115,64.96886240285556
2022-02-14,146000,142600.0,129350.0,135737.31671487304,131916.6869908154,144900.0,131428.57142857142,1403.7335460677277,-2183.851589982546,64.96886240285555
2022-02-15,145000,145600.0,129775.0,137288.94113389522,132739.63379439633,145700.0,132919.04761904763,2075.576756743423,-1331.9659206373522,63.39428417814252
2022-02-16,151000,147100.0,130650.0,139583.78514738675,133870.93191512578,147500.0,134940.47619047618,3056.9288248597877,-454.18697153792414,68.3506140255134
2022-02-17,149500,147500.0,131650.0,141242.31004063468,134825.52741577575,148300.0,136735.7142857143,3671.299489909841,370.91032075162894,65.9466459196401
2022-02-18,151500,148600.0,132850.0,142956.94118756012,135830.4489498596,149633.33333333334,138626.19047619047,4270.3500167734455,1150.7982599559923,67.58373630385516
2022-02-21,152500,149900.0,134150.0,144551.33799640206,136822.52606823415,150933.33333333334,140497.61904761905,4770.798719965474,1874.7983519578888,68.40169475024483
2022-02-22,147500,150400.0,135150.0,145043.78211182074,137450.51860048083,150133.33333333334,141769.04761904763,4709.659684347076,2441.7706184357266,60.21966079586283
2022-02-23,152000,150600.0,136400.0,146205.1178987584,138296.76780847335,150666.66666666666,143373.80952380953,4967.061754055176,2946.8288455596166,64.35251856655898
2022-02-24,144500,149600.0,137475.0,145920.53007684002,138653.80492265162,148633.33333333334,144145.2380952381,4513.8347516435315,3260.2300267763994,54.23851306478171
2022-02-25,148000,148900.0,138975.0,146267.5163466612,139186.44720134122,148100.0,145147.61904761905,4386.504937769554,3485.4850089750307,57.58842579998064
2022-02-28,151500,148700.0,140525.0,147140.452209299,139881.68479541896,148966.66666666666,146340.47619047618,4515.958731027582,3691.579753385541,60.68761071384165
2022-03-02,152000,149600.0,142500.0,147951.03864713904,140559.90216578636,150066.66666666666,147433.33333333334,4605.804765847657,3874.4247558779643,61.124653556657364
2022-03-03,151500,149500.0,144125.0,148542.9349190543,141167.1105322192,150700.0,148290.47619047618,4583.823114885046,4016.304427679381,60.40150583538828
2022-03-04,151500,150900.0,145625.0,149036.0586912831,141736.1308709274,151366.66666666666,148992.85714285713,4514.363723220507,4115.916286787607,60.40150583538828
2022-03-07,146500,150600.0,146675.0,148613.18244021584,141996.53172984102,149900.0,149076.19047619047,4009.637832620414,4094.6605959541685,53.113851382879126
2022-03-08,142500,148800.0,147500.0,147593.9173776345,142023.85966760895,147200.0,148678.57142857142,3249.4151225192472,3925.6115012671844,48.112654045857575
2022-03-10,149000,148200.0,148450.0,147828.3413992386,142400.01481924107,147266.66666666666,148821.42857142858,3135.287185858586,3767.546638185465,55.45308966151135
2022-03-11,152000,148300.0,148875.0,148523.80799315116,142914.40702772353,148533.33333333334,149159.52380952382,3249.457182083308,3663.928746965034,58.37965757750565
2022-03-14,144500,146900.0,148725.0,147853.0204838885,142998.86356737302,147266.66666666666,148742.85714285713,2703.5851599564194,3471.8600295633114,49.605669726312364
2022-03-15,144000,146400.0,148625.0,147210.72844420656,143051.8896747119,146300.0,148292.85714285713,2205.211522564088,3218.530328163467,49.076129190225544
2022-03-16,151000,148100.0,148875.0,147842.3736513413,143470.62966450962,147833.33333333334,148519.04761904763,2348.0217893072113,3044.428620392216,56.135889262129545
2022-03-17,150500,148400.0,149150.0,148285.3697903785,143839.10018835386,148633.33333333334,148673.80952380953,2393.266051977116,2914.196106709196,55.54356579541763
2022-03-18,151500,148300.0,149175.0,148821.20037162857,144238.75645746363,149666.66666666666,148897.61904761905,2481.212228690274,2827.5993311054117,56.53145472210562
2022-03-21,151000,149600.0,149250.0,149184.36689843057,144589.88180619784,150566.66666666666,149071.42857142858,2481.9539656741836,2758.470258019166,55.86302975137062
2022-03-22,150000,150800.0,149175.0,149320.3161228282,144869.6338477646,150700.0,149142.85714285713,2374.4786431895045,2681.671935053234,54.47569905566215
2022-03-23,148500,150300.0,148975.0,149183.5880743841,145056.59195405853,149933.33333333334,149078.57142857142,2143.5566253660363,2574.0488731157943,52.37457375053199
2022-03-24,148500,149900.0,149025.0,149069.6506908502,145233.23674381254,149333.33333333334,149033.33333333334,1938.2068207993289,2446.8804626525016,52.374573750531994
2022-03-25,149500,149500.0,148900.0,149141.37874323683,145451.31655533577,149200.0,149078.57142857142,1835.0044745342457,2324.5052650288503,53.75370066734926
2022-03-28,153500,150000.0,149350.0,149867.84235337278,145861.2635815272,150533.33333333334,149516.66666666666,2052.3245226224535,2270.069116547571,58.88272078954833
2022-03-29,158000,151600.0,149850.0,151223.24352700994,146477.48861680026,153200.0,150340.47619047618,2558.175562889577,2327.6904058159726,63.75312684640814
2022-03-30,159000,153700.0,150225.0,152519.4027300934,147111.20231220085,155666.66666666666,151211.90476190476,3005.1166848893045,2463.1756616306393,64.75230670783407
