Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,79000,,,79000.0,79000.0,,,0.0,0.0,
2022-01-04,78400,,,78672.72727272726,78692.68292682926,,,-47.8632478632353,-9.57264957264706,
2022-01-05,78500,,,78604.3956043956,78625.29738302933,,,-76.84028538728307,-23.026176735574264,
2022-01-06,78700,,,78635.17138599105,78645.36121342187,,,-82.71300384188362,-34.96354215683614,
2022-01-07,78400,78600.0,,78569.64093743279,78591.38763557556,78540.0,,-110.30316213147307,-50.03146615176353,
2022-01-10,78500,78500.0,,78552.18974573813,78574.24005407302,78506.66666666667,,-122.68515894377197,-64.56220471016522,
2022-01-11,79200,78660.0,,78701.9547992924,78677.2340733549,78740.0,,-75.1475762873597,-66.67927902560412,
2022-01-12,79200,78800.0,,78810.11752603394,78754.26578028184,78920.0,,-37.04664883534133,-60.75275298755156,
2022-01-13,79000,78860.0,,78849.37247763606,78787.1918441151,78986.66666666667,,-22.72772677082685,-53.14774774420662,
2022-01-14,78700,78920.0,,78819.68186499592,78776.43780343646,78933.33333333333,,-35.18181658613321,-49.554561512591945,
2022-01-17,78900,79000.0,,78835.15005311147,78790.60496141213,78926.66666666667,,-28.583946024489705,-45.360438414971505,
2022-01-18,78500,78860.0,,78772.23541565175,78759.37865291175,78760.0,,-54.99776315112831,-47.28790336220287,
2022-01-19,79000,78820.0,,78814.10993468981,78783.77439540696,78806.66666666667,,-35.17955419734062,-44.86623352923042,
2022-01-20,78800,78780.0,,78811.55964565327,78785.33551443822,78800.0,,-35.205976764060324,-42.93418217619641,
2022-01-21,79200,78880.0,,78880.79335100169,78823.38287170425,78940.0,,-2.916638583978056,-34.93067345775274,56.05667304785092
2022-01-24,78600,78820.0,,78831.31846693587,78803.7528554986,78846.66666666667,,-25.448733872151934,-33.03428554063258,45.42541536301376
2022-01-25,78300,78780.0,,78738.58561881272,78761.19814509155,78673.33333333333,,-66.74369475179992,-39.77616738286605,41.216386291650196
2022-01-26,78700,78720.0,,78731.90370264516,78756.2121735434,78646.66666666667,,-66.42785276574432,-45.10650445944171,48.11901693281333
2022-01-27,77100,78380.0,,78451.13133450384,78625.69475116793,78106.66666666667,,-193.05871328646026,-74.69694622484542,31.955184035403207
2022-01-28,77600,78060.0,78615.0,78305.47685282229,78547.30960783306,77846.66666666667,78501.90476190476,-250.18478676238738,-109.79451433235383,38.86622582824193
2022-02-03,77900,77920.0,78560.0,78236.3957820755,78499.22615115228,77793.33333333333,78433.80952380953,-268.1589493231586,-141.46740133051478,42.63118514253532
2022-02-04,78200,77900.0,78550.0,78230.21791293233,78477.57628174618,77886.66666666667,78399.52380952382,-255.25370404373098,-164.22466187315803,46.199399108359714
2022-02-07,78600,77880.0,78555.0,78292.79282521416,78486.22019164999,78120.0,78404.28571428571,-210.3250508584897,-173.44473967022435,50.61037010557156
2022-02-08,78600,78180.0,78550.0,78344.6462917414,78494.07326326771,78360.0,78408.57142857143,-172.7276724272233,-173.30132622162415,50.61037010557156
2022-02-09,78700,78400.0,78565.0,78404.49932495164,78507.98850897701,78533.33333333333,78422.85714285714,-133.3254224035627,-165.30614545801188,51.75717408395838
2022-02-10,79500,78720.0,78615.0,78588.69178340145,78573.7109903789,78900.0,78511.90476190476,-37.11767184481141,-139.6684507353718,59.799158597655754
2022-02-11,80000,79080.0,78655.0,78825.63466429141,78666.4766372117,79326.66666666667,78643.80952380953,78.56780419802817,-96.02119974869181,63.854684785592475
2022-02-14,79600,79280.0,78675.0,78955.48325631501,78726.15325655969,79500.0,78733.80952380953,136.40038167663442,-49.53688346362658,58.74864070094161
2022-02-15,79600,79480.0,78705.0,79063.4485064684,78781.1186452062,79606.66666666667,78821.90476190476,180.15638532309094,-3.598229706283078,58.74864070094159
2022-02-16,79900,79720.0,78765.0,79203.46359980697,78850.4375383623,79746.66666666667,78935.71428571429,236.3167142731836,44.38475908961026,61.43125325101211
2022-02-17,80000,79820.0,78820.0,79336.68736187079,78920.65075565947,79840.0,79053.33333333333,285.601112005912,92.62802967287061,62.31107930311397
2022-02-18,80800,79980.0,78935.0,79581.28838188264,79033.91361996674,80166.66666666667,79241.90476190476,384.7771944232227,151.05786262294103,68.50156753302993
2022-02-21,80500,80160.0,79010.0,79734.78118759216,79121.16676474651,80340.0,79390.95238095238,434.16270407299453,207.67883091295175,64.24033761680582
2022-02-22,80700,80380.0,79105.0,79895.97847764495,79214.02538353014,80520.0,79551.90476190476,483.86174776926055,262.9154142842135,65.76912093183995
2022-02-23,80100,80420.0,79150.0,79930.03973032927,79265.55679533111,80426.66666666667,79646.66666666667,469.42240311227215,304.21681204982525,57.78747947960255
2022-02-24,79700,80360.0,79205.0,79891.64560763736,79290.5618803062,80186.66666666667,79699.04761904762,420.85115128003235,327.5436798958667,53.15603776267299
2022-02-25,79900,80180.0,79285.0,79893.03964532468,79325.29392967041,80033.33333333333,79765.23809523809,393.95514313474996,340.8259725436434,55.09398374659479
2022-02-28,79800,80040.0,79340.0,79877.51783036417,79352.09638966116,79906.66666666667,79814.28571428571,360.4160468028713,344.74398739548894,53.89343824561882
2022-03-02,80200,79940.0,79495.0,79931.30877643784,79399.55042491449,79960.0,79896.19047619047,361.9405035593518,348.18329062826155,57.84998961475571
2022-03-03,80400,80000.0,79635.0,80009.47716440358,79455.07838831955,80113.33333333333,79982.38095238095,374.9646163621801,353.5395557750453,59.711599943857536
2022-03-04,80900,80240.0,79785.0,80157.98183640924,79534.64855961084,80413.33333333333,80102.85714285714,420.78163218931877,366.9879710579,63.99314902861441
2022-03-07,80700,80400.0,79910.0,80248.36089972408,79598.34857062955,80566.66666666667,80190.0,435.9285063309362,380.77607811250726,61.191851889292636
2022-03-08,80600,80560.0,80010.0,80306.99050109029,79652.71757370172,80633.33333333333,80255.71428571429,434.8506612130441,391.59099473261466,59.782706017103905
2022-03-10,80600,80640.0,80110.0,80355.8414462695,79703.79526820398,80646.66666666667,80311.90476190476,429.0506325741153,399.08292230091484,59.7827060171039
2022-03-11,80200,80600.0,80185.0,80329.86076803094,79730.38321006451,80500.0,80320.47619047618,387.7081527849223,396.80796839771637,54.012563931148584
2022-03-14,81300,80680.0,80275.0,80491.58749061763,79813.98877906709,80733.33333333333,80426.66666666667,438.6482822630933,405.17603117079176,64.23558839371938
2022-03-15,81300,80800.0,80340.0,80626.34849739837,79892.69672329929,80940.0,80524.28571428571,473.55979929283785,418.852784795201,64.2355883937194
2022-03-16,81500,80980.0,80435.0,80771.9801250606,79977.37624209587,81173.33333333333,80634.76190476191,511.46985053500975,437.37619794316277,65.83699968083668
2022-03-17,81200,81100.0,80515.0,80843.32617870167,80041.46460208237,81246.66666666667,80707.61904761905,511.41111745653325,452.1831818458369,61.39612321676929
2022-03-18,81500,81360.0,80595.0,80952.7838433204,80117.55394273791,81380.0,80801.42857142857,529.4686785209196,467.6402811808535,64.01044937580109
2022-03-21,80600,81220.0,80625.0,80893.9811514977,80142.6083634278,81126.66666666667,80801.90476190476,465.78763743437594,467.269752431558,52.519511781118126
2022-03-22,80500,81060.0,80610.0,80828.31261515418,80161.08874340997,80886.66666666667,80790.0,402.60975467500975,454.3377528802484,51.415084022170966
2022-03-23,80500,80860.0,80610.0,80773.59036613286,80178.54213628461,80700.0,80779.52380952382,348.52326812935644,433.17485593007,51.415084022170966
2022-03-24,80900,80800.0,80620.0,80794.65975495928,80215.55249664623,80713.33333333333,80807.14285714286,334.0848724809912,413.35685924025427,55.73347012726796
2022-03-25,80800,80660.0,80655.0,80795.54983510556,80245.42436759941,80713.33333333333,80824.28571428571,310.98829614702845,392.8831466216091,54.430931906603895
2022-03-28,80800,80700.0,80710.0,80796.29155655013,80273.67080477934,80760.0,80838.09523809524,289.34866174125636,372.1762496455386,54.4309319066039
2022-03-29,81100,80820.0,80770.0,80846.91118280223,80315.61954803544,80893.33333333333,80875.23809523809,293.0287355060573,356.3467468176423,57.85768929345121
2022-03-30,80900,80900.0,80825.0,80855.75954512792,80345.19268112368,80920.0,80887.61904761905,276.6182094185788,340.4010393378296,54.89400750065387
2022-03-31,80700,80860.0,80850.0,80829.79906807486,80363.09457432695,80853.33333333333,80875.71428571429,244.65419941363507,321.25167135299074,52.02415105928235
