Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,24700,,,24700.0,24700.0,,,0.0,0.0,
2022-01-04,25800,,,25300.0,25263.414634146342,,,87.74928774928776,17.549857549857553,
2022-01-05,24300,,,24904.395604395606,24926.486915146706,,,35.84061817680049,21.20800967524614,
2022-01-06,24000,,,24613.263785394935,24677.648560076563,,,-29.168631410495436,11.132681458097823,
2022-01-07,24150,24590.0,,24484.175446140613,24561.57854136575,24396.666666666668,,-67.803586142305,-4.654572061982741,
2022-01-10,23800,24410.0,,24312.72920627759,24418.679230902006,24133.333333333332,,-125.22067505021914,-28.767792659630025,
2022-01-11,24350,24120.0,,24321.345714554704,24407.375295458667,24113.333333333332,,-124.90391365271353,-47.99501685824673,
2022-01-12,24350,24130.0,,24327.568695204234,24398.920809962678,24190.0,,-123.2323323452365,-63.04247995564468,
2022-01-13,24150,24160.0,,24290.859406607437,24365.567773142404,24196.666666666668,,-136.47274776137056,-77.72853351678987,
2022-01-14,24050,24140.0,,24242.98403186979,24326.64637282469,24160.0,,-153.2682555915453,-92.83647793174096,
2022-01-17,23600,24100.0,,24119.153990749484,24243.33194298652,23980.0,,-200.57791835773605,-114.38476601693998,
2022-01-18,23150,23860.0,,23937.223624322363,24125.85039559956,23663.333333333332,,-271.25554111349265,-145.7589210362505,
2022-01-19,22700,23530.0,,23709.76005987368,23981.288495715504,23276.666666666668,,-359.43595163594364,-188.49432715618914,
2022-01-20,23100,23320.0,,23599.54945792504,23896.496817549603,23133.333333333332,,-392.518199747421,-229.29910167443552,
2022-01-21,22150,22940.0,,23341.188865533106,23736.247771163893,22743.333333333332,,-489.74767391171554,-281.3888161218915,26.9713721072314
2022-01-24,21550,22530.0,,23025.587156496607,23544.128837200435,22280.0,,-608.2066901497019,-346.7523909274536,23.46604886379381
2022-01-25,21250,22150.0,,22715.687794137946,23350.331447790275,21853.333333333332,,-718.0169542660769,-421.00530359517825,21.931277624553342
2022-01-26,21100,21830.0,,22435.89727306835,23166.99111033717,21503.333333333332,,-807.8339195508015,-498.37102678630293,21.18518851279873
2022-01-27,19300,21070.0,,21896.35973652121,22862.253758364783,20660.0,,-1012.5869958331314,-601.2142205956686,14.715661938295236
2022-01-28,19700,20580.0,23062.5,21520.495723482974,22620.589546055566,20203.333333333332,22221.666666666668,-1129.5577878397053,-706.882934044476,20.523955797410718
2022-02-03,19150,20100.0,22785.0,21116.634487905427,22362.787189848972,19726.666666666668,21849.04761904762,-1252.203761202807,-815.9470994761423,18.643771384846538
2022-02-04,19350,19720.0,22462.5,20816.763566944213,22144.803404148985,19476.666666666668,21521.904761904763,-1318.0693669864013,-916.3715529781941,21.461342210578394
2022-02-07,19300,19360.0,22212.5,20560.09524667369,21943.94180093822,19336.666666666668,21220.714285714286,-1358.6413445435028,-1004.8255112912559,21.263082281915946
2022-02-08,19150,19330.0,21970.0,20322.08541918641,21751.104201924336,19266.666666666668,20929.04761904762,-1386.9112261675182,-1081.2426542665085,20.64685914695788
2022-02-09,19850,19360.0,21755.0,20242.57099843898,21622.639426011556,19440.0,20727.14285714286,-1337.4142818425462,-1132.4769797817162,30.735120536659025
2022-02-10,19750,19480.0,21552.5,20159.752370180675,21498.573816931195,19570.0,20536.190476190477,-1291.370644188024,-1164.2557126629779,30.145514995705103
2022-02-11,19550,19520.0,21312.5,20057.381760046832,21371.83883593522,19593.333333333332,20345.47619047619,-1256.534510479345,-1182.7114722262513,28.949378982322322
2022-02-14,19200,19500.0,21055.0,19913.61265102942,21233.001389906905,19486.666666666668,20144.285714285714,-1242.8419896479973,-1194.7375757106006,26.93518819551343
2022-02-15,19300,19530.0,20812.5,19810.824253342656,21111.414654649205,19420.0,19977.14285714286,-1209.9735817072178,-1197.784776909924,28.46658228853841
2022-02-16,19450,19450.0,20582.5,19750.432464072976,21008.483790317463,19393.333333333332,19847.380952380954,-1158.467295352395,-1189.9212805984182,30.809208189204465
2022-02-17,19300,19360.0,20367.5,19675.095910206845,20904.132658803177,19343.333333333332,19725.238095238095,-1116.8772727626892,-1175.3124790312725,29.759650124961603
2022-02-18,19200,19290.0,20170.0,19595.68092996816,20801.429583961275,19290.0,19614.04761904762,-1079.5417590783072,-1156.1583350406795,29.04916816040733
2022-02-21,19150,19280.0,19992.5,19521.219243577143,20703.145863066402,19243.333333333332,19516.904761904763,-1041.9764220426368,-1133.321952441071,28.68047400825786
2022-02-22,18700,19160.0,19772.5,19384.0707391115,20585.331420151764,19050.0,19393.809523809523,-1036.5679508945468,-1113.9711521317663,25.5388057359755
2022-02-23,19150,19100.0,19622.5,19344.992790379176,20501.847477036765,19046.666666666668,19334.52380952381,-984.6203686458211,-1088.1009954345773,33.395862543865896
2022-02-24,18400,18920.0,19465.0,19187.271473783752,20380.872228251283,18813.333333333332,19218.095238095237,-992.5290108310583,-1068.9865985138736,28.078078335224692
2022-02-25,18800,18840.0,19342.5,19122.650253443055,20290.777876592216,18773.333333333332,19154.761904761905,-955.5055366362285,-1046.2903861383447,34.10472501552739
2022-02-28,18700,18750.0,19222.5,19052.13946200504,20200.960696959497,18726.666666666668,19093.571428571428,-923.5867971771913,-1021.7496683461142,33.352297114321765
2022-03-02,18700,18750.0,19192.5,18993.40159493935,20116.95746715971,18710.0,19043.809523809523,-888.0540321061271,-995.0105410981168,33.35229711432176
2022-03-03,19050,18730.0,19160.0,19002.841084869196,20057.73811551358,18810.0,19030.238095238095,-822.1744693626242,-960.4433267510184,38.83032135070467
2022-03-04,18600,18770.0,19132.5,18935.66281521951,19977.462154097,18766.666666666668,18976.904761904763,-797.08735360219,-927.7721321212528,34.86271052455776
2022-03-07,18300,18670.0,19080.0,18829.668932204564,19885.7693359513,18610.0,18897.619047619046,-792.2802132929901,-900.6737483556002,32.480019199971586
2022-03-08,18200,18570.0,19025.0,18724.682773216915,19794.26684764266,18453.333333333332,18813.809523809523,-787.4623089106535,-878.031460466611,31.702233554842195
2022-03-10,18800,18590.0,19007.5,18737.239764475973,19740.655741928327,18530.0,18792.380952380954,-726.8504201904652,-847.7952524113819,40.85400055854497
2022-03-11,18650,18510.0,18947.5,18722.695827001615,19682.215566738367,18550.0,18758.333333333332,-683.0450894815949,-814.8452198254245,39.431455745054066
2022-03-14,18550,18500.0,18887.5,18693.906629343168,19621.90815457401,18563.333333333332,18720.47619047619,-648.9178920375307,-781.6597542678458,38.46974580028693
