Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,255500,,,255500.0,255500.0,,,0.0,0.0,
2022-01-04,256000,,,255772.72727272726,255756.0975609756,,,39.886039886041544,7.977207977208309,
2022-01-05,251500,,,254082.41758241763,254267.6447264076,,,-288.293114503962,-51.276856519025756,
2022-01-06,244000,,,250836.8107302534,251509.93300658333,,,-1140.4187412823958,-269.10523347169976,
2022-01-07,245500,250500.0,,249349.70973984094,250187.8919942405,248366.66666666666,,-1675.3841897124366,-550.3610247198471,
2022-01-10,244000,248200.0,,248009.1360252651,249026.8226479123,246200.0,,-2195.082085893082,-879.3052369544941,
2022-01-11,239500,244900.0,,246041.93775364084,247458.80001897799,243300.0,,-2936.2119807822455,-1290.6865857200446,
2022-01-12,249000,244400.0,,246684.35349820135,247685.90216776528,244666.66666666666,,-2725.5734428089927,-1577.6639571378341,
2022-01-13,247000,245000.0,,246749.6080100722,247593.99775744294,245533.33333333334,,-2689.0267427694635,-1799.93651426416,
2022-01-14,244000,244700.0,,246203.07127431422,247150.72237458156,245200.0,,-2869.0653482340276,-2013.7622810581338,
2022-01-17,241500,244200.0,,245297.32326126247,246502.83265763166,244133.33333333334,,-3176.855533732072,-2246.3809315929216,
2022-01-18,238500,244000.0,,244021.3242730225,245642.9061091314,242233.33333333334,,-3621.1144479116483,-2521.327634856667,
2022-01-19,235500,241300.0,,242454.67879773388,244614.55293687235,239400.0,,-4167.230526566185,-2850.508213198571,
2022-01-20,237500,239400.0,,241559.14927933028,243930.03829058984,238133.33333333334,,-4388.065283044067,-3158.0196271676705,
2022-01-21,234000,237400.0,,240211.84355263747,243018.91200014905,236333.33333333334,,-4790.279804124526,-3484.4716625590418,27.55961249447473
2022-01-24,229500,235000.0,,238324.4512194243,241830.9226989951,233700.0,,-5409.789416889835,-3869.5352134252007,23.785736858525105
2022-01-25,224000,232100.0,,235824.35524677933,240324.64885168293,230033.33333333334,,-6272.256613023463,-4350.079493344853,20.153318194409927
2022-01-26,219500,228900.0,,232997.4477977084,238628.01071797198,225833.33333333334,,-7235.474426370027,-4927.158479949889,17.763124211019473
2022-01-27,210000,223400.0,,229040.6898904233,236371.986866479,219533.33333333334,,-8665.511466155876,-5674.829077191087,13.99069122497292
2022-01-28,218500,220300.0,238225.0,227236.85696791616,235006.18261466536,217900.0,232033.33333333334,-9009.095910818229,-6341.682443916516,28.60141665982807
2022-02-03,223500,219100.0,236625.0,226600.20883677262,234151.48027961818,218966.66666666666,230630.95238095237,-8776.75784426232,-6828.6975239856765,35.53829203815166
2022-02-04,224000,219100.0,235025.0,226158.84588143998,233416.99159443463,220600.0,229428.57142857142,-8454.820523236878,-7153.922123835917,36.20577524706296
2022-02-07,223000,219800.0,233600.0,225624.30267111212,232681.48430797696,221900.0,228283.33333333334,-8186.011277154408,-7360.3399544996155,35.41591246344997
2022-02-08,220500,221900.0,232425.0,224759.3721654452,231840.7194124495,222133.33333333334,227035.7142857143,-8081.548064102302,-7504.581576420153,33.451152167802654
2022-02-09,223000,222800.0,231300.0,224463.03711054003,231243.31868234827,222500.0,226138.09523809524,-7708.176053145784,-7545.30047176528,37.20291442086459
2022-02-10,225500,223200.0,230375.0,224637.38729423334,230862.81386088041,223400.0,225585.7142857143,-7128.375462759403,-7461.915469964106,40.79727115000371
2022-02-11,223000,223000.0,229550.0,224362.48826221089,230351.41749674216,223333.33333333334,224883.33333333334,-6792.31089236823,-7327.994554444931,38.42851695451772
2022-02-14,221500,222700.0,228175.0,223882.49509439684,229785.57983943328,222833.33333333334,224116.66666666666,-6571.2653071060195,-7176.648704977149,37.03893765091011
2022-02-15,218000,222200.0,226725.0,222897.0978015951,229044.26108856333,221266.66666666666,223147.61904761905,-6602.397508885129,-7061.798465758745,33.95376729819175
2022-02-16,223000,222200.0,225675.0,222914.32072334687,228669.79646207677,221533.33333333334,222792.85714285713,-6152.687438952678,-6879.976260397532,41.45598671210373
2022-02-17,224000,221900.0,224800.0,223095.904738334,228384.57365368915,222133.33333333334,222633.33333333334,-5650.462313632888,-6634.073471044604,42.854097183866735
2022-02-18,225500,222400.0,224150.0,223497.762918115,228210.72886390038,223333.33333333334,222700.0,-5072.930237514753,-6321.844824338634,44.9767604140092
2022-02-21,225500,223200.0,223650.0,223832.28463454213,228049.4016588722,224366.66666666666,222828.57142857142,-4562.636670897831,-5970.003193650474,44.9767604140092
2022-02-22,221500,223900.0,222850.0,223442.779210604,227664.20049998953,223800.0,222623.80952380953,-4429.926478580892,-5661.987850636558,40.3423423510581
2022-02-23,227000,224700.0,222500.0,224036.65477217664,227625.56825382006,224833.33333333334,223019.04761904763,-3836.7213253003138,-5296.934545569309,48.2398482628551
2022-02-24,222500,224400.0,222150.0,223780.1838061674,227330.55783967383,224100.0,223019.04761904763,-3687.210492099839,-4974.989734875416,43.20078398726615
2022-02-25,222000,223700.0,222050.0,223483.13726963493,227026.76785338394,223300.0,223004.7619047619,-3567.9389220185403,-4693.579572304041,42.667469931386385
2022-02-28,227500,224100.0,222450.0,224153.27095087277,227053.48709391776,224566.66666666666,223523.80952380953,-2995.0858238407236,-4353.880822611378,49.9821272901376
2022-03-02,233500,226500.0,223625.0,225712.33202644973,227414.27462563256,227700.0,224576.19047619047,-2033.504783116281,-3889.805614712359,56.50195164240233
2022-03-03,232500,227600.0,224325.0,226844.38024255788,227696.5476951693,229700.0,225421.42857142858,-1336.7275599490677,-3379.1900037597006,55.21024531026337
