Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,376000,,,376000.0,376000.0,,,0.0,0.0,
2022-01-04,365500,,,370272.72727272724,370621.9512195122,,,-837.6068376068724,-167.5213675213745,
2022-01-05,355000,,,364230.7692307692,365158.6042823156,,,-2321.912971485639,-598.3996883142274,
2022-01-06,338500,,,355947.8390461997,357998.56442678574,,,-4774.609652200015,-1433.641681091385,
2022-01-07,338000,354600.0,,350946.6781337346,353599.3602540886,347733.3333333333,,-6681.712639629201,-2483.255872798948,
2022-01-10,335000,346400.0,,346950.6300151461,350109.45657244115,341200.0,,-8339.05301280442,-3654.4153008000426,
2022-01-11,335000,340300.0,,344187.8044308784,347622.5865327558,337400.0,,-9542.50711699808,-4832.033664039651,
2022-01-12,345500,338400.0,,344472.7798720084,347309.81468710845,339133.3333333333,,-9539.030906699714,-5773.4331125716635,
2022-01-13,348000,340300.0,,345201.97226413555,347402.2929984121,342333.3333333333,,-9228.170275762735,-6464.380545209879,
2022-01-14,342000,341100.0,,344565.5195542155,346735.98665689,342900.0,,-9358.086644393159,-7043.121765046535,
2022-01-17,343500,342800.0,,344360.31487778004,346364.9610887933,343700.0,,-9233.569991389697,-7481.211410315167,
2022-01-18,338000,343400.0,,343166.3514546799,345466.1228367445,342100.0,,-9469.53477902076,-7878.876084056286,
2022-01-19,332500,340800.0,,341205.34273010696,344151.53376260697,338466.6666666667,,-9985.238988372439,-8300.148664919518,
2022-01-20,335000,338200.0,,340083.76294391305,343271.0344603968,336533.3333333333,,-10076.058651102474,-8655.33066215611,
2022-01-21,333000,336400.0,,338821.18774818757,342328.6202165606,334800.0,,-10191.930937844212,-8962.65071729373,25.669885653295832
2022-01-24,328500,333400.0,,337002.6277094922,341113.4149643322,332166.6666666667,,-10525.541066341626,-9275.228787103311,23.122040917839847
2022-01-25,322000,330200.0,,334384.1672504464,339498.80210443673,328366.6666666667,,-11185.4858557189,-9657.28020082643,20.029566591407818
2022-01-26,313000,326300.0,,330681.04631374707,337339.8759939293,322633.3333333333,,-12293.015410294116,-10184.427242719968,16.699216632752165
2022-01-27,303000,319900.0,,325918.4657070957,334633.729902857,314866.6666666667,,-13818.367449801182,-10911.215284136211,13.92811295640768
2022-01-28,310000,315300.0,336850.0,323194.33163079125,332751.1830270837,311566.6666666667,328809.5238095238,-14297.565002693678,-11588.485227847706,23.498105304185216
2022-02-03,320500,313700.0,334075.0,322735.2984881926,331841.1405663467,313300.0,327252.38095238095,-13672.462629573012,-12005.280708192768,35.14635333088409
2022-02-04,327500,314800.0,332175.0,323544.06534983416,331527.0466077371,317900.0,326626.1904761905,-12468.49395969708,-12097.92335849363,41.53724053979723
