Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,667000,,,667000.0,667000.0,,,0.0,0.0,
2022-01-04,657000,,,661545.4545454546,661878.0487804877,,,-797.7207977207145,-159.5441595441429,
2022-01-05,625000,,,647087.9120879121,648980.967486122,,,-3966.331442114897,-920.9016160582937,
2022-01-06,601000,,,632251.8628912071,636094.1097995997,,,-8318.190705476445,-2400.359433941924,
2022-01-07,606000,631200.0,,624936.7877875726,629474.1279559688,619333.3333333334,,-11234.11245648074,-4167.110038449688,
2022-01-10,614000,620600.0,,622196.1586800297,626570.6293739707,613600.0,,-12752.46582314826,-5884.181195389403,
2022-01-11,604000,610000.0,,617989.4505254916,622855.7226400417,608066.6666666666,,-14594.452468564152,-7626.235450024353,
2022-01-12,616000,608200.0,,617557.3925651925,621845.5037442364,610066.6666666666,,-14914.020894818008,-9083.792538983085,
2022-01-13,605000,609000.0,,614961.3665755398,619588.3653927991,609000.0,,-15871.927543366444,-10441.419539859759,
2022-01-14,583000,604400.0,,608608.4388510886,615075.640908156,600333.3333333334,,-18196.533293159562,-11992.44229051972,
2022-01-17,588000,599200.0,,604639.5318427223,611971.2538649825,594866.6666666666,,-19411.577304613777,-13476.269293338531,
2022-01-18,578000,594000.0,,599638.7375047189,608320.9484876131,587800.0,,-20940.041104988428,-14969.023655668512,
2022-01-19,582000,587200.0,,596395.8555985513,605652.3611436234,583800.0,,-21579.834212347516,-16291.185767004314,
2022-01-20,578000,581800.0,,593070.9111617238,602991.8361078191,580733.3333333334,,-22154.260900878464,-17463.800793779144,
2022-01-21,565000,578200.0,,588067.6895075239,599505.9119162926,575133.3333333334,,-23388.87712806498,-18648.816060636313,20.61835540436854
2022-01-24,567000,574000.0,,584355.6304712225,596649.4190579633,571400.0,,-23930.084974116413,-19705.069843332334,22.27786967575998
2022-01-25,558000,570000.0,,579755.6912073523,593384.4949638165,566066.6666666666,,-24799.34941220109,-20723.925757106088,20.22849369874356
2022-01-26,562000,566000.0,,576680.9176571155,590827.5187889904,563400.0,,-24878.69506127364,-21554.8796179396,23.592717663986956
2022-01-27,536000,557600.0,,569681.6826101968,586506.8486828943,553400.0,,-26731.416637483984,-22590.187021848476,18.215321926877532
2022-01-28,536000,551800.0,591400.0,563917.7213695849,582647.0389598807,546200.0,573904.7619047619,-27878.34759733558,-23647.8191369459,18.215321926877532
2022-02-03,532000,544800.0,584650.0,558479.9008068038,578884.875268244,539600.0,568247.619047619,-28778.326581865083,-24673.920625929735,17.503494369057062
2022-02-04,530000,539200.0,578300.0,553645.6840277881,575347.9144731545,534666.6666666666,563042.8571428572,-29315.02434374008,-25602.141369491805,17.142771505060594
2022-02-07,540000,534800.0,574050.0,551336.5470767926,572852.122053587,534933.3333333334,559395.2380952381,-28603.71889399842,-26202.45687439313,25.41898848567275
2022-02-08,540000,535600.0,571000.0,549423.0524951934,570584.6716946721,536666.6666666666,556152.380952381,-27720.45999298722,-26506.05749811195,25.418988485672752
2022-02-09,540000,536400.0,567700.0,547835.906333977,568517.9501590271,538133.3333333334,553200.0,-26712.545355522772,-26547.355069594116,25.41898848567275
2022-02-10,550000,540000.0,564500.0,548199.7671163018,567291.1038513571,542666.6666666666,551514.2857142857,-24820.73137624981,-26202.030330925256,33.69128558735991
2022-02-11,511000,536200.0,559850.0,541954.3418539051,563629.937969492,533000.0,546419.0476190476,-26166.794710138463,-26194.9832067679,22.984111484640398
2022-02-14,510000,530200.0,554550.0,536596.1134991021,560201.5787859549,524266.6666666667,541671.4285714285,-27002.977724323166,-26356.582110278956,22.784166505204634
2022-02-15,513000,524800.0,549950.0,532643.4461377972,557232.5763353825,518533.3333333333,537714.2857142857,-27111.064385301783,-26507.478565283523,24.895016998450632
2022-02-16,492500,515300.0,545425.0,525924.5670235093,553222.1506334206,507766.6666666667,532242.8571428572,-28522.117303329986,-26910.406312892817,20.725598563574827
2022-02-17,501000,505500.0,541075.0,521755.83777789166,550032.5151568708,503000.0,528011.9047619047,-28624.542041918146,-27253.233458697883,26.241599052235422
2022-02-18,492500,501800.0,536800.0,516865.55830150994,546565.1992883113,498666.6666666667,523385.71428571426,-29056.646414978197,-27613.91604995395,24.412300012794624
2022-02-21,484000,496600.0,531900.0,511374.57869983034,542841.6735356513,492733.3333333333,518357.14285714284,-29742.12253159238,-28039.557346281636,22.707591364628747
2022-02-22,462500,486500.0,526125.0,503212.2329833901,538116.4013101215,481366.6666666667,511747.61904761905,-31655.334616898792,-28762.71280040507,19.07855611117153
2022-02-23,463500,480700.0,521050.0,496582.3030294725,533776.4479620917,473700.0,505783.3333333333,-32713.773320578795,-29552.924904439817,19.721195346980835
2022-02-24,448500,470200.0,515125.0,488557.2638800143,528868.2233547093,462966.6666666667,498873.8095238095,-34366.809076218866,-30515.70173879563,17.478896162540178
2022-02-25,444000,460500.0,509425.0,481122.31201320887,524031.55950360396,454233.3333333333,492100.0,-35629.25237107964,-31538.411865252434,16.859579175547424
2022-02-28,443500,452400.0,503500.0,474845.77727989486,519484.6534569012,448566.6666666667,485821.4285714286,-36252.20079444832,-32481.169651091615,16.788400404967586
2022-03-02,452000,450300.0,499300.0,471035.03644091537,515707.7865050998,448433.3333333333,480916.6666666667,-35649.072627065354,-33114.75024628636,22.758582685673883
2022-03-03,459500,449500.0,495475.0,469111.22144634504,512588.08513297566,451500.0,477126.1904761905,-34171.98847738287,-33326.19789250567,27.688483812528993
2022-03-04,437000,447200.0,490725.0,463756.315072275,508425.5362216782,447333.3333333333,471557.14285714284,-34420.17624070984,-33544.993562146505,22.95508752127896
2022-03-07,424500,443300.0,485450.0,457210.50309815205,503838.02948612557,439766.6666666667,465250.0,-35219.523619490734,-33879.89957361535,20.825118216214165
2022-03-08,430500,440700.0,479975.0,452756.9990717033,499857.2878493428,435500.0,460016.6666666667,-34965.7983621881,-34097.0793313299,24.448892571774813
2022-03-10,443500,439000.0,475150.0,451213.6595012852,496818.4894384055,436433.3333333333,456542.85714285716,-33331.503093792184,-33943.96408382236,31.73883661495734
2022-03-11,452000,437500.0,470750.0,451344.7520955346,494416.99804763997,440766.6666666667,454338.09523809527,-30993.163460789132,-33353.803959215715,36.08163131695188
2022-03-14,444500,439000.0,465475.0,450203.70008274005,491758.17135093705,443100.0,451838.09523809527,-29406.223139082664,-32564.287795189106,34.02471273369954
2022-03-15,440000,442100.0,461925.0,448502.7604262158,489016.7524391121,443433.3333333333,449411.90476190473,-28186.754532172054,-31688.781142585696,32.81592103458929
2022-03-16,440000,444000.0,458425.0,447085.4094151955,486434.3430894374,442733.3333333333,447323.8095238095,-26910.113834083488,-30733.047680885258,32.81592103458929
2022-03-17,467000,448700.0,456125.0,450404.9455659517,485415.61989845976,450400.0,448140.4761904762,-23449.382645164093,-29276.314673741028,46.13278937981508
2022-03-18,467000,451700.0,454850.0,453171.0919291192,484454.90795561805,456500.0,449176.1904761905,-20470.754133672628,-27515.20256572735,46.13278937981508
2022-03-21,463500,455500.0,452975.0,454892.7342595627,483366.6762838375,460433.3333333333,450000.0,-18182.988158758555,-25648.759684333596,44.79783503984304
2022-03-22,463000,460100.0,451500.0,456244.04833359574,482313.5349168226,462933.3333333333,450954.7619047619,-16223.251418768836,-23763.658031220646,44.599284427389826
2022-03-23,469000,465900.0,450750.0,458370.17548002006,481627.908957415,465900.0,452621.4285714286,-14024.332304317912,-21815.7928858401,47.60056592430852
2022-03-24,462500,465000.0,450750.0,459058.51604342833,480646.65857664787,464766.6666666667,453740.4761904762,-12660.229496080778,-19984.680207888236,44.77090731674848
2022-03-25,463500,464300.0,450750.0,459798.79606047005,479770.27058740903,464266.6666666667,454954.7619047619,-11367.43978027004,-18261.232122364596,45.3095548936955
2022-03-28,457000,463000.0,451175.0,459332.31288371584,478610.50268535904,461833.3333333333,455550.0,-10743.545390044921,-16757.69477590066,42.41392341125879
2022-03-29,462000,462800.0,452075.0,459776.9410384354,477767.2676689358,461500.0,456580.95238095237,-9733.445279298234,-15352.844876580177,45.309320569064546
2022-03-30,465000,462000.0,453150.0,460647.4731124167,477121.16784701793,462233.3333333333,457811.90476190473,-8591.817611000384,-14000.63942346422,47.03021717994998
2022-03-31,467500,463000.0,453925.0,461789.58524990693,476635.72938471776,464066.6666666667,459178.5714285714,-7400.03732830548,-12680.519004432472,48.48493627417848
