Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,75000,,,75000.0,75000.0,,,0.0,0.0,
2022-01-04,74200,,,74563.63636363635,74590.24390243902,,,-63.81766381765192,-12.763532763530385,
2022-01-05,73500,,,74142.85714285714,74208.96114195083,,,-168.9304469931085,-43.996915609446006,
2022-01-06,73900,,,74064.67958271237,74125.97952495578,,,-217.44980193693482,-78.68749287494377,
2022-01-07,74800,74280.0,,74269.57643517523,74274.2478517726,74233.33333333333,,-181.1906093494763,-99.18811616985028,
2022-01-10,73000,73880.0,,73951.43566111306,74035.15348462871,73806.66666666667,,-294.3073033695691,-138.21195360979405,
2022-01-11,71500,73340.0,,73384.69657253569,73617.89180372708,73013.33333333333,,-499.23568411613815,-210.41669971106288,
2022-01-12,73100,73260.0,,73322.86773142715,73541.57831883607,72933.33333333333,,-526.4674845971749,-273.6268566882853,
2022-01-13,76500,73780.0,,73979.6854504687,73937.97887400279,74013.33333333333,,-270.5782401353499,-273.0171333776982,
2022-01-14,76300,74080.0,,74440.89196979339,74229.30510446156,74853.33333333333,,-82.96611709390709,-235.00693012093998,
2022-01-17,74000,74280.0,,74355.98213060133,74203.01387842416,74826.66666666667,,-118.50686266434786,-211.7069166296216,
2022-01-18,73700,74720.0,,74232.84063757848,74148.96364311047,74633.33333333333,,-168.93329451966565,-203.1521922076304,
2022-01-19,73600,74820.0,,74116.49288578832,74093.30617198991,74260.0,,-214.49322495309752,-205.42039875672384,
2022-01-20,74000,74320.0,,74095.43747086311,74084.3288768763,73986.66666666667,,-215.8351279997587,-207.50334460533082,
2022-01-21,72800,73620.0,,73864.54504387549,73966.48584636117,73480.0,,-310.15331268876616,-228.0333382220179,41.805467717817244
2022-01-24,70000,72820.0,,73183.62465409146,73617.92652822938,72273.33333333333,,-603.8766390098899,-303.20199837959234,31.991677074971175
2022-01-25,67300,71540.0,,72156.73531104268,73084.2173276815,70433.33333333333,,-1042.5045825491252,-451.06251521349895,25.721376904251173
2022-01-26,68000,70420.0,,71436.90865712805,72669.99296021894,69253.33333333333,,-1318.4381043243047,-624.5376330356601,29.57523475449619
