Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,32900,,,32900.0,32900.0,,,0.0,0.0,
2022-01-04,33000,,,32954.545454545456,32951.21951219512,,,7.977207977208309,1.5954415954416619,
2022-01-05,32550,,,32794.505494505494,32810.9040444092,,,-21.761187003350642,-3.075884124316799,
2022-01-06,31950,,,32522.652757078984,32579.6801136858,,,-92.67575643822056,-20.99585858709755,
2022-01-07,33800,32840.0,,32878.58525048377,32848.12119882231,32890.0,,0.39887726880260743,-16.71691141591752,
2022-01-10,33800,33020.0,,33109.48084173891,33026.72762868497,33210.0,,73.31605322422547,1.2896815121110787,
2022-01-11,33900,33200.0,,33292.23828235329,33170.45979312756,33503.333333333336,,137.58659218389948,28.549063646468763,
2022-01-12,33850,33460.0,,33413.36991491795,33270.592834308736,33720.0,,182.38446068866324,59.316143054907656,
2022-01-13,34850,34040.0,,33710.36859669268,33482.218472837725,34183.333333333336,,295.17613019310375,106.48814048254687,
2022-01-14,35750,34430.0,,34115.78401781077,33761.92140882789,34753.333333333336,,451.97671307899145,175.5858550018358,
2022-01-17,34950,34660.0,,34276.44274999936,33898.141851299326,34926.666666666664,,505.8577770143311,241.64023940433486,
2022-01-18,35000,34880.0,,34412.26949877208,34016.53956312021,35040.0,,546.2961287925718,302.5714172819823,
2022-01-19,34800,35070.0,,34483.553751772895,34095.971830059905,35013.333333333336,,555.7985852707643,353.21685087973873,
2022-01-20,37400,35580.0,,35010.68453274689,34413.863297608434,35790.0,,764.317050200727,435.4368907439364,
2022-01-21,37100,35850.0,,35383.073883701385,34660.32858783658,36296.666666666664,,895.044428135021,527.3583982221534,75.19835341656808
2022-01-24,35500,35960.0,,35403.675888796955,34734.11563920017,36180.0,,859.6308988455421,593.8128983468312,58.92521275036351
2022-01-25,34850,35930.0,,35307.04092257536,34743.905013812575,35810.0,,770.2370408683637,629.0977268511376,53.82889423418034
2022-01-26,34550,35880.0,,35175.94327179972,34728.107069602556,35350.0,,667.4898639247767,636.7761542658654,51.610268216759444
2022-01-27,33400,35080.0,,34870.38860132522,34623.44589506699,34523.333333333336,,487.64532513507584,606.9499884397076,44.105715926691325
2022-01-28,35600,34780.0,34475.0,34995.24732264684,34698.07563593509,34696.666666666664,34958.57142857143,516.6828480190961,588.8965603555853,56.99016771571249
2022-02-03,34700,34620.0,34565.0,34944.94605133726,34698.21858155962,34670.0,34980.0,461.7500485918281,563.4672580028339,51.73608813251936
2022-02-04,36100,34870.0,34720.0,35141.00646661651,34799.64148369658,35163.333333333336,35126.19047619047,525.1303333870892,555.799873079685,58.192884957960864
2022-02-07,37150,35390.0,34950.0,35480.970457633746,34965.592065383964,35923.333333333336,35357.619047619046,652.5635441709819,575.1526072979444,62.26978300696858
2022-02-08,36800,36070.0,35192.5,35703.60931452642,35092.20272764063,36393.333333333336,35533.80952380953,717.0475293245108,603.5315917032577,60.163690004314965
2022-02-09,36650,36280.0,35335.0,35863.012049916724,35197.46896044818,36586.666666666664,35672.619047619046,747.4318763328338,632.311648629173,59.23895881087773
2022-02-10,36600,36660.0,35475.0,35986.9258232859,35290.389073770115,36693.333333333336,35793.09523809524,758.7309302415451,657.5955049516474,58.913899774895164
2022-02-11,35450,36530.0,35552.5,35896.781976677965,35300.77014711038,36290.0,35790.71428571428,667.1990672897737,659.5162174192727,51.86470861363363
2022-02-14,35350,36170.0,35627.5,35805.095447669606,35303.917225489524,35896.666666666664,35771.42857142857,579.9054530991853,643.5940645552553,51.29000869960306
2022-02-15,34800,35770.0,35625.0,35636.72839980171,35272.22058491425,35440.0,35692.619047619046,461.02976730201044,607.0812051046064,48.131063986664365
2022-02-16,34800,35400.0,35577.5,35496.68369734987,35242.964749939856,35116.666666666664,35614.04761904762,362.6396457537776,558.1928932344407,48.13106398666437
2022-02-17,35250,35130.0,35592.5,35455.424904665946,35243.39445041957,35066.666666666664,35582.857142857145,317.31815854927845,510.0179462974083,50.995034430567685
2022-02-18,34950,35030.0,35590.0,35370.940260715404,35225.71242781178,35006.666666666664,35521.666666666664,254.2620855708301,458.86677415209266,49.0505757189552
2022-02-21,34600,34880.0,35580.0,35242.136203688104,35188.47357354104,34863.333333333336,35427.380952380954,174.04137784616614,401.9016948909074,46.808121813067636
