Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,38500,,,38500.0,38500.0,,,0.0,0.0,
2022-01-04,37600,,,38009.09090909091,38039.024390243896,,,-71.7948717948675,-14.358974358973501,
2022-01-05,36800,,,37530.769230769234,37605.709754163356,,,-191.0439038644181,-49.69596026006242,
2022-01-06,36050,,,37054.09836065574,37187.87303152461,,,-342.1245540173186,-108.18167901151367,
2022-01-07,36100,37010.0,,36788.23908836809,36948.567075481194,36586.666666666664,,-452.60512545885285,-177.06636830098154,
2022-01-10,36300,36570.0,,36665.89217234379,36826.872748708876,36350.0,,-518.0516686058181,-245.26342836194885,
2022-01-11,35850,36220.0,,36477.268830737674,36666.088966730895,36110.0,,-599.3211634519539,-316.0749753799499,
2022-01-12,36150,36090.0,,36406.19437994525,36590.041137277716,36086.666666666664,,-632.2323498590195,-379.3064502757638,
2022-01-13,35400,35960.0,,36198.18091318299,36430.586867965256,35856.666666666664,,-710.6416001795515,-445.57348025652135,
2022-01-14,35850,35910.0,,36128.97335376099,36358.97862456872,35820.0,,-728.0774333346126,-502.07427087213966,
2022-01-17,35050,35660.0,,35921.17765722495,36208.896257333676,35533.333333333336,,-797.2584714665354,-561.1111109910189,
2022-01-18,34400,35370.0,,35635.62096425229,36014.52534122054,35113.333333333336,,-894.2264247440617,-627.7341737416275,
2022-01-19,34250,34990.0,,35380.87454872351,35835.62639326104,34740.0,,-971.9736653490327,-696.5820720631086,
2022-01-20,34200,34750.0,,35167.4383081347,35678.257373455046,34476.666666666664,,-1025.7987266167547,-762.4254029738379,
2022-01-21,34250,34430.0,,35003.91859966471,35547.20824711845,34310.0,,-1052.290740696968,-820.398470518464,18.03973231413664
2022-01-24,33400,34100.0,,34721.313308313176,35358.519954384676,33966.666666666664,,-1128.8609427176852,-882.0909649583083,14.454328432903134
2022-01-25,32500,33720.0,,34333.61982037237,35117.045414788794,33433.333333333336,,-1247.782201363916,-955.2292122394299,11.783777846840401
2022-01-26,33600,33590.0,,34206.57802891136,34993.447791624356,33393.333333333336,,-1238.985099717931,-1011.9803897351302,29.040180041176576
2022-01-27,33000,33350.0,,33998.98381242934,34836.354593325836,33196.666666666664,,-1265.8365431608981,-1062.7516204202839,26.04718595825857
2022-01-28,32450,32990.0,35085.0,33733.9055275792,34653.98576806598,32896.666666666664,34227.142857142855,-1316.3231550531273,-1113.4659273468526,23.64180782293778
2022-02-03,33850,33080.0,34852.5,33753.6845369278,34594.264091787794,33183.333333333336,34109.52380952381,-1229.1964475036948,-1136.612031378221,39.066845683205784
2022-02-04,34350,33450.0,34690.0,33854.90392798978,34576.59088485905,33606.666666666664,34061.666666666664,-1107.0408054350046,-1130.6977861895778,43.459780350034606
2022-02-07,34850,33700.0,34592.5,34023.29512809306,34595.895344745295,34073.333333333336,34076.90476190476,-958.832928538628,-1096.3248146593878,47.53329739373394
2022-02-08,35050,34110.0,34542.5,34196.592534789066,34627.23760512844,34523.333333333336,34120.47619047619,-815.8343591350422,-1040.2267235545187,49.11260575257074
2022-02-09,35150,34650.0,34495.0,34357.17712234776,34662.562630366316,34870.0,34178.333333333336,-686.5239773044814,-969.4861743045112,49.92424926170994
2022-02-10,35200,34920.0,34440.0,34498.88549497441,34698.16878800669,35053.333333333336,34245.47619047619,-573.4001855306342,-890.2689765497358,50.350655270282616
2022-02-11,35100,35070.0,34402.5,34599.805904060384,34724.30383640622,35113.333333333336,34308.333333333336,-486.2131670692979,-809.4578146536484,49.44383201682875
2022-02-14,34000,34900.0,34295.0,34499.22811662829,34678.001830414214,34756.666666666664,34270.0,-500.1126464278568,-747.5887810084902,40.74981425310981
2022-02-15,32250,34340.0,34137.5,34122.45206132308,34525.279324728894,33873.333333333336,34075.23809523809,-644.9044020913643,-727.051905225065,31.315709344145738
2022-02-16,33700,34050.0,34030.0,34051.74551754833,34474.15017766633,33660.0,34033.57142857143,-635.3263827155752,-708.706800723167,43.07526074663505
2022-02-17,33700,33750.0,33962.5,33992.914733260855,34426.8664706395,33543.333333333336,34002.142857142855,-620.5820497833774,-691.0818505352091,43.07526074663505
2022-02-18,35450,33820.0,34015.0,34236.474812769404,34488.5277262327,34110.0,34143.80952380953,-462.3569222748629,-645.3368648831399,54.07989520448884
2022-02-21,35450,34110.0,34075.0,34439.22329457144,34545.749101894646,34653.333333333336,34280.47619047619,-333.12234177930077,-582.893960262372,54.07989520448885
2022-02-22,34900,34640.0,34110.0,34516.17574854325,34566.58426571462,34916.666666666664,34359.04761904762,-271.94855544484017,-520.7048792988656,50.52004052964149
2022-02-23,35700,35040.0,34182.5,34713.8143922375,34632.50772656711,35270.0,34510.47619047619,-157.10358261362853,-447.9846199618182,55.145109459973696
2022-02-24,35400,35380.0,34282.5,34828.340236865064,34676.681992175756,35390.0,34626.42857142857,-89.26659726024081,-376.24101542150277,53.13916211941376
2022-02-25,35700,35430.0,34442.5,34973.78786579917,34735.001172441174,35496.666666666664,34761.42857142857,-11.169054920581402,-303.2266233213185,54.90568396439479
2022-02-28,37000,35740.0,34612.5,35311.82107420244,34862.88565559639,36020.0,35005.0,153.84946463238157,-211.81140573057854,61.651891417738184
2022-03-02,37150,36190.0,34820.0,35618.434564129646,34990.88700316033,36490.0,35246.666666666664,293.3500202407449,-110.77912053631385,62.35175787735904
2022-03-03,39700,36990.0,35182.5,36299.1586196684,35252.256951902134,37660.0,35711.42857142857,602.7211105864335,31.920925688235613,71.7805064101637
2022-03-04,40050,37920.0,35492.5,36924.6534937648,35516.46314347864,38680.0,36175.0,866.1574792551546,198.76823640161942,72.78786594020505
2022-03-07,39200,38620.0,35735.0,37304.057173870075,35717.81127779754,39106.666666666664,36528.09523809524,994.8764862832977,357.98988637795514,66.57251294513368
2022-03-08,39200,39060.0,35952.5,37620.172111093794,35906.8222688309,39300.0,36858.09523809524,1084.3870873875858,503.2693265798813,66.57251294513368
2022-03-10,39650,39560.0,36182.5,37958.587798275104,36108.655305433735,39496.666666666664,37210.23809523809,1178.0562240090294,638.2267060657109,68.23776807394006
2022-03-11,44350,40490.0,36642.5,39024.114510699146,36550.24801818083,41093.333333333336,37988.09523809524,1612.9473569858528,833.1708362497393,79.64395493001483
2022-03-14,43600,41200.0,37062.5,39786.93590656684,36925.75274617961,42130.0,38650.71428571428,1875.4638018310943,1041.6294293660103,75.01457111737325
2022-03-15,42400,41840.0,37427.5,40222.529299700596,37215.70126170725,42530.0,39159.04761904762,1964.0397765465314,1226.1114988021145,68.18542237584445
2022-03-16,42750,42550.0,37865.0,40643.84108232456,37507.27147177805,42833.333333333336,39665.95238095238,2038.9749159783241,1388.6841822373565,69.06987405622615
2022-03-17,42100,43040.0,38357.5,40886.56624144271,37748.01637578805,42683.333333333336,40069.28571428572,2022.5967498239916,1515.4666957546835,65.43183747507399
2022-03-18,42200,42610.0,38782.5,41105.495924917595,37980.26887995023,42403.333333333336,40435.23809523809,1994.6925256310133,1611.3118617299497,65.73089346528408
2022-03-21,41000,42090.0,39147.5,41087.91166056157,38137.08975704783,41866.666666666664,40646.42857142857,1854.372207239001,1659.9239308317601,59.12114439839842
2022-03-22,41950,42000.0,39472.5,41231.60401547383,38334.251701864254,41820.0,40913.333333333336,1799.0856648265835,1687.7562776307248,62.34903351847336
2022-03-23,42050,41860.0,39802.5,41368.01202051579,38525.60685342564,41836.666666666664,41158.80952380953,1743.2448049327868,1698.8539830911373,62.683064636478434
2022-03-24,42450,41930.0,40180.0,41548.35290710696,38726.925893469655,42033.333333333336,41410.95238095238,1711.5376377233188,1701.3907140175736,64.05670596437248
2022-03-25,42200,41930.0,40505.0,41656.96555228341,38904.43922174255,42123.333333333336,41603.333333333336,1647.2481176848669,1690.5621947510324,62.50800448308682
2022-03-28,43100,42350.0,40890.0,41897.48014455546,39118.13350802888,42513.333333333336,41850.47619047619,1649.9016490771392,1682.430085616254,65.7210562816786
2022-03-29,41850,42330.0,41197.5,41889.566544444475,39256.81717882794,42346.666666666664,41941.90476190476,1533.463228953391,1652.6367142836814,58.25388289119981
2022-03-30,41550,42230.0,41425.0,41832.97067402348,39372.86589424646,42086.666666666664,41975.47619047619,1400.8295581561106,1602.2752830581674,56.59199162927375
2022-03-31,41800,42100.0,41657.5,41827.47544465755,39495.327560733094,41943.333333333336,42011.19047619047,1300.8934393473464,1541.9989143160033,57.67559908089319
