Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,1104000,,,1104000.0,1104000.0,,,0.0,0.0,
2022-01-04,1102000,,,1102909.0909090908,1102975.6097560977,,,-159.54415954416618,-31.908831908833236,
2022-01-05,1075000,,,1091868.131868132,1093191.911181602,,,-2436.571131727891,-512.8412918726448,
2022-01-06,1087000,,,1090301.043219076,1091528.8709724196,,,-3235.5344731055666,-1057.3799281192291,
2022-01-07,1104000,1094400.0,,1094118.2541388948,1094272.2200291594,1093400.0,,-2468.50535910693,-1339.6050143167695,
2022-01-10,956000,1064800.0,,1059507.460281654,1068327.4174576167,1047266.6666666666,,-13645.69331413228,-3800.822674279872,
2022-01-11,948000,1034000.0,,1033728.4290747285,1048522.6913251196,1008333.3333333334,,-22885.4195659142,-7617.742052606738,
2022-01-12,949000,1008800.0,,1015327.5732724281,1033857.6138975669,980000.0,,-29783.94674818311,-12050.982991722012,
2022-01-13,975000,986400.0,,1006990.5377157762,1025971.2497009643,968733.3333333334,,-32775.2834665057,-16195.84308667875,
2022-01-14,974000,960400.0,,1000433.0427099306,1019561.2357933958,964600.0,,-34825.18792141357,-19921.712053625713,
2022-01-17,957000,960600.0,,992068.4252417322,1012388.2092910594,963466.6666666666,,-37390.4955379779,-23415.46875049615,
2022-01-18,953000,961600.0,,984734.4690409614,1006006.7816113778,960933.3333333334,,-39293.337738556904,-26591.042548108304,
2022-01-19,955000,962800.0,,979267.7868809351,1000835.3854540612,958733.3333333334,,-40176.83703828603,-29308.201446143852,
2022-01-20,969000,961600.0,,977411.9438251229,997772.3978276125,960800.0,,-39294.37253478856,-31305.435663872795,
2022-01-21,990000,964800.0,,979655.5772745532,997059.2448876874,970266.6666666666,,-36479.97017410223,-32340.342565918683,37.90489723140163
2022-01-24,969000,967200.0,,977778.0988783159,994593.5077984406,971666.6666666666,,-35534.441598930745,-32979.162372521096,33.570845453527674
2022-01-25,952000,967000.0,,973278.9581991441,990995.4053364916,966600.0,,-35744.81731241266,-33532.29336049941,30.527799042152154
2022-01-26,959000,967800.0,,970806.2545187892,988388.6567097054,963933.3333333334,,-34943.88868551212,-33814.61242550195,33.21237739442644
2022-01-27,948000,963600.0,,966882.3918059986,985205.8378347056,957333.3333333334,,-34795.652425854816,-34010.82042557253,31.1737696209929
2022-01-28,975000,960600.0,995050.0,968271.5616862032,984425.892280129,961133.3333333334,972076.1904761905,-32129.135100757354,-33634.48336060949,40.78199623115845
2022-02-03,970000,960800.0,988350.0,968566.0356336205,983354.3080519029,964266.6666666666,969690.4761904762,-30072.699759433046,-32922.126640374205,39.677350939453916
2022-02-04,986000,967600.0,982550.0,971525.300261557,983545.7314450272,972666.6666666666,969466.6666666666,-26842.47036370111,-31706.195385039588,44.827412056291045
2022-02-07,970000,969800.0,977300.0,971267.1873528783,982589.3147974857,973466.6666666666,968271.4285714285,-25282.12003526499,-30421.380315084672,41.05290250331417
2022-02-08,964000,973000.0,971150.0,970040.5595685095,981306.2820472484,971533.3333333334,967004.7619047619,-24250.140489791986,-29187.13235002614,39.70283846371178
2022-02-09,968000,971600.0,964350.0,969696.8634798434,980407.1264198495,969866.6666666666,966704.7619047619,-22846.166310406756,-27918.939142102263,41.09364297679136
2022-02-10,974000,972400.0,965250.0,970420.3731158897,979982.6431847472,970666.6666666666,967623.8095238095,-21007.198889971944,-26536.5910916762,43.20966223989632
2022-02-11,952000,965600.0,965450.0,967327.7982822603,978162.655806583,963866.6666666666,966361.9047619047,-21081.999926497927,-25445.672858640544,37.84197329843971
2022-02-14,950000,961600.0,965500.0,964422.205655543,976362.3236912965,958666.6666666666,964890.4761904762,-21059.898175325943,-24568.517921977626,37.38727608556392
2022-02-15,975000,963800.0,965500.0,966194.1289200045,976276.6328631089,963133.3333333334,965795.2380952381,-18808.281154603348,-23416.470568502773,46.104802661703125
2022-02-16,975000,965200.0,965550.0,967667.9830350548,976197.5406728082,966866.6666666666,966700.0,-16829.85435882816,-22099.14732656785,46.104802661703125
2022-02-17,1028000,976000.0,969100.0,977758.7438226598,979361.5421556733,987800.0,972647.619047619,-10860.091434972011,-19851.336148248683,59.84930400056375
2022-02-18,1040000,993600.0,973450.0,988162.7233627116,983016.044076115,1009133.3333333334,979400.0,-5101.900068019517,-16901.44893220285,62.199818153037754
2022-02-21,1019000,1007400.0,976650.0,993314.8298759585,985157.6050091783,1017600.0,983738.0952380953,-2207.568939290126,-13962.672933620304,56.01923186648447
2022-02-22,1007000,1013800.0,978550.0,995600.3347889883,986442.259135077,1017466.6666666666,986628.5714285715,-872.0380670458544,-11344.545960305415,52.791123549193976
2022-02-23,975000,1013800.0,977800.0,992161.1230797054,985776.7369446419,1004533.3333333334,986290.4761904762,-2368.4507675149944,-9549.326921747332,45.29532738779119
2022-02-24,956000,999400.0,977150.0,986125.7543448689,984062.8884379098,985266.6666666666,984214.2857142857,-5029.532504150062,-8645.368038227878,41.52519302087268
2022-02-25,942000,979800.0,976650.0,978762.8053872304,981665.7126288861,966133.3333333334,980866.6666666666,-8173.918109728489,-8551.078052528,38.95244492232128
2022-02-28,950000,966000.0,976200.0,973964.3031852094,979877.829454725,956200.0,978328.5714285715,-9906.141383503913,-8822.090718723182,41.19451944692685
2022-03-02,940000,952600.0,975800.0,968298.960499353,977646.0145388595,947533.3333333334,974880.9523809524,-11948.126667703968,-9447.29790851934,39.25381953306481
2022-03-03,959000,949400.0,975000.0,966748.0785637643,976611.1045956216,949666.6666666666,973280.9523809524,-11896.142184752971,-9937.066763766066,44.59465157223629
