Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,618000,,,618000.0,618000.0,,,0.0,0.0,
2022-01-04,644000,,,632181.8181818181,631317.0731707318,,,2074.074074074044,414.8148148148088,
2022-01-05,664000,,,644769.2307692309,642747.0261697066,,,5270.866307903198,1386.0251134324867,
2022-01-06,690000,,,659329.3591654248,655438.3573562251,,,9789.482829474262,3066.716656640842,
2022-01-07,719000,667000.0,,675956.568479897,669420.3931451271,683533.3333333334,,15531.538704443374,5559.681066201349,
2022-01-10,710000,685400.0,,684487.4480358353,677034.5754303213,697866.6666666666,,19135.354119824362,8274.815676925951,
2022-01-11,734000,703400.0,,695934.086843631,686410.5319368364,714066.6666666666,,23655.319426805712,11350.916426901904,
2022-01-12,773000,725200.0,,712670.8394395307,699169.8457842544,737266.6666666666,,30038.137608323246,15088.360663186173,
2022-01-13,755000,738200.0,,721421.6689102724,706650.5589858484,747200.0,,33260.70868947427,18722.830268443795,
2022-01-14,716000,737600.0,,720344.0093974522,707803.6974474697,739800.0,,32295.364565709722,21437.33712789698,
2022-01-17,707000,737000.0,,717774.1333966578,707711.5486429033,729600.0,,30453.053761441726,23240.48045460593,
2022-01-18,694000,729000.0,,713311.2339589777,706238.2047403739,715266.6666666666,,27625.56747591612,24117.49785886797,
2022-01-19,653000,705000.0,,702223.0135411681,700840.5725291428,689933.3333333334,,21824.823890664848,23658.963065227344,
2022-01-20,696000,693200.0,,701098.2398581414,700374.8450516764,686933.3333333334,,20461.565253893496,23019.483502960575,
2022-01-21,694000,688800.0,,699833.0843681628,699789.923951264,687200.0,,19000.760735011194,22215.738949370698,55.13853598763943
2022-01-24,671000,681600.0,,694752.7877682409,697259.9776334864,681266.6666666666,,15804.965049447957,20933.58416938615,49.499204077557636
2022-01-25,643000,671400.0,,685720.194875811,692676.3457797255,668400.0,,10887.404725437285,18924.34828059638,43.64673573268736
2022-01-26,664000,673600.0,,681958.8836471903,690340.0095403064,665933.3333333334,,8585.755984683288,16856.62982141376,48.559149550891966
2022-01-27,610000,656400.0,,669578.2106101239,684008.8334227034,644733.3333333334,,2376.9342534979805,13960.690707830607,39.11648017186338
2022-01-28,639000,645400.0,684700.0,664345.347905377,680569.1903367295,638933.3333333334,678700.0,-201.22447325405665,11128.307671613675,45.27145823949558
2022-02-03,677000,646600.0,687650.0,666501.3203376872,680304.0637159211,649466.6666666666,677966.6666666666,812.482786108274,9065.142694512595,52.10419262267214
2022-02-04,678000,653600.0,689350.0,668453.1217339477,680137.3581042594,659933.3333333334,677047.619047619,1677.210892034811,7587.556334017038,52.27305983749626
2022-02-07,639000,648600.0,688100.0,663469.0336091215,677232.7933499337,655066.6666666666,672252.380952381,-775.520203231019,5914.941026567428,45.53084154173732
2022-02-08,617000,650000.0,684450.0,655625.5303430142,673075.5316462002,644533.3333333334,665480.9523809524,-4443.323537661927,3843.2881137215572,42.22249116628719
2022-02-09,610000,644200.0,679000.0,647940.7185079624,668813.2802502447,631200.0,658390.4761904762,-7824.7270214733435,1509.6850866825773,41.1967706627692
2022-02-10,661000,641000.0,676550.0,650136.4461952139,668295.6368856452,636800.0,656676.1904761905,-6316.4280185167445,-55.537534357287086,50.61077172604977
2022-02-11,633000,632000.0,671500.0,647259.4283461319,666000.0133731689,634133.3333333334,652528.5714285715,-7296.348423396819,-1503.6997121651937,46.23443105132918
2022-02-14,619000,628000.0,663800.0,642520.7774627227,662995.4802042897,629800.0,647528.5714285715,-9097.752177380724,-3022.5102052083,44.177480759571715
2022-02-15,622000,629000.0,657150.0,639083.2703788298,660416.8443976174,627800.0,643547.619047619,-10166.114068081719,-4451.230977782983,44.74477649825971
2022-02-16,653000,637600.0,654000.0,641412.5378679712,659957.3430911107,635800.0,643152.380952381,-8414.3621127269,-5243.857204771767,50.35872168818949
2022-02-17,640000,633400.0,650650.0,641176.2855023755,658738.3843012301,636600.0,641819.0476190476,-7983.053747560363,-5791.696513329487,48.149433590890375
2022-02-18,629000,632600.0,647400.0,639140.9502115903,656946.1391419176,635133.3333333334,639757.1428571428,-8431.651994252577,-6319.687609514106,46.29855017945043
2022-02-21,616000,632000.0,645550.0,635274.6995789489,654509.2572123267,629600.0,636766.6666666666,-9724.067691868986,-7000.563625985083,44.13908333433708
2022-02-22,590000,625600.0,640250.0,627713.5551148508,650715.1639605885,615600.0,631476.1904761905,-12699.902580977301,-8140.431416983527,40.109660744961104
2022-02-23,589000,612800.0,635000.0,621250.3537434763,647125.5921271552,603400.0,626595.2380952381,-14966.44099744712,-9505.633333076246,39.95856898873334
2022-02-24,549000,594600.0,628900.0,609191.6152716898,641477.8141368411,582133.3333333334,618404.7619047619,-19762.544417787227,-11557.015550018443,34.37978427099049
2022-02-25,554000,579600.0,624450.0,599982.1852649179,636492.428975177,568600.0,611271.4285714285,-22896.100722409436,-13824.832584496642,35.59031425871068
2022-02-28,565000,569400.0,619500.0,594146.1031872032,632455.8828111088,563733.3333333334,605609.5238095238,-24212.74910098908,-15902.41588779513,38.28754491377347
2022-03-02,555000,562400.0,616750.0,587616.4214751408,628120.9629585721,558933.3333333334,599466.6666666666,-25766.103253996116,-17875.15336103533,36.779665273112734
2022-03-03,558000,556200.0,612700.0,582676.9905499561,624229.0384057937,557466.6666666666,593871.4285714285,-26450.17157040909,-19590.157002910084,37.57395856093498
2022-03-04,535000,553400.0,605600.0,574726.3175735627,619315.2978867854,550400.0,586471.4285714285,-28519.45390867663,-21376.016384063394,34.042627466198496
2022-03-07,514000,545400.0,597400.0,564600.4803423919,613558.5918809252,537266.6666666666,577747.619047619,-31490.892163345707,-23398.991539919858,31.162814376601673
2022-03-08,503000,533000.0,590600.0,554329.689626548,607557.5417697039,523133.3333333333,568757.1428571428,-34337.56438950123,-25586.706109836134,29.743460157789304
2022-03-10,496500,521300.0,584575.0,544688.2445260001,601569.2926127439,510966.6666666667,559795.2380952381,-36695.07038561185,-27808.37896499128,28.90565638683375
2022-03-11,472000,504100.0,577675.0,532570.2236916121,594626.6324602923,494533.3333333333,549073.8095238095,-40078.35775708745,-30262.374723410514,25.939770967267894
2022-03-14,457000,488500.0,567475.0,519972.3158861707,587295.9559598042,478833.3333333333,537580.9523809524,-43468.92925602605,-32903.68562993362,24.296089104351665
2022-03-15,439000,473500.0,557775.0,506474.3669015307,579441.3249401168,462333.3333333333,525345.2380952381,-47065.88494031102,-35736.1254920091,22.457131029518
2022-03-16,442000,461300.0,548925.0,495726.93847451964,572200.3359945939,451833.3333333333,514319.04761904763,-49108.33301272447,-38410.56699615218,23.49645383260305
2022-03-17,470000,456000.0,541325.0,491438.54992087244,566843.1262384288,454733.3333333333,506802.38095238095,-47915.284260196844,-40311.51044896111,32.57932486821817
2022-03-18,488500,459300.0,533100.0,490948.7377778083,562756.0969973925,465566.6666666667,501771.4285714286,-44958.73285282962,-41240.95492973481,37.83117830708737
2022-03-21,490000,465900.0,525600.0,490790.6003340865,558977.7225356487,475800.0,497666.6666666667,-42010.33807095693,-41394.83155797924,38.251181283974894
2022-03-22,492000,476500.0,518750.0,490992.1823275727,555514.3685112753,484500.0,494466.6666666667,-39062.047708282305,-40928.27478803985,38.84443319805983
2022-03-23,508000,489700.0,513350.0,493826.998874426,553067.4537963092,495000.0,493442.85714285716,-35030.628789283335,-39748.74558828855,43.519459005504324
2022-03-24,531000,501900.0,510400.0,500022.82739318296,551935.4065093633,508766.6666666667,495123.8095238095,-29638.14241355157,-37726.624953341154,49.496202145544274
2022-03-25,526000,509400.0,507250.0,504352.5473624774,550609.814198813,516800.0,496609.5238095238,-25474.363715601503,-35276.17270579323,48.29963669331321
2022-03-28,523000,516000.0,505950.0,507460.5705112825,549203.5517582141,521333.3333333333,498109.5238095238,-22161.154038112494,-32653.168972257085,47.55676666571409
2022-03-29,523000,522200.0,504400.0,510050.5548526946,547873.3239610349,523666.6666666667,499733.3333333333,-19312.78572625504,-29985.092323056677,47.55676666571409
2022-03-30,525000,525600.0,502400.0,512542.1927194544,546715.7974705509,524600.0,501695.2380952381,-16701.52524572576,-27328.378907590493,48.17308128470301
2022-03-31,532000,525800.0,501250.0,515785.22966460313,545973.3081793117,526733.3333333334,504514.28571428574,-13906.930564448005,-24644.089238962,50.37143443446959
