Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,198500,,,198500.0,198500.0,,,0.0,0.0,
2022-01-04,194500,,,196318.18181818182,196451.21951219512,,,-319.08831908830325,-63.81766381766065,
2022-01-05,187500,,,192829.67032967033,193320.77716098333,,,-1123.854514167906,-275.8250338877097,
2022-01-06,181000,,,189021.609538003,190011.62959310925,,,-2260.0803990403365,-672.6761069182351,
2022-01-07,182500,188800.0,,187204.36465276283,188359.2513751257,185766.66666666666,,-3004.8718427547137,-1139.115254085531,
2022-01-10,187000,186500.0,,187153.15329831457,188104.20731374228,185166.66666666666,,-3195.1799899069592,-1550.3282012498166,
2022-01-11,196500,186900.0,,189314.01905743493,189486.07337826682,188500.0,,-2550.0347491868597,-1750.2695108372254,
2022-01-12,197000,188800.0,,190983.21826917335,190593.28133481907,191866.66666666666,,-1975.6328113099735,-1795.3421709317752,
2022-01-13,195000,191600.0,,191813.6191437062,191183.7400028525,193933.33333333334,,-1662.632628514024,-1768.8002624482249,
2022-01-14,171000,189300.0,,187676.51762798397,188694.32412639278,187066.66666666666,,-3312.9870992178912,-2077.6376298021582,
2022-01-17,160000,183900.0,,182346.39410069527,185404.34519910676,177300.0,,-5445.7378999207285,-2751.2576838258724,
2022-01-18,159500,176500.0,,178057.65062963602,182620.8515149068,169166.66666666666,,-7094.522853178845,-3619.910717696467,
2022-01-19,167000,170500.0,,176024.70155139413,181037.10894291548,166000.0,,-7707.166074641136,-4437.361789085401,
2022-01-20,165000,164500.0,,174032.05054940007,179494.12570098037,164166.66666666666,,-8258.870409694035,-5201.663513207128,
2022-01-21,163500,163000.0,,172154.86946794883,178026.5917406544,163833.33333333334,,-8716.657334197662,-5904.662277405235,28.864371783729023
2022-01-24,166500,164300.0,,171158.4996809293,177013.67977950576,165000.0,,-8736.670937906223,-6471.064009505433,33.01753323969179
2022-01-25,158500,164100.0,,168949.16798736295,175449.72977309622,163066.66666666666,,-9290.964548357035,-7035.044117275755,28.276521395100403
2022-01-26,156000,161900.0,,166706.74561359297,173865.10986145044,160366.66666666666,,-9818.790430637775,-7591.79337994816,26.97307956259508
2022-01-27,147500,158400.0,,163402.18576641852,171787.4133955439,155566.66666666666,,-10798.496857716556,-8233.13407550184,23.07791474363253
2022-01-28,151000,155900.0,174250.0,161279.79423141657,170198.8078413907,153100.0,166292.85714285713,-11163.811045795796,-8819.26946956063,27.7073022899152
2022-02-03,157000,154000.0,172175.0,160550.64590636583,169218.37390776814,153466.66666666666,164650.0,-10844.170468982687,-9224.249669445042,34.93631571753133
2022-02-04,158500,154000.0,170375.0,160202.56650413683,168442.86884427228,154966.66666666666,163347.61904761905,-10350.501407730422,-9449.500017102118,36.642046293058
2022-02-07,157000,154200.0,168850.0,159660.6248442198,167634.927958783,155966.66666666666,162073.80952380953,-9965.427340849245,-9552.685481851544,35.63593815391034
2022-02-08,162000,157100.0,167900.0,160055.4877292403,167246.00576368824,158566.66666666666,161421.42857142858,-9151.304612200474,-9472.40930792133,41.41085254437212
2022-02-09,160500,159000.0,166800.0,160130.3579418927,166790.1527295088,159700.0,160716.66666666666,-8528.82891753604,-9283.693229844273,40.244278809456134
2022-02-10,160500,159700.0,165475.0,160192.5078619977,166373.41920422085,160200.0,160116.66666666666,-7943.939653425332,-9015.742514560487,40.244278809456134
2022-02-11,158500,159700.0,163575.0,159908.3547025148,165861.33306996716,159800.0,159452.38095238095,-7554.708011704119,-8723.535613989214,38.564345315812965
2022-02-14,158500,160000.0,161650.0,159672.19630704113,165390.75087671806,159400.0,158969.04761904763,-7163.660907658079,-8411.560672722988,38.56434531581296
2022-02-15,153500,158300.0,159575.0,158638.27015257778,164642.8168160331,157233.33333333334,158192.85714285713,-7174.508208959247,-8164.15017997024,34.40077809258668
2022-02-16,158000,157800.0,158925.0,158531.44175566567,164231.26941902516,157133.33333333334,158042.85714285713,-6742.2716705603525,-7879.774478088263,40.61495872996565
2022-02-17,159500,157600.0,158900.0,158693.43682965962,163942.29195247134,157700.0,158097.61904761905,-6207.131685540575,-7545.245919578726,42.56796143980908
2022-02-18,157500,157400.0,158800.0,158493.94708410007,163554.03392036914,157666.66666666666,157964.2857142857,-5876.670082627214,-7211.530752188424,40.64843949805015
2022-02-21,161500,158000.0,158525.0,158996.18030622727,163431.78947319512,159033.33333333334,158221.42857142858,-5231.702501055435,-6815.565101961827,45.902577558001106
2022-02-22,163000,159900.0,158425.0,159664.84203991867,163406.39390057165,160700.0,158647.61904761905,-4547.107358786336,-6361.87355332673,47.76984532832988
2022-02-23,160500,160400.0,158275.0,159804.27108633146,163237.34776972095,160900.0,158845.2380952381,-4158.354955483897,-5921.169833758164,44.98300597337276
2022-02-24,151000,158700.0,157500.0,158334.8194232748,162533.00732299947,157766.66666666666,158152.38095238095,-4564.2229591018695,-5649.7804588269055,36.31349775855693
2022-02-25,155500,158300.0,157350.0,157861.79338604124,162132.19426318628,156700.0,157961.90476190476,-4471.222415393946,-5414.068850140314,42.014353892419834
2022-02-28,159500,157900.0,157525.0,158135.09558791673,161983.57749622993,157100.0,158166.66666666666,-4028.3163208604674,-5136.918344284345,46.590921959357736
2022-03-02,159000,157100.0,158100.0,158279.36411179136,161816.59767687225,157466.66666666666,158307.14285714287,-3675.2894226264325,-4844.592559952763,46.10111433088585
2022-03-03,171000,159200.0,159100.0,160400.9135483758,162326.30415367204,162100.0,159535.7142857143,-2399.5527995356533,-4355.584607869341,57.61730265281434
2022-03-04,167000,162400.0,159600.0,161501.38523743587,162583.6792085189,164700.0,160288.09523809524,-1691.7870372903417,-3822.8250937535413,53.51289185559384
