Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,151500,,,151500.0,151500.0,,,0.0,0.0,
2022-01-04,147500,,,149318.1818181818,149451.21951219515,,,-319.08831908833236,-63.81766381766647,
2022-01-05,144500,,,147412.0879120879,147719.66693100714,,,-804.7661950796028,-212.00737007005375,
2022-01-06,141000,,,145347.98807749627,145914.8806589136,,,-1455.3142039607337,-460.6687368481897,
2022-01-07,143000,145500.0,,144693.7217802623,145273.6768762845,143933.33333333334,,-1788.8738781102293,-726.3097651005976,
2022-01-10,144500,144100.0,,144645.17740324192,145128.50748647406,143600.0,,-1910.1656583913427,-963.0809437587467,
2022-01-11,141500,142900.0,,143918.0545163544,144531.29033881403,142733.33333333334,,-2222.7428006812115,-1215.0133151432397,
2022-01-12,141500,142300.0,,143392.91469063787,144084.61725419178,142266.66666666666,,-2442.309019846405,-1460.4724560838727,
2022-01-13,139000,141900.0,,142484.75476428232,143403.32657977418,141166.66666666666,,-2785.931453439116,-1725.5642555549214,
2022-01-14,160000,145300.0,,145966.24191520127,145450.32194846642,147200.0,,-1348.189127012447,-1650.0892298464266,
2022-01-17,143500,145100.0,,145491.27702861783,145226.70566520377,146600.0,,-1522.628168962925,-1624.5970176697265,
2022-01-18,135000,143800.0,,143521.84606891163,144127.8177986906,143233.33333333334,,-2320.0077241211256,-1763.6791589600066,
2022-01-19,132500,142000.0,,141495.47965919125,142948.91471203297,139466.66666666666,,-3117.7266607935308,-2034.4886593267115,
2022-01-20,133500,140900.0,,140050.3429831516,142039.80340605899,136633.33333333334,,-3627.4184013682825,-2353.074607735026,
2022-01-21,134500,135800.0,,139061.07704726685,141347.99206485547,134500.0,,-3905.6393559340504,-2663.587557374831,38.65932570126296
2022-01-24,133000,133700.0,,137993.13479308697,140614.40305569133,133566.66666666666,,-4198.768145341048,-2970.6236749680743,37.37334787706051
2022-01-25,128500,132400.0,,136336.2651720163,139591.03433795163,131833.33333333334,,-4739.552602621814,-3324.409460498822,33.74661658017095
2022-01-26,129500,131800.0,,135152.42123781805,138768.89160756068,130866.66666666667,,-5029.460053737857,-3665.4195791466295,35.25032333402702
2022-01-27,127000,130500.0,,133749.78049785428,137841.44679018034,129266.66666666667,,-5398.709936478495,-4012.0776506130032,33.22037796523429
2022-01-28,130500,129700.0,139075.0,133193.6441240599,137280.40232906904,129266.66666666667,135588.09523809524,-5347.282238494896,-4279.118568189382,38.555190537999536
2022-02-03,136000,130300.0,138300.0,133671.7628315943,137185.29147457416,131366.66666666666,135295.2380952381,-4807.305754450819,-4384.75600544167,45.87281294066044
2022-02-04,137500,132100.0,137800.0,134321.5729724055,137208.06153812047,133766.66666666666,135219.04761904763,-4209.80502473595,-4349.765809300527,47.70210177010169
2022-02-07,142000,134600.0,137675.0,135620.9244405206,137546.40352707362,137066.66666666666,135619.04761904763,-3334.7283273839857,-4146.758312917219,52.85026190566258
2022-02-08,141000,137400.0,137675.0,136528.85803505813,137784.77042919674,139200.0,135935.7142857143,-2690.896404075378,-3855.585931148851,51.63386688927592
2022-02-09,141500,139600.0,137600.0,137366.1587813443,138035.82249346268,140566.66666666666,136300.0,-2115.9181575620605,-3507.6523764314934,52.22593863834773
2022-02-10,143000,141000.0,137525.0,138313.40700146448,138364.7078610229,141700.0,136814.2857142857,-1521.6654782987898,-3110.4549968049528,54.043487014471964
2022-02-11,140000,141500.0,137450.0,138596.5671214594,138471.06704349542,141366.66666666666,137050.0,-1278.0582170150592,-2743.9756408469743,49.95043059294196
2022-02-14,140000,141100.0,137375.0,138831.90020634158,138568.80594719184,140866.66666666666,137292.85714285713,-1072.633061114524,-2409.7071249004844,49.95043059294196
2022-02-15,143500,141600.0,137600.0,139613.8699020887,138878.98047108707,141666.66666666666,137876.19047619047,-620.2614083592489,-2051.817981592237,54.60256098273487
2022-02-16,153500,144000.0,137275.0,141938.01589525733,139784.80742603235,145633.33333333334,139390.47619047618,538.9501305043814,-1533.6643591729135,64.69876416030192
2022-02-17,155000,146400.0,137850.0,144122.68273788987,140714.12415136475,149300.0,141078.57142857142,1560.6805369587673,-914.7953799465772,65.92299710248732
2022-02-18,162000,150800.0,139200.0,147110.97787280913,141996.96142877082,154500.0,143378.57142857142,2901.800592876476,-151.47618538196662,70.98069240603856
2022-02-21,164500,155700.0,140800.0,150016.23099273478,143336.21463320722,159066.66666666666,145788.09523809524,4118.896926226502,702.5984369397271,72.54778724036976
2022-02-22,165000,160000.0,142375.0,152518.6096530956,144610.3638858752,162166.66666666666,148092.85714285713,5065.4094731391815,1575.160644179618,72.86341709240993
