Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,4505,,,4505.0,4505.0,,,0.0,0.0,
2022-01-04,4510,,,4507.727272727273,4507.5609756097565,,,0.39886039886005165,0.07977207977201034,
2022-01-05,4510,,,4508.6263736263745,4508.413957176844,,,0.7068124447041555,0.20518015275843937,
2022-01-06,4495,,,4504.239940387482,4504.8112003712195,,,-0.2565506241608091,0.11283399737458968,
2022-01-07,4490,4502.0,,4500.271984519459,4501.553091784763,4499.0,,-1.4072590043351738,-0.191184602967363,
2022-01-10,4520,4505.0,,4505.215590860753,4505.014390023836,4505.0,,0.10038837876800244,-0.13287000662028992,
2022-01-11,4515,4506.0,,4507.477615194415,4506.657924598269,4508.333333333333,,0.8815891674812519,0.07002182820001847,
2022-01-12,4600,4524.0,,4527.571119581131,4520.412262878201,4539.666666666667,,8.264221247897694,1.7088617121395537,
2022-01-13,4470,4519.0,,4515.669275953156,4513.657495929539,4521.666666666667,,3.583785171324962,2.0838464039766356,
2022-01-14,4365,4494.0,,4485.720900054914,4495.322423714507,4470.333333333333,,-8.500132383497657,-0.032949353518223035,
2022-01-17,4310,4452.0,,4451.87942779281,4474.074079753218,4409.0,,-22.258185939173927,-4.477996670649365,
2022-01-18,4250,4399.0,,4413.982459279025,4449.996698873986,4341.666666666667,,-37.569957973516466,-11.096388931222785,
2022-01-19,4180,4315.0,,4370.964783929327,4422.6226939488515,4268.666666666667,,-54.72225847935715,-19.82156284084966,
2022-01-20,4270,4275.0,,4352.715983549107,4407.938360261258,4253.666666666667,,-60.35756789584957,-27.928763851849645,
2022-01-21,4215,4245.0,,4328.170161468281,4390.235385980167,4233.666666666667,,-68.47232521195292,-36.0374761238703,28.942061740669278
2022-01-24,4120,4207.0,,4291.491249493111,4366.488153411887,4192.0,,-81.62807723782225,-45.155596346660694,24.209608013865946
2022-01-25,3990,4155.0,,4238.870939849184,4334.684176193191,4119.666666666667,,-101.37542623543686,-56.39956232441593,19.508630934198976
2022-01-26,4045,4128.0,,4205.298085317843,4311.08285529878,4083.0,,-111.3042560627946,-67.38050107209168,26.05102300657349
2022-01-27,3960,4066.0,,4163.09404827596,4283.415851006824,4027.0,,-124.59545600089223,-78.8234920578518,22.94681643654665
2022-01-28,4105,4044.0,4321.25,4153.152388102739,4269.781041977665,4040.0,4221.642857142857,-122.02194648229761,-87.46318294274096,36.78501689434827
2022-02-03,4110,4042.0,4301.5,4145.800517941299,4257.912185533432,4062.0,4201.523809523809,-118.21624020439867,-93.6137943950725,37.203819088120795
2022-02-04,4105,4065.0,4281.25,4138.874982990797,4246.848550772058,4083.0,4182.809523809524,-114.28622827493928,-97.74828117104587,36.94026267739361
2022-02-07,4070,4070.0,4259.25,4127.219886192472,4234.361894090697,4084.6666666666665,4162.690476190476,-112.6967747316321,-100.73797988316313,35.06753748056596
2022-02-08,4050,4088.0,4237.0,4114.1859497724945,4221.637253586674,4078.0,4142.761904761905,-111.76262423779735,-102.94290875408998,34.00661390612505
2022-02-09,4075,4082.0,4216.25,4107.585771137518,4211.728421707069,4073.6666666666665,4127.333333333333,-107.76278981399173,-103.90688496607034,36.58909686884958
2022-02-10,4110,4082.0,4195.75,4107.991688504408,4204.9887373745905,4083.0,4117.214285714285,-100.60892763221909,-103.24729349930008,40.121887297303694
