Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,35850,,,35850.0,35850.0,,,0.0,0.0,
2022-01-04,35300,,,35550.0,35568.292682926825,,,-43.8746438746457,-8.77492877492914,
2022-01-05,35250,,,35431.318681318684,35456.97858842189,,,-81.73797290606308,-23.367537601155927,
2022-01-06,33850,,,34922.28017883756,35025.37194396914,,,-222.1523990941496,-63.12450989975467,
2022-01-07,34100,34870.0,,34693.15201032036,34821.81232687216,34540.0,,-309.68903044841863,-112.43741400948747,
2022-01-10,33600,34420.0,,34419.22110147916,34592.55673530438,34116.666666666664,,-414.6286814473642,-172.87566749706284,
2022-01-11,32550,33870.0,,33987.08222049343,34256.3717027698,33493.333333333336,,-575.8819273132322,-253.4769194602967,
2022-01-12,33650,33550.0,,33913.87655150424,34167.02034126023,33420.0,,-607.9078957003003,-324.3631147082974,
2022-01-13,32900,33360.0,,33704.27492725462,33997.251585886086,33203.333333333336,,-685.9008008958554,-396.670651945809,
2022-01-14,32350,33010.0,,33435.08710289953,33794.08337970385,32866.666666666664,,-783.0644639306047,-473.9494143427682,
2022-01-17,31600,32610.0,,33081.674109499705,33542.518364541334,32396.666666666668,,-910.0950892264227,-561.1785493194991,
2022-01-18,30800,32260.0,,32653.356411001107,33247.82716552325,31793.333333333332,,-1063.0667177148644,-661.5561829985722,
2022-01-19,32200,31970.0,,32570.00683442924,33141.59169631438,31773.333333333332,,-1059.1206520837077,-741.0690768155994,
2022-01-20,32200,31830.0,,32503.130240452247,33050.99804796231,31850.0,,-1043.9592542007886,-801.6471122926373,
2022-01-21,31550,31670.0,,32333.24897686128,32913.27463306927,31756.666666666668,,-1072.0355464098902,-855.7247991160879,31.06746474522462
2022-01-24,30650,31480.0,,32036.6659285554,32714.386878667894,31416.666666666668,,-1153.6105839365628,-915.3019560801829,26.96838747521836
2022-01-25,29900,31300.0,,31663.746240321518,32476.64049710824,30890.0,,-1264.2051508428049,-985.0825950327073,24.11317680015542
2022-01-26,30300,30920.0,,31427.584729062568,32299.30395246466,30556.666666666668,,-1304.5375875831014,-1048.9735935427861,28.463242742154332
2022-01-27,28150,30110.0,,30863.669576059918,31972.31900139442,29633.333333333332,,-1492.7805213530446,-1137.734979104838,21.371810783864195
2022-01-28,29150,29630.0,32295.0,30570.40854364835,31756.63311706172,29313.333333333332,31229.285714285714,-1543.4804777670688,-1218.884078837284,30.095513134748725
2022-02-03,30400,29580.0,32022.5,30541.376048753285,31655.859686655953,29570.0,31048.809523809523,-1465.898045011476,-1268.2868720721224,39.179331664800685
2022-02-04,31400,29880.0,31827.5,30687.120036421602,31637.347505213733,30176.666666666668,30989.52380952381,-1308.6366171259142,-1276.3568210828807,45.30287210530517
2022-02-07,32000,30220.0,31665.0,30909.286959673453,31662.95312752314,30883.333333333332,31005.95238095238,-1122.649611037501,-1245.615379073805,48.64389472816623
2022-02-08,31900,30970.0,31567.5,31076.509308925215,31679.314080255524,31443.333333333332,31028.333333333332,-972.1167759421587,-1190.9156584474758,48.11637197004083
2022-02-09,32250,31590.0,31475.0,31274.163014718804,31717.877478685947,31870.0,31093.333333333332,-815.1794632498859,-1115.768419407958,50.15386926343392
2022-02-10,32800,32070.0,31435.0,31530.710246421946,31789.569972094752,32273.333333333332,31219.52380952381,-639.0584409040894,-1020.4264237071843,53.26010065744804
2022-02-11,32000,32190.0,31407.5,31609.498752629985,31803.256313025657,32250.0,31273.333333333332,-557.6068314775621,-927.8625052612599,48.523503165569004
2022-02-14,31850,32160.0,31317.5,31649.82693741674,31806.244460216916,32136.666666666668,31315.47619047619,-499.4027861265531,-842.1705614343186,47.66750492245357
2022-02-15,31750,32130.0,31260.0,31666.607276898063,31802.706656090228,32000.0,31356.666666666668,-456.0873342290215,-764.9539159932593,47.07133418072059
2022-02-16,32500,32180.0,31267.5,31806.0936812797,31845.90659198857,32123.333333333332,31474.761904761905,-357.1240903294856,-683.3879508605047,51.927473446025324
2022-02-17,31650,31950.0,31270.0,31779.986415560983,31833.940968047056,31946.666666666668,31511.190476190477,-343.3252628830742,-615.3754132650186,46.69818570155304
2022-02-18,32050,31960.0,31332.5,31825.120720049235,31846.96221191226,31980.0,31585.47619047619,-296.69284522126327,-551.6388996562675,49.28637337959136
2022-02-21,32100,32010.0,31327.5,31871.045895130308,31862.021585670485,32026.666666666668,31658.571428571428,-252.78775622444664,-491.8686709699034,49.615712703376964
2022-02-22,31200,31900.0,31277.5,31758.97723421578,31823.084978131657,31756.666666666668,31646.428571428572,-287.303281868255,-450.9555931495737,44.06816465353232
2022-02-23,32050,31810.0,31302.5,31807.56328458852,31836.28315697149,31806.666666666668,31720.0,-243.26498108356827,-409.4174707363726,49.77933834372204
2022-02-24,32100,31900.0,31375.0,31856.3715974615,31851.461808630494,31903.333333333332,31795.95238095238,-202.0011843880602,-367.9342134667101,50.10210176678043
2022-02-25,34500,32390.0,31605.0,32297.494956820414,32002.40274296499,32770.0,32093.571428571428,24.08300030942337,-289.5307707114834,62.545345296052844
2022-02-28,35200,33010.0,31850.0,32781.720214182045,32182.94282430145,33706.666666666664,32435.95238095238,256.78048974124977,-180.2685186209368,65.26602441989272
2022-03-02,35350,33840.0,32210.0,33210.11661084809,32360.19132405111,34486.666666666664,32769.28571428572,448.1328761651421,-54.58823966372101,65.83866777810795
2022-03-03,35500,34530.0,32527.5,33592.02368348135,32534.46015838203,35040.0,33082.619047619046,604.9117216406739,77.31175259715798,66.43461264062259
2022-03-04,35050,35120.0,32760.0,33835.157588668175,32672.988044233767,35213.333333333336,33322.857142857145,684.9531336612054,198.84002880996746,62.89007701376337
2022-03-07,34500,35120.0,32915.0,33946.017036606376,32772.85549853128,35006.666666666664,33488.57142857143,695.9832640629174,298.26867586055744,58.763344644511314
2022-03-08,33500,34780.0,32990.0,33871.65158339525,32812.32443999639,34466.666666666664,33544.28571428572,616.9215911404681,361.9992589165396,52.07285966330983
2022-03-10,34350,34580.0,33112.5,33951.40248690886,32895.236273169896,34323.333333333336,33673.80952380953,615.7545073278307,412.7503085987978,56.596418749704384
2022-03-11,33750,34230.0,33187.5,33917.82622504734,32941.03673982646,34046.666666666664,33734.52380952381,559.959732177449,442.1921933145281,52.80753195753609
2022-03-14,32350,33690.0,33165.0,33656.462300564315,32909.55519397943,33420.0,33654.76190476191,398.18365783252375,433.39048621812725,45.20331601228906
2022-03-15,32900,33370.0,33210.0,33530.361306291474,32909.049094385926,33156.666666666664,33629.52380952381,310.7729596097779,408.86698089645745,48.34996656215109
2022-03-16,33950,33460.0,33315.0,33600.31215718893,32963.890780492104,33350.0,33700.0,322.5079059069467,391.5951658985553,53.80391133953816
2022-03-17,33750,33340.0,33415.0,33625.263421108924,33005.09761155753,33446.666666666664,33741.42857142857,312.07223242572945,375.6905792039902,52.66320772483068
