Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,168000,,,168000.0,168000.0,,,0.0,0.0,
2022-01-04,166500,,,167181.81818181818,167231.7073170732,,,-119.65811965812463,-23.931623931624927,
2022-01-05,162000,,,165131.86813186813,165402.0618556701,,,-571.0180923856096,-133.34891762242188,
2022-01-06,163500,,,164606.55737704918,164891.20095124852,,,-798.4822523016192,-266.3755845582613,
2022-01-07,160500,164100.0,,163462.26617931627,163925.24213862442,162900.0,,-1206.9116396739846,-454.482795581406,
2022-01-10,152000,160900.0,,160589.9584286681,161687.64117409804,158866.66666666666,,-2191.2148732030764,-801.8292111057401,
2022-01-11,153000,158200.0,,158835.26170525886,160257.73967844745,156233.33333333334,,-2857.649430831807,-1212.9932550509534,
2022-01-12,155000,156800.0,,158002.3405904308,159482.99013689352,155166.66666666666,,-3187.674802981579,-1607.9295646370786,
2022-01-13,153500,154800.0,,157071.55873214718,158681.32598369932,154066.66666666666,,-3529.5730312700616,-1992.2582579636753,
2022-01-14,152000,153100.0,,156063.49025674295,157857.2666677711,153133.33333333334,,-3876.8770787180983,-2369.18202211456,
2022-01-17,149500,152600.0,,154799.45067239788,156899.05517250934,151933.33333333334,,-4304.230653456936,-2756.1917483830352,
2022-01-18,150000,152000.0,,153898.49393300194,156157.7325738478,151066.66666666666,,-4550.114728782733,-3114.9763444629752,
2022-01-19,150000,151000.0,,153181.75581989982,155533.42197113618,150400.0,,-4690.905788040458,-3430.162233178472,
2022-01-20,157000,151700.0,,153871.8813580712,155674.5262892263,152400.0,,-4189.349999276106,-3581.999786397999,
2022-01-21,159500,153200.0,,154875.00964626516,156025.5309449263,155000.0,,-3549.2211049533216,-3575.4440501090635,49.4502967597713
2022-01-24,154500,154200.0,,154808.93415442627,155891.47323073065,155433.33333333334,,-3406.109052649641,-3541.5770506171793,40.350746366030535
2022-01-25,150500,154300.0,,154056.8809859764,155436.0265181278,154200.0,,-3574.2564868544578,-3548.112937864635,34.829106956932826
2022-01-26,153500,155000.0,,153960.44526256164,155278.2934181881,153933.33333333334,,-3425.9474226348393,-3523.679834818676,41.31526550213725
2022-01-27,149500,153500.0,,153193.01653664833,154822.9363240197,152100.0,,-3589.7970455666364,-3536.9032769682685,36.14924069360295
2022-01-28,155000,152600.0,155750.0,153502.24641585964,154836.46779778937,152600.0,153747.61904761905,-3238.513450478291,-3477.225311670273,46.12450854176146
2022-02-03,154000,152500.0,155050.0,153587.04866861744,154774.3332911589,153066.66666666666,153580.95238095237,-3006.157204178511,-3383.011690171921,44.755436533676836
2022-02-04,160000,154400.0,154725.0,154675.59167793067,155152.4252506035,155566.66666666666,154052.38095238095,-2311.2210316738056,-3168.6535584722983,53.645800799778016
2022-02-07,159500,155600.0,154600.0,155491.98310986583,155459.39227439457,157266.66666666666,154507.14285714287,-1780.3027081254113,-2890.9833884029213,52.88206724653717
2022-02-08,158000,157300.0,154325.0,155915.31101538436,155634.74477947445,158066.66666666666,154830.95238095237,-1463.7108283296402,-2605.528876388265,50.55670387090171
2022-02-09,163500,159000.0,154475.0,157192.81742979662,156166.2297177429,160133.33333333334,155704.7619047619,-760.2418532380543,-2236.471471758223,57.87167634263005
2022-02-10,178500,163900.0,155800.0,160775.3093712747,157645.88072510774,166633.33333333334,157992.85714285713,996.1539745771734,-1589.9463824911436,70.63263936611513
2022-02-11,175000,166900.0,156900.0,163163.4759940568,158774.5903266609,170333.33333333334,159821.42857142858,2081.6931106195843,-855.618483868998,65.63669658181927
