Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,65200,,,65200.0,65200.0,,,0.0,0.0,
2022-01-04,66000,,,65636.36363636363,65609.75609756098,,,63.817663817659195,12.76353276353184,
2022-01-05,63700,,,64870.32967032967,64941.871530531316,,,-70.38579232311895,-3.8663322537983174,
2022-01-06,59800,,,63238.1520119225,63560.85380354398,,,-485.8399440878493,-100.26105462060852,
2022-01-07,62600,63460.0,,63060.33111158891,63349.489028968404,62700.0,,-582.4397502387001,-196.69679374422685,
2022-01-10,62300,62880.0,,62869.80116657536,63152.56743725719,62313.333333333336,,-675.4174929467699,-292.4409335847355,
2022-01-11,60800,61840.0,,62391.29086125137,62765.35764926751,61620.0,,-860.2243569722123,-405.99761826223084,
2022-01-12,62500,61600.0,,62414.89971613457,62726.256109501184,61840.0,,-859.600397368522,-496.7181740834891,
2022-01-13,64000,62440.0,,62742.59207039979,62896.92575695161,62640.0,,-729.6574045466259,-543.3060201761165,
2022-01-14,62100,62340.0,,62614.86471024745,62798.63477463443,62526.666666666664,,-771.1019839078581,-588.8652129224648,
2022-01-17,61000,62080.0,,62303.86357559693,62592.41034919176,62080.0,,-882.5346089469094,-647.5990921273537,
2022-01-18,59600,61840.0,,61796.29213104572,62270.86756386024,61253.333333333336,,-1071.4629093741314,-732.3718555767093,
2022-01-19,58300,61000.0,,61153.49881959635,61868.27542586934,60073.333333333336,,-1310.9769577501647,-848.0928760114004,
2022-01-20,58700,59940.0,,60710.04310712478,61563.44517838819,59306.666666666664,,-1451.781674195765,-968.8306356482735,
2022-01-21,58700,59260.0,,60351.78287319426,61300.711027026686,58893.333333333336,,-1545.5542392264178,-1084.1753563639024,33.177422981337756
2022-01-24,55200,58100.0,,59444.055323826564,60764.60431744387,57540.0,,-1880.611898561241,-1243.4626648033702,25.25237026829003
2022-01-25,51200,56420.0,,58005.19185899711,59956.63079938994,55240.0,,-2440.7783051789884,-1482.925792878494,19.515083538354325
2022-01-26,50000,54760.0,,56618.923540565,59145.4382737517,53100.0,,-2947.566477826178,-1775.8539298680307,18.180584726726906
2022-01-27,46000,52220.0,,54791.91603714224,58109.51501048092,50180.0,,-3630.1205563637195,-2146.7072551671686,14.597283965019571
2022-01-28,47400,49960.0,58755.0,53526.93417667408,57291.07768476804,48573.333333333336,55994.76190476191,-4011.8353409003757,-2519.73287231381,20.50308001985978
2022-02-03,48950,48710.0,57942.5,52747.16213429606,56671.48569559739,48236.666666666664,55060.95238095238,-4141.533985868977,-2844.0930950248435,26.558401816433555
