Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,285000,,,285000.0,285000.0,,,0.0,0.0,
2022-01-04,278000,,,281181.8181818182,281414.6341463414,,,-558.4045584045234,-111.68091168090469,
2022-01-05,272500,,,277747.25274725276,278296.98651863594,,,-1428.2838613322238,-375.0015016111685,
2022-01-06,261500,,,272517.1385991058,273785.6065659348,,,-2971.029368055344,-894.2070749000036,
2022-01-07,264000,272200.0,,270143.8400344012,271633.00799343054,268300.0,,-3946.4450286725187,-1504.6546656545067,
2022-01-10,262500,267700.0,,268228.3845187071,269919.3297923869,265066.6666666667,,-4785.343964726722,-2160.79252546895,
2022-01-11,264000,264900.0,,267250.83865597023,268945.06550663133,263833.3333333333,,-5268.409011894837,-2782.315822754127,
2022-01-12,269500,264300.0,,267739.2991882799,269026.83738402044,265366.6666666667,,-5148.093490309839,-3255.4713562652696,
2022-01-13,268000,265600.0,,267793.19461913744,268889.2508757538,266600.0,,-5114.819580346462,-3627.3410010815087,
2022-01-14,264000,265600.0,,267039.2252541792,268286.22196474054,266066.6666666667,,-5349.550054530846,-3971.782811771376,
2022-01-17,256500,264400.0,,265009.5128011249,266934.859872171,263033.3333333333,,-6070.782761603652,-4391.582801737832,
2022-01-18,255000,262600.0,,263130.5190095838,265652.426102058,259900.0,,-6686.326531970059,-4850.531547784277,
2022-01-19,251500,259000.0,,260992.2480791713,264217.561959511,256200.0,,-7371.594995568041,-5354.74423734103,
2022-01-20,258500,257100.0,,260541.7886622857,263667.45643116086,256033.33333333334,,-7266.074902995839,-5737.010370471992,
2022-01-21,259500,256200.0,,260356.10535602542,263285.07330155146,256833.33333333334,,-7020.8261136245565,-5993.773519102506,34.69071576943763
2022-01-24,256000,256100.0,,259588.5736224606,262644.88945093757,256766.66666666666,,-7027.872491027345,-6200.593313487474,31.474131660390615
2022-01-25,247000,254500.0,,257391.4463655238,261323.28157781472,253733.33333333334,,-7671.252160034928,-6494.725082796966,25.043709832463453
2022-01-26,244000,253000.0,,255072.43413427487,259911.90891384982,250233.33333333334,,-8327.2191125619,-6861.223888749953,23.33247378163195
2022-01-27,233000,247900.0,,251274.8267187892,257791.1220734028,243566.66666666666,,-9623.749128216208,-7413.728936643205,18.3746917083058
2022-01-28,247000,245400.0,259850.0,250543.27373188545,256966.44821258337,243266.66666666666,254152.38095238095,-9413.0675264842,-7813.596654611405,36.78518914731898
2022-02-03,255000,245200.0,258350.0,251302.5659590096,256820.37649311472,246466.66666666666,253690.47619047618,-8502.555530523387,-7951.388429793802,44.489946547567484
2022-02-04,256000,247000.0,257250.0,252099.91474941868,256761.01990321983,250066.66666666666,253466.66666666666,-7612.52413163078,-7883.615570161198,45.3860099278909
2022-02-07,252500,248700.0,256250.0,252167.61759478608,256460.1642139214,251900.0,253014.2857142857,-7107.655951511144,-7728.423646431187,42.78291399853704
2022-02-08,261500,254400.0,256250.0,253742.8294335253,256808.013203505,256166.66666666666,253514.2857142857,-5913.15631236881,-7365.370179618712,50.625044028949766
2022-02-09,261000,257200.0,256100.0,254965.1711759435,257091.28155034044,258366.66666666666,253966.66666666666,-4949.794414894161,-6882.255026673802,50.21328877605017
2022-02-10,260500,258300.0,256000.0,255895.77190620487,257317.11505825777,259466.66666666666,254385.7142857143,-4178.5018238255,-6341.504386104141,49.77728562455759
2022-02-11,259000,258900.0,255750.0,256416.93711932615,257426.56967027037,259700.0,254671.42857142858,-3646.252622004453,-5802.454033284204,48.41899509914832
2022-02-14,255000,259400.0,255025.0,256179.33959081318,257271.44824502655,258400.0,254600.0,-3506.78384425852,-5343.319995479068,44.90043160872686
2022-02-15,251000,257300.0,254175.0,255311.7303315807,256876.97107525734,255600.0,254216.66666666666,-3676.6384047794563,-5009.983677339145,41.641601449515946
2022-02-16,259500,257000.0,253950.0,256012.72838500026,257039.47754745887,256333.33333333334,254723.80952380953,-3089.753648437967,-4625.93767155891,49.953964588317696
2022-02-17,257000,256300.0,253975.0,256177.85334187257,257037.0663295298,256333.33333333334,255014.2857142857,-2794.16298579509,-4259.582734406146,47.797548653212836
2022-02-18,260500,256600.0,254250.0,256900.32470832663,257245.7671804252,257733.33333333334,255635.7142857143,-2251.5302673621045,-3857.9722409973383,50.98748679997231
2022-02-21,263000,258200.0,254825.0,257919.42173069212,257588.2264762352,259866.66666666666,256469.04761904763,-1601.3020091326907,-3406.638194624409,53.18790917056728
2022-02-22,259000,259800.0,254850.0,258099.88473707286,257671.2595265441,260133.33333333334,256866.66666666666,-1392.703778222116,-3003.851311343951,49.36884698802922
2022-02-23,261000,260100.0,254925.0,258584.05698343174,257864.8708252511,260533.33333333334,257452.38095238095,-1053.8566881557344,-2613.8523867063072,51.25354401555168
2022-02-24,253000,259300.0,254775.0,257652.06593721715,257584.8652754556,258166.66666666666,257269.04761904763,-1414.545074136142,-2373.990924192274,44.1707701760328
2022-02-25,255000,258200.0,255175.0,257209.53466680745,257437.55307845672,256733.33333333334,257290.47619047618,-1521.471358603536,-2203.4870110745264,46.173401930934816
2022-02-28,265000,258600.0,256225.0,258509.218913626,257864.5376773815,259000.0,258226.19047619047,-790.1860104386578,-1920.826810947353,54.88697199149018
2022-03-02,263500,259500.0,257750.0,259341.69543964855,258179.93370172373,260633.33333333334,258919.04761904763,-327.89480021901545,-1602.2404088016856,53.488243335842384
