Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,150500,,,150500.0,150500.0,,,0.0,0.0,
2022-01-04,150500,,,150500.0,150500.0,,,0.0,0.0,
2022-01-05,149500,,,150104.3956043956,150150.27755749406,,,-79.77207977208309,-15.954415954416618,
2022-01-06,146500,,,148944.1132637854,149169.87616368438,,,-380.6787282570731,-88.89927841494791,
2022-01-07,148500,149100.0,,148820.36121264243,149022.51948589587,148566.66666666666,,-452.54942176232,-161.62930708442235,
2022-01-10,149000,148800.0,,148865.37655892494,149018.2940267584,148533.33333333334,,-463.81507141157635,-222.06645994985317,
2022-01-11,146500,148000.0,,148318.53318203666,148603.8072491408,147766.66666666666,,-666.7859926876554,-311.01036649741366,
2022-01-12,148000,147700.0,,148249.35589154618,148514.83377040882,147766.66666666666,,-698.5519738277362,-388.5186879634782,
2022-01-13,148000,148000.0,,148197.80582876314,148445.85090913923,147866.66666666666,,-715.4791445348819,-453.91077927775893,
2022-01-14,144500,147200.0,,147462.7967948514,147959.17877117245,146700.0,,-999.7898435842653,-563.0865921390603,
2022-01-17,143000,146000.0,,146603.32240166783,147390.57873787198,145300.0,,-1330.8048944795446,-716.6302526071572,
2022-01-18,141500,145000.0,,145645.32261691417,146757.61972705263,143800.0,,-1694.639422736771,-912.23208663308,
2022-01-19,142000,143800.0,,144975.13005050336,146275.2615856998,142800.0,,-1920.4967947589466,-1113.8850282582534,
2022-01-20,141000,142400.0,,144256.64829920456,145767.71123778285,141866.66666666666,,-2155.3366526708123,-1322.1753531407653,
2022-01-21,139000,141300.0,,143319.7290646428,145146.74287347164,140733.33333333334,,-2474.309912827739,-1552.6022650781601,19.02950694934898
2022-01-24,134500,139600.0,,141765.7212100821,144211.14860185556,138466.66666666666,,-3054.9948327474995,-1853.080778612028,13.951732818331873
2022-01-25,132000,137700.0,,140061.27613967043,143179.60726801003,135933.33333333334,,-3674.562848835689,-2217.3771926567606,12.031027493841474
2022-01-26,133500,136000.0,,138925.05237375447,142390.98456770822,134533.33333333334,,-3998.4459058980865,-2573.590935305026,19.217044815358143
2022-01-27,126000,133000.0,,136701.27069016162,141099.29676940135,131200.0,,-4804.924700965261,-3019.857688437073,13.346477364660487
2022-01-28,132000,131600.0,142300.0,135896.74015784456,140403.91475569404,130866.66666666667,138657.14285714287,-4903.391851505439,-3396.5645210507464,31.4009975141096
2022-02-03,134000,131500.0,141475.0,135573.59263383588,139928.2191163637,131666.66666666666,137866.66666666666,-4765.11521045852,-3670.2746589323015,36.17470687956958
2022-02-04,139500,133000.0,140925.0,136240.0663164348,139897.23623632206,134333.33333333334,137678.57142857142,-4163.729064789746,-3768.9655401037908,47.08079208524639
2022-02-07,140000,134300.0,140450.0,136876.32623454023,139904.49202570078,136666.66666666666,137590.47619047618,-3605.221639382129,-3736.2167599594586,47.951507478100304
2022-02-08,139500,137000.0,140100.0,137319.1758518076,139876.57402432,138400.0,137500.0,-3166.4454896823445,-3622.262505904036,47.11663180393211
2022-02-09,140500,138700.0,139700.0,137854.92929676434,139918.70126709968,139566.66666666666,137538.09523809524,-2706.8180733684567,-3439.1736193969205,49.028091376923925
2022-02-10,141000,140100.0,139300.0,138383.72705839222,139990.33918309765,140333.33333333334,137661.90476190476,-2275.978153767908,-3206.534526271118,50.001197707645176
2022-02-11,135500,139300.0,138750.0,137899.58150543668,139698.28812191097,138800.0,137300.0,-2351.234875975264,-3035.4745962119478,40.77884562804742
2022-02-14,131500,137600.0,137925.0,136826.4747821601,139174.20255634448,136200.0,136609.52380952382,-2702.490315015486,-2968.8777399726555,35.63156161104761
