Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,54800,,,54800.0,54800.0,,,0.0,0.0,
2022-01-04,54200,,,54472.72727272727,54492.682926829264,,,-47.86324786325713,-9.572649572651427,
2022-01-05,52800,,,53810.989010989026,53900.71371927041,,,-196.49840504542226,-46.957800667205596,
2022-01-06,51600,,,53099.25484351715,53282.78182187291,,,-406.4376489340648,-118.85377032057744,
2022-01-07,52200,53120.0,,52848.67770371963,53044.59580975476,52600.0,,-518.4249465797548,-198.7680055724129,
2022-01-10,51000,52360.0,,52385.421030582314,52660.956676662776,51893.333333333336,,-695.9828014693558,-298.2109647518015,
2022-01-11,50800,51680.0,,52018.892924568034,52354.66125285606,51373.333333333336,,-843.1180689587054,-407.1923855931823,
2022-01-12,52200,51560.0,,52058.224766503416,52331.87128186576,51546.666666666664,,-837.1058931288862,-493.1750871003231,
2022-01-13,52100,51660.0,,52066.861081034316,52300.80272073263,51726.666666666664,,-830.8330386396774,-560.706677408194,
2022-01-14,53100,51840.0,,52272.217033696536,52399.373867366034,52206.666666666664,,-736.6781465055174,-595.9009712276587,
2022-01-17,53800,52400.0,,52566.44740049136,52559.96417927143,52860.0,,-598.6744202293921,-596.4556610280055,
2022-01-18,53500,52940.0,,52741.69464512815,52660.97363346948,53226.666666666664,,-507.66096607882355,-578.6967220381691,
2022-01-19,51800,52860.0,,52568.56408377114,52573.68257924069,52846.666666666664,,-566.1813542391683,-576.193648478369,
2022-01-20,51000,52640.0,,52285.05520340393,52422.27337845913,52226.666666666664,,-669.3961158549428,-594.8341419536838,
2022-01-21,51300,52280.0,,52109.4837908531,52319.299678836556,51780.0,,-718.7023123817708,-619.6077760393013,36.50452308481492
2022-01-24,49650,51450.0,,51676.130668423,52084.73202575941,50903.333333333336,,-880.7661152175278,-671.8394438749466,29.282629544519438
2022-01-25,42900,49330.0,,50144.40225499675,51308.84836126731,48053.333333333336,,-1536.1634978926377,-844.7042546784849,15.645912784126905
2022-01-26,41600,47290.0,,48664.758249621744,50517.84331328485,45476.666666666664,,-2135.8490427475845,-1102.9332122923047,14.267810819020564
2022-01-27,40150,45120.0,,47199.7766860515,49700.80778700468,43096.666666666664,,-2697.017500480113,-1421.7500699298664,12.902692975181365
2022-01-28,40700,43000.0,50060.0,46087.46702727895,49012.95245020908,41623.333333333336,48134.04761904762,-3062.0695115186536,-1749.813958247624,16.17871262865012
2022-02-03,41900,41450.0,49415.0,45374.0484832909,48484.58806804425,41256.666666666664,47356.90476190476,-3217.457047101343,-2043.342576018368,22.985144706188276
2022-02-04,42700,41410.0,48840.0,44920.15188675717,48066.05654678851,41673.333333333336,46717.380952380954,-3238.715577291754,-2282.4171762730452,27.227674177943868
2022-02-07,42000,41490.0,48300.0,44426.00072434576,47637.75354301045,41870.0,46065.95238095238,-3274.303137101422,-2480.7943684387205,25.884057292607917
2022-02-08,42900,42040.0,47865.0,44168.42722354589,47310.754241290255,42340.0,45551.666666666664,-3193.07626074602,-2623.2507469001803,30.624308789329447
2022-02-09,43000,42500.0,47405.0,43971.62636910329,47019.46033059253,42660.0,45088.333333333336,-3085.071428721174,-2715.614883264379,31.15120884006327
2022-02-10,43600,42840.0,47035.0,43909.14281604944,46792.91515443726,43026.666666666664,44725.95238095238,-2917.431501308878,-2755.978206873279,34.37188304093165
2022-02-11,43400,42980.0,46665.0,43823.6634259344,46572.24040561211,43213.333333333336,44379.76190476191,-2768.7970111561226,-2758.541967729848,33.804227451026705
2022-02-14,42900,43160.0,46200.0,43668.779949323805,46337.48795958283,43186.666666666664,44021.19047619047,-2660.6782851258395,-2738.969231209046,32.365150820200355
2022-02-15,41500,42880.0,45670.0,43305.48004741959,46033.20759489958,42633.333333333336,43573.57142857143,-2657.3296731633527,-2722.6413195999075,28.683160643510888
2022-02-16,43050,42890.0,45167.5,43262.71990299071,45848.386704241864,42690.0,43324.04761904762,-2500.7764338974303,-2678.2683424594125,37.201287026737525
2022-02-17,43650,42900.0,44660.0,43327.49398171896,45714.11317973218,42943.333333333336,43179.52380952381,-2301.758637505074,-2602.966401468545,40.17982999901695
2022-02-18,43700,42960.0,44170.0,43389.76047874626,45592.72848848205,43210.0,43088.09523809524,-2115.6135418984704,-2505.4958295545302,40.43337761956162
2022-02-21,43550,43090.0,43757.5,43416.53233317561,45471.156876482455,43406.666666666664,43029.04761904762,-1957.6296232106906,-2395.9225882857627,39.88717830727267
2022-02-22,42400,43270.0,43327.5,43246.76537955586,45290.52767559523,43176.666666666664,42899.76190476191,-1903.2817709828232,-2297.394424825175,35.88484323035663
2022-02-23,43050,43270.0,42915.0,43213.91553491587,45160.2106753604,43103.333333333336,42873.333333333336,-1787.1598722745766,-2195.3475143150554,39.57541781212077
2022-02-24,41750,42890.0,42520.0,42969.58490308239,44963.93045552054,42596.666666666664,42762.380952380954,-1779.5183861382102,-2112.1816886796864,35.21010583249685
2022-02-25,43000,42750.0,42525.0,42974.660052719395,44852.00550805699,42633.333333333336,42808.09523809524,-1653.5369552776465,-2020.4527419992785,41.85177975073897
2022-02-28,43350,42710.0,42612.5,43037.27806022196,44767.200520188104,42833.333333333336,42886.666666666664,-1508.0696011244727,-1917.9761138243175,43.59530503034177
2022-03-02,44000,43030.0,42805.0,43197.862826830984,44724.26313899589,43263.333333333336,43018.80952380953,-1325.0616216469207,-1799.3932153888384,46.78643278164144
2022-03-03,44400,43300.0,42990.0,43398.35543308489,44706.265558543884,43720.0,43170.71428571428,-1134.6700522938845,-1666.4485827698477,48.709511617221544
2022-03-04,44400,43830.0,43115.0,43565.39090026227,44689.39986648352,44086.666666666664,43305.0,-972.5721554811826,-1527.6732973121148,48.70951161722154
2022-03-07,45900,44410.0,43275.0,43954.67634826787,44755.57324489243,44776.666666666664,43570.23809523809,-714.8308157506472,-1365.1048009998212,55.676005246962326
2022-03-08,44100,44560.0,43380.0,43978.90649720026,44719.98914575328,44673.333333333336,43648.80952380953,-648.340241138394,-1221.7518890275358,47.36260124796369
2022-03-10,45500,44860.0,43510.0,44232.5052903937,44762.04751716986,44986.666666666664,43850.71428571428,-477.1770816428907,-1072.8369275506068,53.21408687896925
2022-03-11,44250,44830.0,43572.5,44235.421872805106,44734.61067760756,44783.333333333336,43921.19047619047,-437.3520754097408,-945.7399571224337,48.075302341071165
2022-03-14,42600,44470.0,43522.5,43962.78943941868,44620.91073412792,44040.0,43828.57142857143,-532.7900098377868,-863.1499676655044,42.2723523857954
2022-03-15,43200,43930.0,43512.5,43835.633721731545,44545.65089675573,43616.666666666664,43797.857142857145,-553.6283914000742,-801.2456524124184,44.87793168735937
2022-03-16,43600,43830.0,43547.5,43796.3552195763,44495.830017244305,43506.666666666664,43806.19047619047,-531.7367713545755,-747.3438762008498,46.60810340155993
2022-03-17,43850,43500.0,43665.0,43805.297195418454,44461.97644097633,43513.333333333336,43835.0,-488.5825189388124,-695.5916047484423,47.71275210467084
2022-03-18,44350,43520.0,43730.0,43896.09097303988,44456.13481822586,43796.666666666664,43900.23809523809,-409.31827537729987,-638.3369388742138,49.943369723168516
2022-03-21,44200,43840.0,43757.5,43946.74711615084,44442.833207833224,44023.333333333336,43945.0,-354.5178762863434,-581.5731263566398,49.26437213018755
2022-03-22,44350,44070.0,43790.0,44013.96105914789,44438.03289137317,44193.333333333336,44001.42857142857,-295.57718894971913,-524.3739388752557,49.99648096215307
2022-03-23,44900,44330.0,43857.5,44161.64360720084,44461.82346570567,44470.0,44107.142857142855,-202.15554287174018,-459.93025967455264,52.69206403734503
2022-03-24,45100,44580.0,43992.5,44318.04462738274,44494.561543279495,44726.666666666664,44225.47619047619,-110.70376269244298,-390.0849602781307,53.67012355407777
2022-03-25,44450,44600.0,44062.5,44340.03816072543,44492.28394492775,44683.333333333336,44269.04761904762,-89.64377807683923,-329.9967238378724,50.04860041456845
2022-03-28,46100,44980.0,44280.0,44633.375928827445,44574.17043235993,45183.333333333336,44463.09523809524,59.50172301033308,-252.09703446823133,57.82787990510831
2022-03-29,45800,45270.0,44420.0,44827.819236983974,44636.39988050976,45456.666666666664,44607.857142857145,151.74390508136275,-171.32884655831253,56.116661152301894
2022-03-30,45200,45330.0,44512.5,44889.85094941695,44664.9214049485,45433.333333333336,44682.142857142855,174.42089781415416,-102.1788976838192,52.75432587450467
2022-03-31,46100,45530.0,44617.5,45091.546753244824,44737.32865919651,45690.0,44833.333333333336,261.9949417180251,-29.34412980345035,56.92363577313368
