Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,62200,,,62200.0,62200.0,,,0.0,0.0,
2022-01-04,60400,,,61218.181818181816,61278.04878048781,,,-143.58974358974228,-28.71794871794846,
2022-01-05,58500,,,60142.857142857145,60306.50277557495,,,-406.0194316604611,-104.17824530645099,
2022-01-06,57900,,,59420.86438152013,59660.15776804618,,,-654.8629829220226,-214.31519282956532,
2022-01-07,58400,59480.0,,59136.4007740271,59382.953305108815,58806.666666666664,,-802.4770133073253,-331.9475569251173,
2022-01-10,58200,58680.0,,58901.74986304019,59160.98905266585,58380.0,,-924.9384101811811,-450.54572757633,
2022-01-11,57400,58080.0,,58554.56541021055,58871.14733041118,57953.333333333336,,-1074.161004197107,-575.2687829004855,
2022-01-12,57900,57960.0,,58412.410482307496,58728.04478159128,57893.333333333336,,-1138.946102025002,-688.0042467253888,
2022-01-13,56400,57660.0,,57996.37905804505,58416.10877539195,57373.333333333336,,-1296.3823342032701,-809.6798642209651,
2022-01-14,57200,57420.0,,57838.08361767116,58266.11672770729,57220.0,,-1341.1385578847767,-915.9716029537275,
2022-01-17,56600,57100.0,,57599.645433069956,58075.086302999924,56946.666666666664,,-1408.7835928730274,-1014.5340009375875,
2022-01-18,56000,56820.0,,57299.358706120795,57852.11252874797,56580.0,,-1493.5905736430432,-1110.3453154786787,
2022-01-19,56400,56520.0,,57134.01160718851,57704.88800459796,56440.0,,-1511.104982239005,-1190.497248830744,
2022-01-20,56900,56620.0,,57091.715363488074,57627.44707012842,56566.666666666664,,-1467.7204877516415,-1245.9418966149235,
2022-01-21,56100,56400.0,,56914.95687663953,57487.296836853944,56393.333333333336,,-1480.8212913555326,-1292.9177755630453,27.644861573677506
2022-01-24,55100,56100.0,,56595.167320598215,57277.51049451886,55960.0,,-1553.9820771835948,-1345.1306358871552,23.895512162798408
2022-01-25,53400,55580.0,,56037.50372652473,56949.956348882784,55060.0,,-1729.2051193316875,-1421.9455325760619,19.142457649365035
2022-01-26,54000,55100.0,,55684.66685334047,56709.61575683036,54533.333333333336,,-1798.9188404524903,-1497.3401941513478,24.825902950563144
2022-01-27,51600,54040.0,,54981.89157093758,56306.95365316777,53366.666666666664,,-2024.4903445733144,-1602.7702242357411,19.05600960512183
2022-01-28,52600,53340.0,56660.0,54574.27741302529,56023.6626515238,52886.666666666664,55407.619047619046,-2098.3769606842397,-1701.891571525441,26.700319032869594
2022-02-03,53300,52980.0,56215.0,54357.17883512243,55821.3435239644,52873.333333333336,55087.619047619046,-2076.5117515325765,-1776.8156075268682,31.571909711254825
2022-02-04,55300,53360.0,55960.0,54517.21457140468,55783.62282620426,53646.666666666664,55000.47619047619,-1876.172778533044,-1796.6870417281034,43.18945337554699
2022-02-07,55900,53740.0,55830.0,54751.21097070319,55791.83981078451,54493.333333333336,54994.76190476191,-1649.9679104731986,-1767.3432154771226,46.14354263905715
2022-02-08,56900,54800.0,55780.0,55113.90484360002,55868.32492229948,55546.666666666664,55096.666666666664,-1374.1667413610921,-1688.7079206539167,50.74096088488229
2022-02-09,58300,55940.0,55775.0,55650.54609645622,56032.64237193391,56713.333333333336,55336.666666666664,-1030.7422727819576,-1557.114791079525,56.35784127936808
2022-02-10,57400,56760.0,55735.0,55944.69125106702,56123.23218575514,57200.0,55491.42857142857,-821.7260393050747,-1410.037040724635,52.234354297133045
2022-02-11,56900,57080.0,55710.0,56105.07691626007,56173.753060725976,57246.666666666664,55602.380952380954,-688.4885226003316,-1265.7273370997743,50.04370956555846
2022-02-14,57100,57320.0,55670.0,56271.90948951465,56232.964525827614,57253.333333333336,55734.76190476191,-560.2997158077196,-1124.6418128413634,50.93020126269563
2022-02-15,55000,56940.0,55600.0,56058.84748987942,56155.41045257826,56480.0,55670.95238095238,-621.0030755478947,-1023.9140653826697,42.4185423224053
2022-02-16,55700,56420.0,55525.0,55998.78655498387,56127.19606830134,56066.666666666664,55680.47619047619,-605.6452739135784,-940.2603070888515,45.677523202901185
2022-02-17,54900,55920.0,55440.0,55815.01029752141,56052.24112928297,55560.0,55620.95238095238,-650.5285316198788,-882.3139519950571,42.70289233994381
2022-02-18,55000,55540.0,55390.0,55678.7766965127,55988.82564405404,55253.333333333336,55579.04761904762,-670.3028385792859,-839.911729311903,43.20082118526579
2022-02-21,55400,55200.0,55340.0,55632.20036453831,55953.78208190764,55206.666666666664,55580.0,-646.2479185209377,-801.17896715371,45.250379931421996
2022-02-22,54900,55180.0,55240.0,55509.91854302594,55891.804194414544,55106.666666666664,55538.09523809524,-659.9228624237003,-772.9277462077081,43.15416537714509
2022-02-23,55400,55120.0,55205.0,55491.567717948856,55863.19912605627,55180.0,55553.333333333336,-623.2303214651984,-742.9882612592062,45.85534684471347
2022-02-24,53800,54900.0,55140.0,55209.24145017049,55744.44834594709,54740.0,55419.52380952381,-715.0155919795798,-737.393727403281,39.40298264065038
2022-02-25,53300,54560.0,55135.0,54890.65998784478,55605.1385491422,54206.666666666664,55244.28571428572,-818.664842758888,-753.6479504744025,37.621429077965445
2022-02-28,52700,54020.0,55070.0,54525.19192469753,55441.11102854001,53586.666666666664,55012.380952380954,-938.4052547055398,-790.59941132063,35.544561182109426
2022-03-02,52400,53520.0,55110.0,54170.70384758399,55270.911269749115,53046.666666666664,54758.09523809524,-1045.4565147240864,-841.5708320013214,34.51848410032569
2022-03-03,52600,52960.0,55110.0,53908.741639706335,55122.66765314091,52740.0,54519.04761904762,-1101.4601342289388,-893.5486924468449,35.84805074624331
2022-03-04,52800,52760.0,55085.0,53723.84653431208,54994.76101687834,52686.666666666664,54299.04761904762,-1116.830945701644,-938.2051430978047,37.22080195219586
2022-03-07,50900,52280.0,54865.0,53252.982969472796,54770.93469903641,52066.666666666664,53900.47619047619,-1267.7131376451944,-1004.1067420072827,30.535824881620442
2022-03-08,50200,51780.0,54580.0,52743.952050164975,54522.827268240064,51373.333333333336,53456.19047619047,-1427.3192636676904,-1088.7492463393644,28.50459885841326
2022-03-10,52600,51820.0,54365.0,52719.95216709903,54419.14796303903,51646.666666666664,53267.619047619046,-1344.6480602532029,-1139.9290091221321,42.60210900346427
2022-03-11,53000,51900.0,54100.0,52766.63957158718,54343.106319106686,52040.0,53137.619047619046,-1232.6447178600502,-1158.4721508697157,44.564064370854915
2022-03-14,52300,51800.0,53845.0,52688.84858442251,54234.28035124182,52173.333333333336,52966.19047619047,-1186.6860340151616,-1164.114927498805,41.867020707224704
2022-03-15,52000,52020.0,53600.0,52574.01868300598,54115.9396477482,52240.0,52790.47619047619,-1161.0866545467725,-1163.5092729083985,40.72934493906552
2022-03-16,55800,53140.0,53535.0,53111.76732603214,54204.66305316911,53500.0,53000.0,-824.6645007804109,-1095.740318482801,56.75805830996604
2022-03-17,55600,53740.0,53565.0,53526.527462704566,54277.80481568832,54320.0,53196.666666666664,-567.6424201853297,-990.1207388233069,55.90119584944476
2022-03-18,57600,54660.0,53660.0,54205.5141625845,54451.118155538825,55606.666666666664,53580.95238095238,-200.2588251870693,-832.1483560960594,62.06816923805299
2022-03-21,60700,56340.0,53950.0,55288.02759531438,54775.63550253742,57620.0,54251.42857142857,337.15292388777016,-598.2881000992935,69.24693857292431
2022-03-22,60200,57980.0,54210.0,56106.75213873306,55056.12420685185,58906.666666666664,54846.666666666664,714.4737765944083,-335.7357247605532,67.04303369310169
2022-03-23,59100,58640.0,54395.0,56605.65850810867,55264.37740464824,59280.0,55312.380952380954,914.2040882409856,-85.74776216024543,62.34213085236692
2022-03-24,63100,60140.0,54805.0,57688.10611813832,55666.34019484941,60766.666666666664,56141.42857142857,1379.357989522592,207.27338817632204,70.45484068753505
2022-03-25,64000,61420.0,55235.0,58740.134889629495,56092.28437091083,62053.333333333336,57017.142857142855,1799.8704991931154,525.7928103796808,71.92060822399321
2022-03-28,59400,61160.0,55515.0,58850.116455368596,56260.75766159926,61380.0,57413.80952380953,1741.8689554968732,769.0080394031193,56.493703019528006
2022-03-29,63100,61740.0,56005.0,59558.45210188717,56607.95297138523,62026.666666666664,58136.19047619047,1971.7324872961472,1009.5529289817249,63.31070475680441
2022-03-30,62200,62360.0,56480.0,59998.7213362931,56890.94387304347,62180.0,58726.19047619047,2057.560240275103,1219.1543912404006,60.81453485266387
2022-03-31,61900,62120.0,56955.0,60315.60786212426,57143.67706952325,62026.666666666664,59242.380952380954,2077.4246024064923,1390.808433473619,59.96581537977975
