Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,109500,,,109500.0,109500.0,,,0.0,0.0,
2022-01-04,109000,,,109227.27272727272,109243.90243902439,,,-39.886039886041544,-7.977207977208309,
2022-01-05,106500,,,108148.35164835166,108284.29817605074,,,-270.11144390061963,-60.404055161890575,
2022-01-06,103500,,,106652.01192250373,106999.31846524171,,,-686.7255189103307,-185.66834791157862,
2022-01-07,104000,106500.0,,105913.02945603096,106339.54039187828,105400.0,,-965.4205860101356,-341.61879553129006,
2022-01-10,103000,105200.0,,105183.05887660726,105712.92344648823,104233.33333333333,,-1252.541557828954,-523.8033479908229,
2022-01-11,103000,104000.0,,104678.36490577817,105266.40255364969,103500.0,,-1463.2199083100422,-711.6866600546668,
2022-01-12,105000,103700.0,,104748.21585255445,105227.14704292995,103833.33333333333,,-1452.0622637204506,-859.7617807878237,
2022-01-13,102500,103500.0,,104283.43570386672,104861.73510428656,103433.33333333333,,-1626.203000709007,-1013.0500247720604,
2022-01-14,100500,102800.0,,103531.40610838728,104323.76877019843,102433.33333333333,,-1903.64998267201,-1191.1700163520504,
2022-01-17,98600,101920.0,,102581.68388992603,103667.50383934786,101033.33333333333,,-2250.8959089088894,-1403.1151948634183,
2022-01-18,96300,100580.0,,101402.481139092,102875.84513315324,99160.0,,-2680.779231072709,-1658.6480021052766,
2022-01-19,95200,98620.0,,100262.15497607006,102097.61849795438,97366.66666666667,,-3074.781500789977,-1941.8747018422168,
2022-01-20,97000,97520.0,,99672.53934326375,101607.1597784857,96826.66666666667,,-3204.8427491349576,-2194.468311300765,
2022-01-21,96100,96640.0,,99035.78743664695,101101.85275821053,96353.33333333333,,-3342.015034885175,-2423.977656017647,21.763392083641325
2022-01-24,95900,96100.0,,98483.27179007028,100644.73421029307,96106.66666666667,,-3427.354973465728,-2624.6531195072635,21.439236186600507
2022-01-25,92400,95320.0,,97421.53734245418,99948.25721195442,94873.33333333333,,-3734.3608515733795,-2846.5946659204865,16.740183733894977
2022-01-26,91800,94640.0,,96448.04922924067,99284.39757102849,93700.0,,-3980.198951497354,-3073.31552303586,16.08915218759817
2022-01-27,88600,92960.0,,95097.77631558046,98442.41605870701,91686.66666666667,,-4382.719412104489,-3335.196300849586,13.151499233663964
2022-01-28,92300,92200.0,99535.0,94618.99161739483,97973.00333856198,91466.66666666667,96437.14285714286,-4352.982229821137,-3538.7534866438964,29.23927581945837
2022-02-03,96300,92280.0,98875.0,94905.38492985256,97848.7292932163,92833.33333333333,96129.04761904762,-3960.988913447305,-3623.200572004578,41.79250745346453
2022-02-04,95400,92880.0,98195.0,94989.34155903751,97671.55671252814,93873.33333333333,95798.09523809524,-3680.527039781824,-3634.6658655600277,40.070042941148294
2022-02-07,95200,93560.0,97630.0,95024.9894011739,97497.0487507545,94646.66666666667,95512.85714285714,-3434.803041442414,-3594.693300736505,39.67867862510089
2022-02-08,95600,94960.0,97235.0,95122.04537930927,97366.11462528884,95326.66666666667,95319.52380952382,-3171.2323528124543,-3510.001111151695,40.9214911494933
2022-02-09,95800,95660.0,96825.0,95236.23481784387,97260.28635759694,95606.66666666667,95182.85714285714,-2912.6372850503976,-3390.528345931436,41.56971863271031
2022-02-10,96000,95600.0,96475.0,95364.65079218682,97176.79020110302,95720.0,95104.28571428571,-2660.8874480852537,-3244.6001663622,42.252087009174375
2022-02-11,94000,95320.0,96025.0,95135.54117154788,96970.17219039863,95186.66666666667,94868.57142857143,-2592.8682031913486,-3114.25377372803,37.531832971307765
2022-02-14,95300,95340.0,95540.0,95163.11826770085,96863.40439644185,95180.0,94799.52380952382,-2406.324712711037,-2972.6679615246317,42.06262435868802
2022-02-15,92500,94720.0,95040.0,94717.01002803518,96588.94412034344,94233.33333333333,94510.0,-2456.1117248679366,-2869.356714193293,36.00529677965332
2022-02-16,94500,94460.0,94740.0,94680.68867834458,96459.52620336169,94160.0,94458.57142857143,-2307.5846064738435,-2757.002292649403,42.387333771943304
2022-02-17,94400,94140.0,94530.0,94633.74242241865,96333.73402966821,94140.0,94426.19047619047,-2172.897153527214,-2640.1812648249656,42.160931815035006
2022-02-18,95200,94380.0,94475.0,94728.39559321536,96265.40720646092,94493.33333333333,94490.0,-1978.7927712638775,-2507.903566112748,44.70542488484947
2022-02-21,97000,94720.0,94565.0,95107.92158046042,96309.12600246213,95366.66666666667,94730.47619047618,-1660.5765997326089,-2338.4381728367207,50.03190132836346
2022-02-22,96100,95440.0,94520.0,95273.60458486715,96296.82631728526,95826.66666666667,94876.66666666667,-1464.1328573678475,-2163.577109742946,47.5647413437615
2022-02-23,95800,95700.0,94505.0,95361.4859369899,96267.92914452923,95946.66666666667,94998.57142857143,-1317.4702916134847,-1994.3557461170537,46.73741206357623
2022-02-24,94300,95680.0,94425.0,95184.3216652261,96154.66178309954,95480.0,94979.04761904762,-1307.2079362035001,-1856.9261841343432,42.73491697507715
2022-02-25,96200,95880.0,94615.0,95353.80064291954,96157.24562079624,95653.33333333333,95148.09523809524,-1132.7037211534916,-1712.081691538173,48.7248270910453
2022-02-28,96100,95700.0,94830.0,95478.28916933035,96154.01346608633,95726.66666666667,95289.52380952382,-991.0527980099723,-1567.8759128325328,48.43765344062092
2022-03-02,97300,95940.0,95265.0,95782.15573399977,96218.15010227595,96260.0,95524.76190476191,-773.0521853133832,-1408.911167328703,52.08698803762703
2022-03-03,98600,96500.0,95580.0,96252.1161956821,96350.34994247867,97146.66666666667,95842.38095238095,-489.74056926548656,-1225.0770477160597,55.74146194002604
2022-03-04,98000,97240.0,95665.0,96543.59542640882,96441.19427381577,97646.66666666667,96072.85714285714,-310.05493766936706,-1042.0726257067213,53.705440908546755
2022-03-07,96400,97280.0,95715.0,96519.65154222393,96438.94252759997,97366.66666666667,96142.85714285714,-293.3775347075134,-892.3336075068797,48.60680079754719
2022-03-08,96600,97380.0,95785.0,96533.04822662595,96447.68462485551,97140.0,96227.14285714286,-261.0134436723456,-766.069574739973,49.25531770942363
2022-03-10,98600,97640.0,95935.0,96877.65325869787,96563.73798354993,97546.66666666667,96495.23809523809,-73.13829036934476,-627.4833178658473,55.32621746843573
2022-03-11,98600,97640.0,96075.0,97164.78956018983,96672.8462056949,97866.66666666667,96749.04761904762,74.89082735088596,-487.0084888225007,55.32621746843573
2022-03-14,96900,97420.0,96120.0,97120.6479088335,96684.94554251758,97620.0,96827.61904761905,54.40206399949966,-378.7263782581006,49.489557567336234
2022-03-15,96800,97500.0,96260.0,97067.19644127821,96691.03950714963,97413.33333333333,96892.38095238095,29.752439561794745,-297.0306146941216,49.16101622874913
2022-03-16,98200,97820.0,96405.0,97256.02691382586,96770.53791312556,97646.66666666667,97077.14285714286,121.78190828370862,-213.26811009855558,53.78650842051879
2022-03-17,99100,97920.0,96735.0,97563.39629179577,96892.64531029772,98073.33333333333,97333.80952380953,264.29181217370206,-117.75612564410407,56.524931364057224
