Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,59200,,,59200.0,59200.0,,,0.0,0.0,
2022-01-04,58700,,,58927.27272727273,58943.90243902439,,,-39.886039886041544,-7.977207977208309,
2022-01-05,57100,,,58204.395604395606,58299.0483743061,,,-198.31657210575213,-46.04508080291708,
2022-01-06,55100,,,57205.06706408345,57439.83933180592,,,-479.727199091496,-132.78150446063287,
2022-01-07,55600,57140.0,,56757.815523543315,57035.11883823228,56420.0,,-654.8525940336986,-237.19572237524602,
2022-01-10,55100,56320.0,,56342.386645612445,56672.0214915648,55740.0,,-824.4824323042703,-354.6530643610509,
2022-01-11,54100,55400.0,,55823.97688926768,56248.69169422015,55000.0,,-1027.7595713219125,-489.2743657532232,
2022-01-12,54800,54940.0,,55601.595201207776,56035.221021537196,54800.0,,-1119.4694714488724,-615.313386892353,
2022-01-13,54600,54840.0,,55394.53253593329,55842.91496410577,54686.666666666664,,-1194.5188864036245,-731.1544867946074,
2022-01-14,54200,54560.0,,55157.096541219056,55640.281626838245,54473.333333333336,,-1271.6143666513235,-839.2464627659506,
2022-01-17,53600,54260.0,,54857.22077577161,55406.35091885365,54153.333333333336,,-1365.388724490389,-944.4749151108383,
2022-01-18,52800,54000.0,,54471.037637560345,55126.29128925575,53666.666666666664,,-1487.116341321671,-1053.003200353005,
2022-01-19,52100,53460.0,,54035.1223657542,54819.466379905134,53033.333333333336,,-1621.3802423567613,-1166.6786087537562,
2022-01-20,53500,53240.0,,53938.402095065816,54692.51615965425,53046.666666666664,,-1596.4145780126637,-1252.6258026055377,
2022-01-21,52700,52940.0,,53717.67537397924,54509.6937168738,52866.666666666664,,-1622.4794896745516,-1326.5965400193404,26.446174455838882
2022-01-24,51400,52500.0,,53309.308437865024,54236.42595202179,52353.333333333336,,-1728.1146257096552,-1406.9001571574036,22.235146517117034
2022-01-25,49950,51930.0,,52722.99672736892,53874.32852055603,51503.333333333336,,-1906.8530983786477,-1506.8907454016526,18.66516180215926
2022-01-26,50700,51650.0,,52372.672047980814,53615.70774595092,51093.333333333336,,-1965.3307838215405,-1598.57875308563,25.3421383715627
2022-01-27,48550,50660.0,,51714.973507436116,53216.505803065535,50060.0,,-2160.25967374038,-1710.9149372165803,20.218165024091075
