Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,87300,,,87300.0,87300.0,,,0.0,0.0,
2022-01-04,87600,,,87463.63636363635,87453.65853658538,,,23.931623931624927,4.786324786324985,
2022-01-05,84900,,,86449.45054945056,86560.58683584457,,,-172.97586870237137,-30.766113911414283,
2022-01-06,84900,,,85950.67064083458,86114.58194367915,,,-325.2768857950723,-89.6682682881459,
2022-01-07,86700,86280.0,,86159.47108148786,86243.35986499282,86020.0,,-297.3044417987985,-131.19550299027642,
2022-01-10,81600,85140.0,,85016.92178788953,85372.0998610639,84460.0,,-678.838231353875,-240.72404866299615,
2022-01-11,81700,83960.0,,84250.09389973788,84767.70783124935,83313.33333333333,,-962.0474598502769,-384.9887309004523,
2022-01-12,84400,83860.0,,84282.6496849086,84713.52457169126,83460.0,,-957.5869128334889,-499.5083672870597,
2022-01-13,83700,83620.0,,84162.19683476212,84577.72185450204,83406.66666666667,,-999.0199667339039,-599.4106871764286,
2022-01-14,78400,81960.0,,83016.8509391545,83815.77590876672,81666.66666666667,,-1442.8889409666008,-768.106337934463,
2022-01-17,77300,81100.0,,81915.86265362034,83068.70253842576,80113.33333333333,,-1861.9556422490277,-986.876198797376,
2022-01-18,75000,79760.0,,80617.61135533104,82201.69808867922,78080.0,,-2352.5411701227276,-1260.0091930624465,
2022-01-19,74600,77800.0,,79511.27350222047,81430.98895857978,76360.0,,-2742.0022968599806,-1556.4078138219534,
2022-01-20,78500,76760.0,,79328.49166925241,81148.98882616918,76593.33333333333,,-2704.7766577298025,-1786.0815826035232,
2022-01-21,76700,76420.0,,78860.00219408996,80740.77381563479,76573.33333333333,,-2788.37734892148,-1986.5407358671146,33.110128097412236
2022-01-24,74500,75860.0,,78091.7838502091,80192.35893403678,75933.33333333333,,-2997.598661405893,-2188.75232097487,29.421098463269626
2022-01-25,73700,75600.0,,77325.27063804877,79643.91449093152,75213.33333333333,,-3191.175488436056,-2389.2369544671074,28.191070892304246
2022-01-26,72800,75240.0,,76541.62429598047,79086.32303323771,74280.0,,-3378.2664442182577,-2587.0428524173376,26.831987780015712
2022-01-27,69300,73400.0,,75295.68803180233,78315.11407991916,72300.0,,-3765.5511936861585,-2822.744520671102,22.324570434248788
2022-01-28,71000,72260.0,79230.0,74560.56503917687,77756.08200433082,71500.0,76313.80952380953,-3890.4546162756887,-3036.2865397920195,28.598608643755846
2022-02-03,73000,71960.0,78515.0,74294.69165299964,77402.7906886171,71746.66666666667,75720.47619047618,-3784.4335984609206,-3185.9159515257998,35.227209390403985
2022-02-04,75400,72300.0,77905.0,74482.30818275169,77257.88304371592,72893.33333333333,75423.80952380953,-3466.788258595101,-3242.0904129396604,42.16572274886557
2022-02-07,75600,72860.0,77440.0,74671.44516333673,77140.82572945264,73993.33333333333,75204.28571428571,-3162.458852619384,-3226.164100875605,42.71641309367023
2022-02-08,76200,74240.0,77005.0,74929.44977248443,77075.89002653383,75106.66666666667,75086.19047619047,-2840.121467850695,-3148.9555742706234,44.42603269616675
2022-02-09,79700,75980.0,76655.0,75732.96439625983,77253.21102733463,76926.66666666667,75342.85714285714,-2276.009596959557,-2974.3663788084104,53.20035053429804
2022-02-10,83700,78120.0,76760.0,77072.50521794416,77680.32197533481,79500.0,76013.80952380953,-1489.015856552447,-2677.2962743572175,60.81483156542166
2022-02-11,81300,79300.0,76740.0,77782.25435766207,77915.74535097575,80560.0,76446.19047619047,-1046.9094689793128,-2351.2189132816366,55.02948848258004
2022-02-14,80200,80220.0,76530.0,78187.67135278297,78061.76911494083,80860.0,76775.71428571429,-776.3485161060089,-2036.244833846511,52.56144377090343
2022-02-15,81500,81280.0,76420.0,78742.53108992858,78278.03552352147,81286.66666666667,77249.04761904762,-451.819581335134,-1719.3597833442357,55.123071539203245
2022-02-16,81300,81600.0,76565.0,79170.57915501836,78465.25754824199,81293.33333333333,77713.80952380953,-208.36449476152484,-1417.1607256276934,54.63428286641357
2022-02-17,87300,82320.0,77065.0,80530.25591066445,79004.86780190846,83193.33333333333,78736.19047619047,463.3836727221933,-1041.051845957716,64.7365430002551
2022-02-18,89400,83940.0,77785.0,82012.88402099714,79631.35191663806,85553.33333333333,79910.95238095238,1151.9227364462276,-602.4569294769274,67.46718716014342
2022-02-21,90000,85900.0,78555.0,83347.32326936186,80248.43503309636,87573.33333333333,81074.28571428571,1726.1123420824588,-136.74307516505013,68.22428531916466
2022-02-22,89900,87580.0,79125.0,84441.6593079808,80816.08902714428,88906.66666666667,82154.76190476191,2148.327989323603,320.2711377326806,67.94049816339339
2022-02-23,88400,89000.0,79710.0,85102.5015611174,81257.19606581006,89180.0,83038.09523809524,2334.983234434767,723.213557073098,63.66275125531664
2022-02-24,87000,88940.0,80335.0,85419.1981063876,81587.73248305968,88513.33333333333,83732.38095238095,2342.9326916080754,1047.1573839800935,59.87358975178181
2022-02-25,84700,88000.0,80885.0,85299.19066342413,81765.10148171586,87100.0,84148.09523809524,2138.985027665709,1265.5229127172167,54.169373167152166
2022-02-28,85900,87180.0,81540.0,85399.42375563266,81998.56268861632,86400.0,84625.71428571429,2050.5475698457158,1422.5278441429166,56.498041375465085
2022-03-02,86700,86540.0,82410.0,85616.36358428882,82261.68478079201,86240.0,85117.14285714286,2021.7085636352276,1542.363988041379,58.02910579261885
2022-03-03,86100,86080.0,83165.0,85697.02453349615,82474.72283122159,86093.33333333333,85468.57142857143,1928.211238955948,1619.533438224293,56.42511075864688
2022-03-04,84700,85620.0,83750.0,85530.75950871521,82597.26628552313,85633.33333333333,85614.76190476191,1721.3035203159961,1639.8874546426337,52.76050268215088
2022-03-07,80800,84840.0,84020.0,84741.92687931964,82499.02477809158,84026.66666666667,85333.80952380953,1228.4692277027498,1557.603809254657,44.156989546722706
2022-03-08,80000,83660.0,84240.0,83951.2944313806,82363.37930117863,82413.33333333333,84950.95238095238,764.5281810376473,1398.988683611255,42.62164049080009
2022-03-10,83900,83100.0,84625.0,83942.7425534903,82446.23425598544,82493.33333333333,84918.57142857143,703.4401452625607,1259.8789759415163,51.478869667215044
2022-03-11,85500,82980.0,84915.0,84202.35644710361,82609.86297787141,83293.33333333333,85001.90476190476,775.1980642961862,1162.9427936124503,54.57677257505378
2022-03-14,77400,81520.0,84600.0,83068.37198610653,82332.35985641951,81433.33333333333,84286.19047619047,176.4306440029177,965.6403636905438,40.48463581394518
2022-03-15,75800,80520.0,84325.0,81856.7465904865,81986.36743856895,79526.66666666667,83448.09523809524,-422.33506299612054,688.045278353211,38.37670510198622
2022-03-16,77600,80040.0,84195.0,81147.17654720019,81755.2750931807,78553.33333333333,82807.61904761905,-743.0508156250289,401.826059557563,42.033339825665024
2022-03-17,78600,78980.0,84050.0,80722.5911360775,81589.8796436641,78073.33333333333,82274.76190476191,-906.0839458542468,140.24405847520103,44.020698774210125
