Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,16800,,,16800.0,16800.0,,,0.0,0.0,
2022-01-04,17250,,,17045.454545454544,17030.48780487805,,,35.89743589743739,7.179487179487478,
2022-01-05,16550,,,16849.450549450554,16862.450436161773,,,7.7726641829212895,7.29812258017424,
2022-01-06,16500,,,16736.95976154993,16765.102520228527,,,-18.339594729397504,2.1705791182598917,
2022-01-07,16550,16730.0,,16684.863470221462,16717.78512862218,16646.666666666668,,-34.60031501991034,-5.183599709374155,
2022-01-10,16950,16760.0,,16751.303535174506,16761.35692482827,16720.0,,-15.037058096299006,-7.154291386759125,
2022-01-11,16150,16540.0,,16612.29021212917,16660.733503157193,16516.666666666668,,-63.35602138296963,-18.394637386001225,
2022-01-12,15350,16300.0,,16338.152942883233,16467.59153668953,16120.0,,-164.30841687670545,-47.577393284142076,
2022-01-13,15250,16050.0,,16113.195945976719,16304.445774142205,15770.0,,-249.50692141593936,-87.96329891050154,
2022-01-14,15100,15760.0,,15911.804037395968,16155.892214095324,15453.333333333334,,-325.38031475675416,-135.44670207975207,
2022-01-17,15150,15400.0,,15765.090867860428,16040.560548748632,15250.0,,-377.12863928580555,-183.7830895209628,
2022-01-18,15200,15210.0,,15659.01155576374,15950.239988215406,15183.333333333334,,-409.38583213009406,-228.90363804278905,
2022-01-19,15200,15180.0,,15574.622280822163,15874.175824401218,15180.0,,-429.9931959581827,-269.1215496258678,
2022-01-20,15400,15210.0,,15543.060314157698,15828.553801542475,15253.333333333334,,-425.2839431630018,-300.3540283332946,
2022-01-21,14950,15180.0,,15437.356149838075,15747.94248437257,15166.666666666666,,-452.645252874323,-330.8122732415003,26.449041536907927
2022-01-24,14550,15060.0,,15281.00685423792,15642.671967424409,14956.666666666666,,-500.83265788604876,-364.81635017041,22.574239376543805
2022-01-25,14250,14870.0,,15101.061665094878,15525.025483401772,14686.666666666666,,-556.8104520361358,-403.21517054355513,20.185714997041583
2022-01-26,13850,14600.0,,14884.413871853452,15388.556814454809,14346.666666666666,,-626.231111817131,-447.81835879827037,17.523405809047404
2022-01-27,13050,14130.0,,14568.799215108242,15204.267378368722,13830.0,,-737.3016445593094,-505.71501595047823,13.646742875762708
2022-01-28,14250,13990.0,15415.0,14514.242964439663,15131.3408228335,13870.0,14853.809523809523,-720.1939235503705,-548.6107974704568,36.38183058472001
2022-02-03,14250,13930.0,15287.5,14469.223904057444,15065.873057852254,13956.666666666666,14742.857142857143,-698.5831002692867,-578.6052580302228,36.381830584720014
2022-02-04,15550,14190.0,15202.5,14652.676296423799,15100.901029281598,14496.666666666666,14767.857142857143,-569.986778892151,-576.8815622026085,52.1951034929233
2022-02-07,16100,14640.0,15180.0,14897.593930246609,15171.443907827103,15133.333333333334,14853.333333333334,-418.8644555466235,-545.2781408714116,57.0583204540271
2022-02-08,15700,15170.0,15140.0,15033.031965859635,15207.924799349092,15486.666666666666,14902.857142857143,-327.5992226628423,-501.74235722969775,52.84758107742508
