Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,148500,,,148500.0,148500.0,,,0.0,0.0,
2022-01-04,146500,,,147409.0909090909,147475.60975609755,,,-159.54415954416618,-31.908831908833236,
2022-01-05,144500,,,146258.24175824178,146434.9722442506,,,-442.2691374258429,-113.98089301223519,
2022-01-06,139500,,,144082.71236959763,144572.3586902932,,,-1057.5976057100634,-302.7042355518008,
2022-01-07,145500,144900.0,,144477.63921737263,144776.41751338364,144033.33333333334,,-1049.0076864944422,-451.96492574032914,
2022-01-10,145500,144300.0,,144733.83068544362,144912.18740812843,144233.33333333334,,-1030.3231892571785,-567.636578443699,
2022-01-11,147000,144400.0,,145257.73867628624,145255.8211158207,145133.33333333334,,-884.284643680905,-630.9661914911402,
2022-01-12,152500,146000.0,,146830.57329337447,146323.2806350622,147833.33333333334,,-321.0432231447485,-568.9815978218619,
2022-01-13,149000,147900.0,,147279.06513463915,146681.93574127727,148833.33333333334,,-155.30087687686319,-486.24545363286217,
2022-01-14,147000,148200.0,,147223.59564691916,146721.1650523607,148533.33333333334,,-183.2201112609473,-425.6403851584792,
2022-01-17,142000,147500.0,,146217.60166931935,146179.8547407434,146466.66666666666,,-601.8665756785776,-460.88562326249894,
2022-01-18,141000,146300.0,,145238.14928855174,145623.26499315043,144300.0,,-1002.7791438043059,-569.2643273708604,
2022-01-19,138500,143500.0,,143999.340535768,144901.06249282823,141700.0,,-1504.8869491016667,-756.3888517170217,
2022-01-20,144000,142500.0,,143999.4597301114,144814.36829306197,141866.66666666666,,-1442.3801076781529,-893.587102909248,
2022-01-21,142500,141600.0,,143732.20337537208,144602.0144495154,141866.66666666666,,-1496.628250634938,-1014.1953324543861,43.62734959783169
2022-01-24,139500,141100.0,,142986.5027717342,144153.6693030798,141166.66666666666,,-1761.3910036565212,-1163.6344666948132,39.065333614470546
2022-01-25,126500,138200.0,,140109.0564702158,142662.36900251682,136300.0,,-2985.7904141018516,-1528.0656561762212,26.25388315527824
2022-01-26,128500,136200.0,,138098.7027553998,141508.52408131355,133066.66666666666,,-3751.5074403584294,-1972.7540130126629,30.054365380402853
2022-01-27,121000,131600.0,,135156.83599145012,139892.35452129185,128000.0,,-4906.966564173577,-2559.596523244846,24.87695371647837
2022-01-28,125500,128200.0,140725.0,133504.25737755353,138792.46903314508,125966.66666666667,137171.42857142858,-5397.346600619378,-3127.1465387197527,32.40146586943008
2022-02-03,129500,126200.0,139775.0,132822.05225225037,138102.2057853795,126400.0,136102.38095238095,-5400.9509414174245,-3581.9074192592875,38.31586708785084
2022-02-04,130500,127000.0,138975.0,132427.90397077537,137552.16441426944,127833.33333333333,135219.04761904763,-5262.453476898314,-3918.016630787093,39.73544792838548
2022-02-07,130000,127300.0,138250.0,132017.05151655106,137018.93253970507,128833.33333333333,134364.2857142857,-5133.859127467149,-4161.1851301231045,39.24907346830307
2022-02-08,128500,128800.0,137700.0,131423.40876320313,136430.95662103477,129233.33333333333,133435.7142857143,-5094.261171331978,-4347.800338364879,37.755988802116065
2022-02-09,132500,130200.0,137050.0,131604.74147354864,136165.3270669404,130466.66666666667,132940.47619047618,-4686.094554173847,-4415.459181526673,43.88623416414717
2022-02-10,133000,130900.0,136425.0,131839.33384214647,135955.61866016244,131400.0,132554.7619047619,-4273.017067179026,-4386.970758657144,44.620451095844146
