Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,574000,,,574000.0,574000.0,,,0.0,0.0,
2022-01-04,578000,,,576181.8181818182,576048.7804878048,,,319.08831908833236,63.81766381766647,
2022-01-05,572000,,,574527.4725274727,574632.8310864392,,,86.81747713091318,68.41762648031582,
2022-01-06,550000,,,566631.8926974665,568016.8788608218,,,-1851.136230694945,-315.49314495473635,
2022-01-07,567000,568200.0,,566734.4657062998,567793.1899183464,565400.0,,-1992.2551045676228,-650.8455368773136,
2022-01-10,549000,563200.0,,562290.4192581612,564266.916875083,559000.0,,-3516.0119988601655,-1223.878829273884,
2022-01-11,531000,553800.0,,555056.493451794,558791.5049373538,548266.6666666666,,-6105.667548532714,-2200.23657312565,
2022-01-12,543000,548000.0,,552438.1302895056,556464.5618099082,544666.6666666666,,-7107.754745016457,-3181.7402075038117,
2022-01-13,541000,546200.0,,550073.4926188719,554392.4566310259,542333.3333333334,,-7971.409901862498,-4139.67414637555,
2022-01-14,533000,539400.0,,546679.8121779781,551753.960437247,537933.3333333334,,-9195.397162618116,-5150.8187496240635,
2022-01-17,522000,534000.0,,541926.8136502334,548342.4877567734,532133.3333333334,,-10927.063567339676,-6306.0677131671855,
2022-01-18,517000,531200.0,,537247.5321484976,544974.6505832206,526466.6666666666,,-12558.117718419759,-7556.477714217701,
2022-01-19,501000,522800.0,,530583.4233302706,540516.2171776776,516400.0,,-14969.24997105042,-9039.032165584245,
2022-01-20,505000,515600.0,,525959.3676226531,537099.0845687299,510466.6666666667,,-16368.635639395798,-10504.952860346555,
2022-01-21,485000,506000.0,,518658.97064403904,532318.7560071117,500266.6666666667,,-18873.92485944531,-12178.747260166307,19.574154407804986
2022-01-24,476000,496800.0,,511142.5974127944,527369.6832126435,490266.6666666667,,-21339.619549120078,-14010.921717957062,17.91505673226523
2022-01-25,453000,484000.0,,500994.7689616959,521087.27647760627,475666.6666666667,,-24863.002915114514,-16181.337957388554,14.526467213626079
2022-01-26,441500,472100.0,,490691.991117422,514603.09471820097,461500.0,,-28257.528311091766,-18596.5760281292,13.18372231770128
2022-01-27,422000,455500.0,,478873.3936186117,507305.52897168644,444800.0,,-32150.589196132787,-21307.37866172992,11.279773252638496
2022-01-28,423000,443100.0,514175.0,469311.75505897426,500862.77301057416,433966.6666666667,488480.95238095237,-34754.547562519554,-23996.81244188785,11.981777828502874
2022-02-03,419000,431700.0,506425.0,460740.14391413843,494781.8419503982,425933.3333333333,479416.6666666667,-36717.71098276536,-26540.992150063354,11.586841538438323
2022-02-04,434000,427900.0,499225.0,456201.2358168131,490384.1015275738,426700.0,472519.04761904763,-36640.78533215722,-28560.950786482128,21.97324685192866
2022-02-07,432000,426000.0,492225.0,452105.8773305285,486261.80463431746,428066.6666666667,466116.6666666667,-36322.50130011764,-30113.260889209232,21.608743690921802
