Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,229500,,,229500.0,229500.0,,,0.0,0.0,
2022-01-04,223500,,,226227.2727272727,226426.82926829267,,,-478.63247863249853,-95.7264957264997,
2022-01-05,216500,,,222379.1208791209,222955.1942902458,,,-1406.5794920496119,-357.8970949911222,
2022-01-06,200000,,,215175.11177347242,216789.82628114033,,,-3433.8134257291094,-973.0803611387197,
2022-01-07,213000,216500.0,,214569.01741560956,215956.15546187595,212733.33333333334,,-3945.933306238934,-1567.6509501587627,
2022-01-10,213000,213200.0,,214175.84028874352,215401.47521002937,211566.66666666666,,-4302.198929929087,-2114.560546112828,
2022-01-11,216500,211800.0,,214713.15488253863,215582.2817383735,212666.66666666666,,-4253.094231339579,-2542.2672831581785,
2022-01-12,217000,211900.0,,215209.7993702051,215791.18834851822,214400.0,,-4126.267538925109,-2859.067334311565,
2022-01-13,206000,213100.0,,213305.83097864492,214479.26161346008,212433.33333333334,,-4857.371782316361,-3258.7282239125243,
2022-01-14,200000,210500.0,,210661.04473894177,212693.42292673173,208066.66666666666,,-5853.45206665626,-3777.672992461272,
2022-01-17,196500,207200.0,,207933.81876533505,210836.74841664717,203400.0,,-6846.353120578948,-4391.409018084807,
2022-01-18,188500,201600.0,,204285.68668023532,208436.60289413287,197166.66666666666,,-8184.422571708361,-5150.011728809518,
2022-01-19,186000,195400.0,,200923.86316756494,206161.83553331444,191966.66666666666,,-9338.928009810217,-5987.7949850096575,
2022-01-20,190000,192200.0,,198949.43811986453,204606.85193398982,190166.66666666666,,-9817.940213339461,-6753.824030675619,
2022-01-21,185000,189200.0,,196463.15862351554,202807.83386909807,187766.66666666666,,-10480.209715097852,-7499.101167560066,23.365246198215612
2022-01-24,178000,185500.0,,193210.00954028964,200627.81810888246,184033.33333333334,,-11438.053800918831,-8286.89169423182,20.405232979439425
2022-01-25,172000,182200.0,,189508.15327932977,198209.47249374224,179533.33333333334,,-12536.78573367407,-9136.87050212027,18.2688795808474
2022-01-26,169000,178800.0,,185956.7326936093,195829.70103870233,175133.33333333334,,-13494.062481745263,-10008.308898045269,17.29393474805405
2022-01-27,161000,173000.0,,181662.87581461773,193084.95439675864,169200.0,,-14728.463780299702,-10952.339874496156,14.995727985229243
2022-01-28,165000,169000.0,196300.0,178811.35050740198,190938.65972825533,166533.33333333334,185828.57142857142,-15208.65324463381,-11803.602548523686,20.672161931563483
2022-02-03,168500,167100.0,193250.0,177054.60624706058,189271.87105408416,166366.66666666666,183180.95238095237,-15132.34979652366,-12469.35199812368,25.36840224132041
2022-02-04,174500,167600.0,190800.0,176620.98393681826,188203.08385760023,168833.33333333334,181395.2380952381,-14421.486983371578,-12859.778995173261,32.72147776203185
2022-02-07,170000,167800.0,188475.0,175500.57409665774,186917.82787060126,169633.33333333334,179414.2857142857,-14059.170112857857,-13099.657218710181,30.30951179816143
