Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,164500,,,164500.0,164500.0,,,0.0,0.0,
2022-01-04,158500,,,161227.27272727274,161426.82926829267,,,-478.63247863246943,-95.7264957264939,
2022-01-05,152500,,,157774.7252747253,158304.91673275176,,,-1326.8074122774706,-341.94267903668924,
2022-01-06,150500,,,155432.93591654248,156208.6511412082,,,-2135.7557800930517,-700.7052992479618,
2022-01-07,153500,155900.0,,154894.32380133306,155612.8129025982,153900.0,,-2505.891899833543,-1061.742619365078,
2022-01-10,147000,152400.0,,152916.10002900328,153996.74186319188,150933.33333333334,,-3285.8459321107657,-1506.5632819142156,
2022-01-11,147000,150100.0,,151548.37694674722,152845.1459979428,149133.33333333334,,-3859.475490936369,-1977.1457237186464,
2022-01-12,151000,149800.0,,151429.28344728553,152573.25615488607,149433.33333333334,,-3945.8294131965085,-2370.882461614219,
2022-01-13,155500,150800.0,,152270.83442313448,152965.41217930295,151333.33333333334,,-3609.5445441615884,-2618.614878123693,
2022-01-14,150500,150200.0,,151918.8474993102,152661.333935117,151233.33333333334,,-3703.7994810241507,-2835.6517987037846,
2022-01-17,149000,150600.0,,151356.71688960842,152241.5397124257,150833.33333333334,,-3855.0955200927856,-3039.540542981585,
2022-01-18,150500,151300.0,,151195.89330621663,152054.40644373812,150800.0,,-3810.0414707010787,-3193.6407285254836,
2022-01-19,141500,149400.0,,149413.30331311483,150984.33271625303,147533.33333333334,,-4449.2721559844795,-3444.7670140172827,
2022-01-20,143500,147000.0,,148344.50796141816,150264.2403355533,145566.66666666666,,-4739.8458022209525,-3703.782771658017,
2022-01-21,146500,146200.0,,148015.75190071377,149918.8541212312,145400.0,,-4674.171641269815,-3897.8605455803768,37.44760414149661
2022-01-24,147000,145800.0,,147836.77968734704,149662.35659631103,145666.66666666666,,-4529.564573387615,-4024.2013511418245,38.42118965499654
2022-01-25,143000,144300.0,,146992.59981394917,149099.55153726286,144733.33333333334,,-4683.737787173508,-4156.108638348162,33.87835306864077
2022-01-26,137500,143500.0,,145348.75534233387,148154.5059995334,142466.66666666666,,-5189.899276183278,-4362.866765915185,28.830607245212857
2022-01-27,127000,140200.0,,142191.81447531932,146487.42998186452,136966.66666666666,,-6364.927231661801,-4763.278859064509,22.06996296398041
2022-01-28,115000,133900.0,146550.0,137538.4672387356,144081.11298593067,128566.66666666667,141876.19047619047,-8170.263353684422,-5444.675757988492,17.1269570080875
