Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-27,505000,,,505000.0,505000.0,,,0.0,0.0,
2022-01-28,450000,,,475000.0,476829.26829268294,,,-4387.464387464337,-877.4928774928675,
2022-02-03,477000,,,475791.2087912088,476888.977002379,,,-5621.090737899824,-1826.2124495742587,
2022-02-04,504000,,,484871.83308494784,484170.5286969635,,,-4369.702941370313,-2334.91054793347,
2022-02-07,548000,496800.0,,502462.48118684156,498211.4803625378,506133.3333333333,,170.49778743623756,-1833.8288808595285,
2022-02-08,542000,504200.0,,512370.11375721055,506427.76919231494,521200.0,,3247.0596372141154,-817.6511772447998,
2022-02-09,511000,516400.0,,512053.3618088211,507180.3140476274,523466.6666666667,,3147.5333413168555,-24.6142735324687,
2022-02-10,474500,515900.0,,503897.72853340325,502364.735514893,509500.0,,122.00666115444619,4.709913404914275,
2022-02-11,482000,511500.0,,499370.74794472224,499636.05335463013,498200.0,,-1651.520016023016,-326.5360724806718,
2022-02-14,463000,494500.0,,492141.3720533333,495117.4471469129,482033.3333333333,,-4537.883993686002,-1168.805656721738,
2022-02-15,451500,476400.0,,484314.39265243727,490116.4413262752,467700.0,,-7664.945412154833,-2468.0336078083574,
2022-02-16,455500,465300.0,,478905.33169445803,486396.80876808614,460733.3333333333,,-9708.484182611573,-3916.123722769001,
2022-02-17,454500,461300.0,,474418.41144039773,483162.9047835001,457133.3333333333,,-11278.681405247422,-5388.635259264685,
2022-02-18,454500,455800.0,,470818.27384666674,480405.15200501954,454866.6666666667,,-12380.36092263728,-6786.980391939205,
2022-02-21,453000,453800.0,,467642.43202819146,477890.60435126466,453933.3333333333,,-13222.07153116056,-8073.998619783477,37.43278232351512
2022-02-22,440000,451500.0,,462771.9245357133,474560.9257067803,449333.3333333333,,-14767.889568822284,-9412.77680959124,34.00719111299048
2022-02-23,442000,448800.0,,459146.52876450197,471810.32935995405,446166.6666666667,,-15651.16136962478,-10660.453721597949,34.99282594001721
2022-02-24,416500,441200.0,,451761.3801311325,467304.0534247117,435400.0,,-18199.010656639584,-12168.165108606276,29.037864321341157
2022-02-25,420000,434300.0,,446296.76974977227,463576.2682897337,428333.3333333333,,-19708.59046092024,-13676.25017906907,30.77906942287171
2022-02-28,412000,426100.0,467800.0,440427.5483749462,459634.73190381995,420900.0,452166.6666666667,-21304.886997482972,-15201.97754275185,29.025931647979732
2022-03-02,434000,424900.0,464250.0,439332.4872859407,457730.5325746195,423533.3333333333,448947.61904761905,-20557.770187126356,-16273.136071626752,39.27017666861074
2022-03-03,437000,423900.0,463600.0,438936.56774777145,456230.6191438209,427566.6666666667,446352.38095238095,-19498.829436138913,-16918.274744529182,40.530715496271675
2022-03-04,428500,426300.0,461175.0,437170.48081663105,454272.65726458124,429100.0,443009.5238095238,-19125.02879720414,-17359.625555064173,38.11663829189537
2022-03-07,414000,425100.0,456675.0,433259.53781120456,451493.04226680176,425000.0,438516.6666666667,-19770.91115932417,-17841.882675916175,34.35723552608201
2022-03-08,410500,424800.0,449800.0,429426.09709902154,448722.98790394387,420133.3333333333,434119.04761904763,-20330.837099340453,-18339.673560601033,33.4983941108136
2022-03-10,417500,421500.0,443575.0,427420.897837704,446654.4108154747,417700.0,431042.85714285716,-19979.43050420395,-18667.624949321616,36.89595051507453
2022-03-11,391000,412300.0,437575.0,421306.2360248055,443034.6553636901,407533.3333333333,426035.71428571426,-21590.3862430093,-19252.177208059155,30.535691294652764
2022-03-14,363500,399300.0,432025.0,411613.061483184,437950.3055313132,391266.6666666667,418980.95238095237,-24800.218958677084,-20361.785558182743,25.603242494316884
2022-03-15,359500,388400.0,425900.0,402883.42059422605,433015.74284588185,378000.0,412073.8095238095,-27351.509901622776,-21759.730426870752,24.971398764227363
2022-03-16,363500,379000.0,420925.0,396291.74829057156,428708.98205274274,369700.0,406130.95238095237,-28719.59813439648,-23151.7039683759,26.913781834230665
2022-03-17,376000,370700.0,417150.0,392897.87571241084,425489.6117845895,368700.0,401852.38095238095,-28467.022269653447,-24214.76762863141,32.77109912273076
2022-03-18,382000,368900.0,413475.0,391076.2338802007,422868.620495628,372466.6666666667,398504.7619047619,-27466.092207308917,-24865.032544366913,35.44543611979504
2022-03-21,386000,373400.0,410050.0,390228.12728685385,420674.4093456258,378166.6666666667,395888.09523809527,-26049.795523622306,-25101.985140217992,37.23790240454944
2022-03-22,397500,381000.0,407200.0,391442.5733377382,419311.4131818061,386200.0,394692.85714285716,-23725.918685706914,-24826.771849315777,42.20641306675611
2022-03-23,407000,389700.0,404900.0,394039.8750074063,418595.3379232944,394866.6666666667,394673.8095238095,-20877.001861862023,-24036.817851825028,46.00884822414119
2022-03-24,408000,396100.0,403300.0,396369.8497078324,417985.5060229113,400966.6666666667,394969.04761904763,-18327.257890338427,-22894.90585952771,46.40855244387859
2022-03-25,439000,407500.0,403150.0,403483.237916553,419183.1279283852,415266.6666666667,398369.04761904763,-13647.803121875855,-21045.48531199734,57.0289050950651
2022-03-28,436500,417600.0,404150.0,408991.42821399035,420160.8587809571,424933.3333333333,401545.2380952381,-10025.463310437917,-18841.480911685456,56.063987050685476
2022-03-29,441000,426300.0,405200.0,414330.5493219291,421327.1485926754,432733.3333333333,405054.7619047619,-6714.223135545675,-16416.0293564575,57.45925517404302
2022-03-30,440500,433000.0,406625.0,418695.0939743902,422391.2995682264,437466.6666666667,408416.6666666667,-4083.3173217634903,-13949.4869495187,57.24173876742129
2022-03-31,442000,439800.0,407025.0,422581.44846987905,423471.1281482287,440466.6666666667,411785.71428571426,-1855.874677669024,-11530.764495148765,57.75836762219268
