Date,Price,Sma5,Sma20,Ema5,Ema20,Wma5,Wma20,MACD,Signal line,Rsi14
2022-01-03,176500,,,176500.0,176500.0,,,0.0,0.0,
2022-01-04,169000,,,172409.0909090909,172658.53658536586,,,-598.2905982905941,-119.65811965811882,
2022-01-05,158000,,,166708.79120879123,167532.11736716892,,,-1937.7115445491509,-483.2688046363252,
2022-01-06,152000,,,161973.91952309987,163360.45938342856,,,-3443.665715611569,-1075.348186831374,
2022-01-07,153500,161800.0,,159612.66394323803,161191.39498767676,157600.0,,-4464.642166266014,-1753.2069827183022,
2022-01-10,148500,156200.0,,156827.96236022044,158810.03640933541,153166.66666666666,,-5612.533776707365,-2525.0723415161146,
2022-01-11,149500,152300.0,,155133.83561847472,157277.69469315582,150933.33333333334,,-6368.14647689127,-3293.6871685911456,
2022-01-12,154500,151600.0,,154996.18267311412,156868.38996874721,151666.66666666666,,-6488.718860489549,-3932.693506970826,
2022-01-13,147000,150600.0,,153343.10876229653,155546.1189459517,150133.33333333334,,-7107.529487405671,-4567.660703057795,
2022-01-14,143500,148600.0,,151386.60423039587,154060.37845635283,147766.66666666666,,-7790.557420318306,-5212.240046509897,
2022-01-17,139500,146800.0,,149097.40478270446,152390.9424353577,144733.33333333334,,-8556.000303137931,-5880.992097835504,
2022-01-18,134000,143700.0,,146263.307817276,150414.78470113061,140466.66666666666,,-9496.9484272486,-6604.183363718124,
2022-01-19,128000,138400.0,,142905.59865858092,148142.22940929374,135233.33333333334,,-10604.5636421245,-7404.259419399401,
2022-01-20,136000,136200.0,,141657.45166591695,146973.98539692463,134433.33333333334,,-10713.326974097057,-8066.072930338933,
2022-01-21,145000,136500.0,,142253.21110204447,146792.863236118,137366.66666666666,,-9958.502496592992,-8444.558843589744,38.96682850463394
2022-01-24,146500,137900.0,,143001.4816277844,146767.12755626405,140700.0,,-9133.970470097294,-8582.441168891255,40.770331934782384
2022-01-25,137500,138600.0,,142041.289027697,145984.28349859265,140566.66666666666,,-9101.82748101835,-8686.318431316675,34.233867103931594
2022-01-26,137000,140400.0,,141168.28318520726,145252.31062854108,140033.33333333334,,-9012.8057376543,-8751.615892584201,33.90861440907661
2022-01-27,128000,138800.0,,138902.65314326712,143892.74622657165,135900.0,,-9558.298038578156,-8912.952321782992,28.634887746122008
2022-01-28,126000,135000.0,145475.0,136694.61640473627,142525.35551307964,131633.33333333334,139430.95238095237,-10036.295732594532,-9137.6210039453,27.607334764206332
2022-02-03,124500,130600.0,142875.0,134617.02022946253,141186.3959325626,128133.33333333333,137433.33333333334,-10416.07972952936,-9393.312749062112,26.829708988128715
2022-02-04,133000,129700.0,141075.0,134342.54503454163,140594.0867304286,128933.33333333333,136492.85714285713,-9916.86685271727,-9498.023569793144,37.5623175671881
2022-02-07,128000,127900.0,139575.0,133269.25291721072,139704.86238263713,128366.66666666667,135247.61904761905,-9811.593324129819,-9560.73752066048,34.36879105259096
2022-02-08,130500,128400.0,138500.0,132801.83101032267,139069.54365104262,129233.33333333333,134383.33333333334,-9417.870835075504,-9532.164183543486,37.2418400693974
2022-02-09,126500,128500.0,137150.0,131740.39928193425,138220.1722137365,128600.0,133240.47619047618,-9321.160955217289,-9489.963537878248,34.62975835790101
2022-02-10,128000,129200.0,136125.0,131111.5057038514,137543.06808306894,128433.33333333333,132369.04761904763,-9019.508930197684,-9395.872616342134,36.43037487328843
2022-02-11,126500,127900.0,134975.0,130337.28542095349,136824.82840875722,127533.33333333333,131452.38095238095,-8800.043566661567,-9276.706806406022,35.38084683408235
2022-02-14,128500,128000.0,133675.0,130029.2022539326,136292.65360104496,127733.33333333333,130835.71428571429,-8368.26821270406,-9095.01908766563,37.94776063280358
2022-02-15,127500,127400.0,132700.0,129605.52675331938,135739.5913781283,127566.66666666667,130247.61904761905,-8014.389878831891,-8878.893245898884,37.15306763178869
2022-02-16,132500,128600.0,132150.0,130089.97982636227,135538.88655125126,129266.66666666667,130228.57142857143,-7246.942296694644,-8552.503056058036,43.52174427306363
2022-02-17,133500,129700.0,131850.0,130660.31875391841,135414.35501056112,130900.0,130357.14285714286,-6483.3073842315935,-8138.663921692748,44.72812391526885
2022-02-18,140000,132400.0,132150.0,132221.4995295438,135690.71837823433,134333.33333333334,131133.33333333334,-5292.615559547092,-7569.454249263617,51.917451064946384
2022-02-21,140500,134800.0,132775.0,133604.62154435166,135976.93953910554,137033.33333333334,131928.57142857142,-4259.536602206848,-6907.470719852264,52.43002707465602
2022-02-22,139000,137100.0,132925.0,134505.6818787334,136154.73996326054,138433.33333333334,132521.42857142858,-3521.260648710013,-6230.228705623814,50.68440166229074
2022-02-23,139500,138500.0,132650.0,135339.47985039186,136349.31209809368,139233.33333333334,133147.61904761905,-2862.824951255665,-5556.747954750184,51.26685195649218
2022-02-24,135000,138800.0,132075.0,135282.81993773798,136271.65024653712,138066.66666666666,133371.42857142858,-2673.3061005292693,-4980.0595839060015,46.0009958375574
2022-02-25,144000,139600.0,132400.0,136737.39341315877,136712.09106647797,139800.0,134507.14285714287,-1776.4089257376036,-4339.329452272323,55.78315580321292
2022-02-28,149500,141400.0,133025.0,138866.58056948788,137434.11136278074,143100.0,136135.7142857143,-614.7212939123856,-3594.407820600335,60.49320721535264
2022-03-02,148000,143200.0,134025.0,140390.06099201704,138025.4451485549,145300.0,137561.90476190476,182.7800847987237,-2838.9702395205236,58.658027451278016
2022-03-03,147000,144700.0,135075.0,141492.46754633423,138523.55996191292,146566.66666666666,138797.61904761905,725.7480586059974,-2126.0265798952196,57.40766673250738
2022-03-04,143500,146400.0,136025.0,141827.2461018697,138797.60679120137,146166.66666666666,139600.0,863.6774049381202,-1528.0857829285517,53.13825641874827
2022-03-07,134000,144400.0,136075.0,140522.0884179736,138535.36177663232,142033.33333333334,139407.14285714287,204.06447223608848,-1181.6557318956236,43.64935250123741
2022-03-08,128500,140200.0,136100.0,138517.61778037364,137990.64871651423,136733.33333333334,138685.7142857143,-753.7982468009868,-1096.0842348766962,39.27649576005342
2022-03-10,135000,137600.0,136325.0,137931.1557237173,137829.39222397842,135000.0,138580.95238095237,-977.1516791314352,-1072.297723727644,46.143410321659296
2022-03-11,135000,135200.0,136750.0,137442.4961562664,137677.7860196613,134133.33333333334,138454.7619047619,-1141.0080528475228,-1086.0397895516198,46.1434103216593
2022-03-14,136000,133700.0,137150.0,137202.0253372239,137588.41882141406,134400.0,138383.33333333334,-1176.6105330769497,-1104.153938256686,47.20859292696183
2022-03-15,138000,134500.0,137725.0,137335.04637251614,137610.21859519425,135833.33333333334,138464.2857142857,-1031.5513875806064,-1089.6334281214702,49.365571389999026
2022-03-16,141500,137100.0,138375.0,138029.3151674555,137815.14869292846,138166.66666666666,138823.80952380953,-626.9432093418145,-997.0953843655391,52.98578728751987
2022-03-17,142500,138600.0,139125.0,138774.52757124914,138060.72255415094,139966.66666666666,139216.66666666666,-223.02576816506917,-842.2814611254452,53.99779505341467
2022-03-18,145500,140700.0,139775.0,139895.56282746396,138448.81715687123,142266.66666666666,139823.80952380953,335.2916090322542,-606.7668470939053,56.98896126547542
2022-03-21,139500,141400.0,140075.0,139829.62965200742,138503.4072541004,141866.66666666666,139797.61904761905,290.26628793007694,-427.3602200891089,49.98821685752574
2022-03-22,140000,141800.0,140075.0,139858.02687696725,138580.79463475672,141400.0,139790.47619047618,291.5682011642202,-283.5745358384431,50.53355716588873
2022-03-23,140500,141600.0,140075.0,139965.029201831,138679.63067102103,140966.66666666666,139830.95238095237,329.1515439982177,-161.029319871111,51.10770060438799
2022-03-24,141500,141400.0,140200.0,140220.87122584804,138824.31394424898,140933.33333333334,139966.66666666666,434.61824799637543,-41.89980629761372,52.30015390944279
2022-03-25,141500,140600.0,140300.0,140434.068769729,138961.0717336312,140966.66666666666,140090.47619047618,512.2959420348634,68.93934336888171,52.3001539094428
2022-03-28,140000,140700.0,140550.0,140361.721312373,139013.9879100658,140766.66666666666,140061.90476190476,447.65828417858575,144.68313153082252,50.171436176722935
2022-03-29,142000,141100.0,140450.0,140634.77613403837,139165.5733257146,141200.0,140200.0,551.4588851837325,226.03828226140453,52.92280678105157
2022-03-30,150000,143000.0,140475.0,142195.68666852187,139713.85987584858,144166.66666666666,141109.52380952382,1264.6763488181168,433.765895572747,61.96878601332601
2022-03-31,148500,144400.0,140500.0,143246.42793412268,140157.16680274563,146000.0,141873.80952380953,1689.3945741861826,684.8916312954342,59.654206765311315
